ano,id_municipio,avg_wage_dec,n_employ_dec
2014,2515005,848.4594872,136
2014,2516201,919.7990203,8517
2014,2409506,1185.415417,292
2014,2412807,1026.766815,414
2014,2414753,1183.338,193
2014,2414902,1118.698651,205
2018,1302702,1554.774131,1511
2019,1301902,1453.291969,8837
2019,1304104,1770.19957,1605
2019,1300680,1458.047971,856
2019,1301605,1330.018888,1933
2015,2501351,1149.828076,330
2015,2502607,1183.121683,500
2015,2504108,1191.800401,238
2015,2505238,1211.540503,480
2015,2506103,1396.054669,597
2015,2506251,1297.868551,495
2015,2506608,1360.209058,357
2015,2509701,1204.721124,2469
2015,2509909,1128.035818,681
2015,2510659,1003.230513,204
2015,2510709,997.2876433,268
2015,2512507,917.7449343,3435
2015,2516508,1029.032594,1189
2018,2507804,1397.008468,594
2018,2513703,1209.904182,21082
2018,2508307,1614.263154,1936
2018,2511905,1628.921472,1726
2018,2516201,1382.584086,9459
2018,2516706,1338.206913,858
2018,2501575,1631.540788,562
2018,2503308,1227.813963,521
2018,2503100,2032.265688,307
2018,2504801,1414.564753,654
2018,2502706,1310.436265,296
2018,2505279,1564.785618,403
2018,2516409,1196.886301,598
2018,2514800,1396.423026,263
2017,2509701,1334.954232,2540
2017,2515302,1233.388269,4049
2017,2516003,1292.601445,1527
2017,2509396,1499.976132,385
2017,2511400,1664.231528,1399
2017,2508802,1305.881695,420
2017,1303403,1348.721924,5502
2017,1304302,215.5923649,660
2020,1302900,1524.951595,3077
2016,2701605,1166.073059,63
2016,2703106,1698.694565,1212
2016,2703700,1439.37138,406
2016,2706406,1532.681564,1035
2015,2100105,936.2782081,254
2015,2101400,1047.20194,17927
2015,2101509,907.1746188,1153
2015,2102358,1726.007419,549
2015,2104081,1119.935182,284
2015,2107001,1067.972733,413
2015,2108058,1145.749539,724
2021,2201002,1392.858952,292
2021,2203701,1793.548541,2682
2021,2201408,1868.604849,488
2021,2201960,1678.684938,390
2021,2206696,2496.693625,451
2021,2210953,2128.98157,231
2020,2404507,3383.393304,2324
2020,2404408,1217.76516,899
2020,2404853,1342.841483,683
2020,2402303,1296.02392,1348
2020,2401651,1545.308216,290
2020,2411908,1499.619793,304
2015,2400307,1280.88522,658
2015,2400604,1034.330087,196
2015,2401008,1085.771745,3104
2015,2401701,1693.327116,477
2015,2402006,989.4143807,10271
2015,2404507,3192.688622,4039
2015,2406403,1144.666957,315
2015,2412708,1133.518314,387
2015,1303205,1226.308335,953
2015,1303957,1166.78828,457
2015,1304062,1231.376608,2528
2015,1304237,2830.885667,450
2017,2408904,1063.011308,3058
2017,2403509,1254.392934,554
2017,2403301,1341.183495,396
2022,2207793,1750.786398,198
2022,2204204,2265.377406,388
2022,2203206,1742.481365,747
2022,2210508,2092.512424,681
2022,2207306,1900.312842,170
2022,2204600,1993.969623,215
2022,2200707,1953.01344,560
2021,2705903,1807.234982,270
2018,2408508,1285.157143,478
2018,2410009,1494.571423,233
2018,2404002,1117.680508,245
2018,2400406,1518.253857,207
2019,2408201,1515.91886,2529
2019,2408904,1059.013285,3391
2019,2407005,1704.414355,489
2019,2409506,1455.77895,911
2019,2411601,1850.556371,771
2019,2406403,1392.329764,374
2019,2411700,1728.853023,340
2019,2402808,1381.6094,321
2021,2406106,1167.949085,2428
2021,2408904,1231.404159,3536
2021,2403806,1328.504545,824
2021,2414605,1354.626807,1313
2021,2404705,1133.670298,1569
2021,2411007,1732.431576,377
2021,2406908,1841.276794,264
2020,2516904,1385.960987,902
2020,2509008,1354.404541,542
2020,2500601,1682.165328,4557
2020,2509057,1426.898184,392
2020,2513109,1313.106477,737
2020,2500908,1688.906066,729
2020,2511707,2325.040899,248
2020,2102309,711.5553637,602
2020,2101509,1412.310803,1346
2020,2111508,1558.960886,1934
2020,2100436,1361.195429,847
2020,2107902,1200.250276,728
2020,2111805,1726.302169,902
2020,2111409,1662.107391,875
2020,2108405,1524.560485,530
2020,2112274,2075.748534,320
2020,2100550,1137.754984,303
2020,2109270,1934.232125,538
2019,2110807,1525.264406,321
2019,2106201,1703.975274,390
2019,2103125,1926.137185,186
2019,2109205,1891.925455,476
2022,2406205,1749.936138,413
2022,2402600,1614.68779,6533
2022,2414902,1801.97957,205
2022,2413201,2201.034644,398
2022,2411502,1650.519403,1517
2022,2407005,2233.804336,450
2022,2406155,1769.487459,223
2019,5008305,1847.275196,37177
2019,5006606,1426.287575,13867
2019,5007695,1669.557743,9110
2019,5000856,2411.493291,6120
2019,5004403,1246.22806,1809
2020,5000807,1555.94622,1567
2020,5001003,1530.90402,7686
2020,5002100,1576.91146,2984
2020,5004908,1392.843618,1049
2020,5004809,1608.774401,417
2021,2502508,1566.767662,1376
2021,2516706,2444.288929,756
2021,2516003,1528.613735,2274
2021,2500106,1324.580813,723
2021,2509305,1146.588458,1252
2021,2509008,3246.225863,316
2021,2503407,1532.820602,276
2021,2513505,2051.334644,413
2021,2514503,1311.393938,1355
2021,2511004,1801.055333,276
2021,2505105,1521.818338,1434
2021,2505402,1692.146398,465
2021,2510709,1572.759903,276
2021,2509339,2734.433874,338
2021,2504207,1836.012613,387
2022,2701704,1483.322393,1515
2022,2700201,1852.327901,1640
2022,2702702,1882.709858,517
2014,5001003,1019.676059,7009
2014,5006275,1004.575502,448
2019,2507705,1553.172338,1422
2019,2512408,1287.867247,779
2019,2511905,1671.910577,1870
2019,2506202,1571.88308,260
2019,2505808,1440.109725,293
2019,2514552,1891.014385,124
2014,1300060,1221.738939,525
2014,1300201,1020.209479,948
2016,2400802,1287.774592,678
2016,2406304,1279.250965,327
2016,2414704,1166.699456,301
2018,2108702,1547.948704,1326
2018,2111748,1478.839341,308
2018,2100709,2000.814178,770
2015,3505609,1003.841613,3886
2015,3507100,1378.515905,5219
2015,3510609,1341.77621,37303
2015,3513207,958.6423736,1481
2015,3515707,1441.475345,20292
2015,3521150,1268.833427,1071
2015,3523800,1004.024941,877
2015,3527504,819.1396418,880
2015,3530409,1260.649988,551
2015,3537008,1145.25915,3317
2015,3539707,1308.142999,516
2015,3540853,1299.500217,254
2016,5000203,1451.08416,4942
2016,5003207,1595.688424,16356
2016,5007976,1307.965738,587
2014,5100300,1272.717696,3154
2014,5100805,960.1792579,1049
2014,5103957,1100.15557,343
2014,5105309,1028.479075,257
2014,5108857,1186.124805,1557
2021,2111300,2625.63011,361268
2021,2107506,1500.833192,8255
2021,2101103,1732.93597,889
2021,2102705,1915.757391,741
2021,2106805,1995.823134,479
2021,2102507,1525.028502,1843
2021,2100550,2069.769506,323
2021,2103554,2477.671586,837
2021,2105658,1477.881339,629
2017,2110039,1333.756739,1626
2017,2106102,1866.562318,1225
2017,2106326,1418.869581,981
2017,2101301,1774.076895,806
2017,2105906,1280.542917,637
2017,2100105,1518.91635,258
2017,2111789,1853.277284,549
2016,2501104,1302.018127,1518
2016,2503605,1234.736575,428
2016,2503704,1239.110607,7704
2016,2504850,1639.438222,149
2016,2505600,1418.166311,337
2016,2508000,1622.155485,442
2016,2508208,1425.703316,560
2016,2508505,1531.978709,410
2016,2509396,2012.900808,392
2016,2511707,1235.705427,246
2016,2512804,1224.277586,428
2016,2513851,958.5052344,253
2016,2515930,1058.114017,495
2017,5003454,1179.246231,1399
2017,5003504,1439.156806,583
2014,3201209,1094.179978,51330
2014,3202801,936.2198236,6032
2014,3204955,904.2554006,2002
2022,2505907,1565.395259,222
2022,2507903,901.6036686,878
2022,2515971,2054.281602,504
2022,2503407,1659.74617,262
2022,2500700,1790.911234,1378
2022,2504108,2736.296577,244
2015,3555604,1181.50422,1163
2018,5002100,1496.012453,3027
2018,5006606,1542.419884,13800
2016,2104552,1122.929451,1533
2016,2105005,1505.669167,1537
2016,2106201,1289.498571,13
2016,2111003,1606.780588,55
2016,2111953,1244.11917,228
2016,2112506,698.9087157,4202
2016,2113009,1365.854195,1466
2022,1302553,2088.733118,1173
2022,2108009,1630.460932,2000
2022,2105401,1896.252539,5121
2022,2112308,1918.710845,1580
2022,2107407,2148.699033,1276
2022,2110104,1853.791284,1897
2022,2107456,2023.466952,1057
2022,2104602,4682.33347,527
2021,5005152,1408.071075,1083
2022,5006259,2041.94616,721
2022,5002902,1760.387918,4498
2022,5007505,1615.024105,1789
2022,5005251,2066.22282,1757
2015,5002407,1187.825084,6516
2015,5006002,1412.598349,5461
2019,5107875,1508.731999,11644
2019,5107909,1491.142549,42552
2019,5107883,1732.238806,259
2019,5108055,1481.507328,1562
2019,5101605,1563.865887,475
2019,5103809,1664.660718,556
2018,3205101,1695.254074,15012
2018,3203320,1348.867091,5366
2018,3200805,1270.057072,4318
2018,3200300,1473.418032,2888
2021,3542305,1673.186883,574
2021,3525300,1809.605183,38460
2021,3518602,1763.634621,7466
2021,3544905,1723.204342,2727
2021,3533601,1596.527039,3451
2021,3557006,1996.834268,20060
2021,3525904,2298.265917,177390
2021,3515186,1853.269216,12657
2021,3516853,5395.42216,3570
2021,3549904,2718.402976,184473
2021,3552106,1675.377361,8057
2021,3552601,1636.176854,2107
2021,3553906,1461.209297,1008
2021,3525854,1938.435792,1536
2021,3554607,1701.609983,412
2021,3556909,1998.208685,3421
2021,3504503,1583.23811,21801
2021,3512001,1678.862201,6080
2021,3535408,1457.243072,2886
2021,3504909,1618.876253,1656
2021,3536307,2067.632384,4597
2021,3537206,1876.100137,924
2021,3532108,2086.585325,438
2021,3541109,1713.398718,474
2018,5103205,1583.57406,6212
2018,5105101,1403.923493,6918
2018,5100409,1621.572944,2859
2018,5105622,1451.892791,5879
2018,5104559,1513.743293,1078
2022,3548500,2616.898727,187791
2022,3506003,1937.693666,140514
2022,3548708,2675.104059,282643
2022,3507001,2277.742028,23075
2022,3527306,2706.077642,17753
2022,3551306,3017.609112,2268
2022,3531902,2064.752879,8310
2022,3549409,2386.495904,13762
2022,3512001,1868.17086,7704
2022,3513603,1731.087936,2609
2022,3531803,2186.340067,16505
2022,3553807,1799.954807,5392
2022,3554904,2022.749944,680
2022,3546108,1610.050725,845
2022,3547106,1626.505658,506
2022,3544202,2047.454314,1197
2017,3203320,1276.111307,5503
2014,1504208,1227.340351,48097
2014,1503093,1002.906358,3366
2014,1504604,1622.380567,1224
2014,1506401,726.1563781,425
2014,1506559,1126.225746,987
2014,1506906,1165.874591,536
2014,1508209,867.1031016,2940
2014,1508357,1698.074945,3071
2015,3202108,1145.583641,3198
2015,3205200,1160.172939,102217
2019,1503309,1729.987432,3209
2019,1505437,1701.157949,3242
2019,1508159,1631.047789,2838
2019,1507409,1149.297156,847
2019,1504455,2453.931967,1259
2019,1503457,1507.877029,4036
2019,1508050,1406.118689,974
2019,1506906,1225.706262,544
2019,1505908,1594.955475,1694
2019,1503101,1516.286174,1836
2019,1507466,1447.201351,336
2020,1506351,1193.214624,2176
2020,1508407,1319.247078,8575
2020,1503903,2408.306106,4381
2020,1508035,1894.815908,559
2020,1505809,2185.009025,2851
2020,3203130,1240.371261,3512
2020,3201704,1500.268585,1348
2020,3201605,1310.582813,4739
2020,5106109,1762.052052,1769
2020,5101902,1517.677223,3972
2020,5107768,1717.704849,1353
2020,5103106,1388.68155,934
2020,5107792,1671.046952,1242
2020,5107198,1885.539012,327
