ano,id_municipio,avg_wage_dec,n_employ_dec,pop,nome,treated_group,treated_after_treatment
2021,3121605.0,2728.366263,9725,"47,924",Diamantina,0,0
2021,3126000.0,1280.407309,1446,"7,602",Florestal,1,1
2021,3131000.0,1370.394758,1226,"6,352",Inhaúma,0,0
2021,3113305.0,1400.051136,5194,"33,022",Carangola,0,0
2021,3136652.0,1961.063614,7263,"27,823",Juatuba,1,1
2021,3152709.0,1117.349676,2003,"9,128",Prados,0,0
2021,3140159.0,1950.939766,1672,"15,814",Mário Campos,1,1
2021,3162005.0,1437.286042,5350,"25,670",São Gonçalo do Sapucaí,0,0
2021,3101607.0,1958.728251,22392,"80,973",Alfenas,0,0
2021,3139706.0,1277.428028,1555,"8,113",Maravilhas,1,1
2021,3123601.0,1407.632316,5567,"28,556",Elói Mendes,0,0
2021,3120805.0,1484.49952,2821,"15,529",Cruzília,0,0
2021,3149606.0,1383.496314,649,"4,457",Pequi,1,1
2021,3114709.0,1675.887179,368,"3,614",Carvalhópolis,0,0
2021,3114303.0,1682.687022,5243,"30,339",Carmo do Paranaíba,0,0
2021,3147303.0,1715.602278,5169,"21,353",Paraisópolis,0,0
2021,3155801.0,2149.285488,3364,"18,007",Rio Pomba,0,0
2021,3165537.0,2053.568043,9950,"34,050",Sarzedo,0,0
2021,3115904.0,1504.27132,389,"3,216",Chácara,0,0
2021,3122900.0,1242.424375,1004,"6,664",Dona Euzébia,0,0
2021,3152006.0,1616.909917,5980,"32,248",Pompéu,1,1
2021,3164407.0,1521.465882,2049,"5,598",São Sebastião da Bela Vista,0,0
2021,3145901.0,2501.48837,13573,"40,220",Ouro Branco,0,0
2021,3130002.0,1448.118882,373,"3,003",Ibituruna,0,0
2021,3164704.0,1445.157116,18120,"71,915",São Sebastião do Paraíso,0,0
2021,3102308.0,1559.229981,2594,"15,135",Alvinópolis,0,0
2021,3100203.0,1287.904695,3871,"23,263",Abaeté,0,0
2021,3138203.0,2100.292247,26477,"105,756",Lavras,0,0
2021,3165404.0,1327.213244,1199,"7,045",Sapucaí-Mirim,0,0
2021,3152600.0,1583.003168,1572,"5,862",Pouso Alto,0,0
2021,3142205.0,1496.635658,2615,"15,205",Miraí,0,0
2021,3137809.0,1402.053696,3068,"20,995",Lambari,0,0
2021,3163102.0,1242.706776,867,"5,151",São José da Varginha,1,1
2021,3147402.0,1837.902725,7699,"24,854",Paraopeba,1,1
2021,3145505.0,1607.377967,382,"2,829",Olímpio Noronha,0,0
2021,3154804.0,1871.408013,1458,"10,524",Rio Acima,0,0
2021,3154200.0,1541.219186,1440,"11,578",Resende Costa,0,0
2021,3139003.0,1472.991351,8891,"42,682",Machado,0,0
2021,3106002.0,1924.322217,1382,"10,269",Bela Vista de Minas,0,0
2021,3131406.0,1005.138127,1350,"4,229",Ipiaçu,0,0
2021,3138708.0,1110.138665,1066,"5,431",Luminárias,0,0
2021,3135100.0,1549.994847,14119,"72,374",Janaúba,0,0
2021,3129905.0,1628.628463,343,"3,497",Ibitiúra de Minas,0,0
2021,3158953.0,1713.49485,5570,"36,048",Santana do Paraíso,0,0
2020,3164308.0,1320.027443,1226,"7,100",São Roque de Minas,0,0
2020,3137809.0,1348.028437,2295,"20,995",Lambari,0,0
2020,3106101.0,1435.080182,570,"3,422",Belmiro Braga,0,0
2020,3165404.0,1204.448592,1289,"7,045",Sapucaí-Mirim,0,0
2020,3163102.0,1176.996561,752,"5,151",São José da Varginha,1,1
2020,3138708.0,1087.680969,872,"5,431",Luminárias,0,0
2020,3167905.0,1301.266736,497,"3,669",Tabuleiro,0,0
2020,3147402.0,1665.447667,7573,"24,854",Paraopeba,1,1
2020,3100203.0,1200.808652,3856,"23,263",Abaeté,0,0
2020,3124104.0,1372.641005,6376,"72,512",Esmeraldas,1,1
