ano,id_municipio,avg_wage_dec,n_employ_dec,pop,nome,tx_employ,treated_group,treated_after_treatment
2017,3151107.0,1413.352484,2272,10791,Pirapetinga,0.21054582522472431,0,0
2017,3118007.0,1896.856235,16650,55836,Congonhas,0.2981947130883301,0,0
2017,3106705.0,2216.261112,100863,450024,Betim,0.22412804650418644,1,0
2017,3133758.0,1293.82161,2935,16286,Itaú de Minas,0.18021613655900773,0,0
2017,3136207.0,1331.635953,18511,80903,João Monlevade,0.2288048650853491,0,0
2016,3118007.0,1823.49136,15030,55836,Congonhas,0.26918117343649256,0,0
2016,3106705.0,2119.243571,100771,450024,Betim,0.2239236129628642,1,0
2016,3145901.0,1937.777721,11646,40220,Ouro Branco,0.2895574341123819,0,0
2016,3133758.0,1200.116904,3108,16286,Itaú de Minas,0.19083875721478571,0,0
2016,3131901.0,1596.526837,13418,52996,Itabirito,0.2531889199184844,0,0
2016,3168705.0,1529.773246,16937,91268,Timóteo,0.18557435245650172,0,0
2016,3131307.0,1444.140181,63076,267333,Ipatinga,0.23594543135340568,0,0
2016,3109006.0,1657.345087,7939,41208,Brumadinho,0.19265676567656767,1,0
2016,3171204.0,1417.427616,16141,131849,Vespasiano,0.12242034448497903,0,0
2016,3136207.0,1338.92389,17065,80903,João Monlevade,0.2109316094582401,0,0
2016,3118601.0,1532.881464,184997,673849,Contagem,0.27453776736331137,0,0
2016,3151107.0,1353.411043,2062,10791,Pirapetinga,0.1910851635622278,0,0
2015,3106705.0,1938.014101,111093,450024,Betim,0.2468601674577356,1,0
2015,3131901.0,1136.580193,13308,52996,Itabirito,0.25111329156917506,0,0
2015,3131307.0,1262.306889,65714,267333,Ipatinga,0.24581327408138912,0,0
2015,3151107.0,1301.409649,2275,10791,Pirapetinga,0.21082383467704569,0,0
2015,3168705.0,1408.56885,18191,91268,Timóteo,0.19931410790200288,0,0
2015,3145901.0,1836.467444,14671,40220,Ouro Branco,0.3647687717553456,0,0
2015,3118601.0,1384.752621,199824,673849,Contagem,0.2965412132391678,0,0
2015,3136207.0,1090.999709,17364,80903,João Monlevade,0.21462739329814717,0,0
2015,3109006.0,1431.858993,9240,41208,Brumadinho,0.22422830518345951,1,0
2015,3118007.0,1425.0517,15193,55836,Congonhas,0.272100436994054,0,0
2015,3133758.0,984.3214501,3327,16286,Itaú de Minas,0.20428588972123296,0,0
2015,3171204.0,1374.863841,17088,131849,Vespasiano,0.12960280320669856,0,0
