ano,id_municipio,avg_wage_dec,n_employ_dec
2022,,3008.495475,1925
2019,1400506,1199.879632,736
2018,1400159,1767.430769,997
2020,1600600,1542.750021,8362
2018,1200450,1206.411747,1995
2018,1200385,1270.267247,1462
2019,1200435,2182.164885,260
2020,1400100,2674.202637,90994
2020,1400159,1620.873229,1032
2020,1400456,1361.318199,583
2018,1600238,2987.488545,729
2021,1200104,1449.711053,2649
2022,1400233,1578.553817,788
2022,1400282,1479.208764,902
2022,1200203,1603.563324,12540
2022,1200013,1647.76965,1006
2019,1703107,1199.635255,551
2019,1703602,1270.17993,316
2019,1703867,1331.192701,1112
2019,1721109,1251.797692,435
2019,1717206,1183.865789,488
2019,1720101,1300.794031,432
2019,1715150,1086.139106,119
2018,1720853,1285.249103,261
2018,1707009,1422.579908,2067
2018,1717503,1717.347704,766
2018,1722081,1164.964396,789
2018,1718899,1023.979533,384
2018,1712405,1378.524531,196
2018,1720150,1379.504232,180
2018,1700251,1115.044531,272
2018,1702703,1235.282338,235
2018,1718808,1285.324252,153
2018,2803906,1805.174334,592
2018,2800605,1959.516159,3721
2018,2805604,1945.136781,1328
2018,2805307,1967.186567,740
2018,2806602,1984.662239,735
2018,2801108,1750.378802,313
2018,2801900,1239.752332,367
2018,2803104,1771.783762,413
2018,2800100,1225.806667,104
2018,1100809,1267.825551,2252
2018,1100296,1025.779887,966
2018,1101807,1158.746496,677
2018,1100148,1298.681363,1629
2018,1100601,1536.27035,548
2021,1100205,2619.708327,116923
2021,1100403,1561.054417,1532
2021,1100379,2843.08602,1112
2021,2202133,1866.256547,294
2021,2207850,1777.945992,240
2021,2205581,1652.483815,379
2021,2204907,1711.639107,447
2021,2200202,1615.319166,1700
2021,2202851,1877.641288,305
2021,2201101,1829.834789,475
2021,2201988,2369.130659,246
2021,2210706,2277.540857,759
2021,2206209,3782.284943,1337
2021,2204154,2165.191934,192
2021,2202711,2056.602571,278
2021,2210623,2475.884929,256
2020,1709500,1670.833727,14594
2020,1712504,1459.723953,859
2020,1703305,1341.175,262
2020,1718709,1413.180863,197
2020,1721109,1271.051549,538
2020,1703800,999.4454338,495
2019,2800506,1590.072686,1254
2019,2807303,1395.124968,356
2019,2802106,1801.491768,9776
2019,2803807,1600.178003,530
2019,2800704,1617.965407,245
2019,2803005,1549.795908,3132
2019,2805307,1820.081148,547
2019,2807006,1524.957966,391
2021,1703867,1568.697865,1253
2021,1703800,1287.801844,551
2021,1703842,1524.556521,1297
2021,1716307,1200.545854,436
2021,1705102,1444.09744,444
2021,1705607,1339.476611,284
2021,1703883,1248.245162,278
2021,1720499,1066.981464,397
2021,1702703,1088.544487,56
2021,2803500,1613.871913,14974
2021,2804805,1863.629548,19390
2021,2804409,1469.839869,2843
2021,2806305,1817.915827,798
2021,2804003,2191.328752,1658
2021,2803708,1784.409838,489
2021,2800100,2234.177579,279
2020,1100155,1375.483211,5896
2022,1715754,1266.822703,1301
2022,1715705,1414.950596,596
2022,1703842,1473.338622,1057
2022,1722081,1511.109736,780
2022,1703891,1117.936974,378
2022,1707702,1630.65265,593
2022,1717909,1682.699147,584
2020,2204303,1773.595496,585
2020,2205599,1639.700649,205
2020,2205706,1435.126465,1852
2020,2200103,1341.363382,57
2020,2208650,1632.652415,513
2020,2208700,1824.941637,390
2020,2209807,1573.959635,214
2020,2205276,2206.599069,225
2020,2209153,1695.43575,227
2020,2210623,2577.936722,266
2020,2209104,1617.869405,335
2020,2202778,1588.957393,330
2020,2204659,1649.852454,382
2020,2211407,1952.795093,185
2020,2211357,2473.502402,173
2020,2206654,1291.872744,221
2020,2206704,1577.651056,370
2019,2708501,1228.09564,7475
2019,2705101,1109.743081,3658
2019,2703502,769.3853652,415
2019,2706000,1732.261121,691
2019,2705408,1647.201434,491
2019,2701209,1241.219029,904
2018,2210904,1904.997589,219
2018,2200301,1409.115993,715
2018,2205854,1413.902111,326
2018,2201770,1304.204867,376
2018,2209302,1453.78769,373
2018,2206951,1717.402744,149
2018,2200707,1154.152769,412
2018,2201556,1534.83625,233
2019,1100338,1421.570114,1975
2019,2503209,1517.78994,20144
2019,2507903,1192.167508,1242
2019,2512705,1414.839843,1321
2019,2515401,1670.563206,468
2019,2500502,1661.031573,843
2019,2512408,1287.867247,779
2019,2504850,1842.330207,171
2019,2507309,1355.773999,1114
2019,2512754,1378.450062,425
2019,2503803,1279.556148,586
2019,2503753,1377.181676,240
2019,2515906,1501.891682,385
2019,2512606,1586.854126,284
2019,2502805,1574.78824,740
2020,2700508,1583.356585,1086
2020,2700201,1586.838021,1342
2020,2703007,1893.153076,721
2019,2201804,1027.78736,331
2019,2207702,1238.090136,22683
2019,2200202,1456.740779,1464
2019,2210508,1871.341616,653
2019,2202109,1596.990647,253
2019,2201739,2131.907539,314
2019,2209807,1409.753704,286
2019,2210391,1607.831556,180
2019,2205151,1706.189716,307
2019,2205599,1588.361154,219
2019,2206654,1456.0376,262
2019,1301704,1247.454143,3048
2019,1300144,1452.325038,873
2019,1301159,1609.083034,1164
2018,2703205,1215.407604,3624
2018,2708501,1154.192385,8136
2018,2702306,1231.169711,11373
2018,2707107,1761.164581,2706
2018,2706505,1535.44325,1083
2018,2708204,1538.363107,413
2019,2413409,1097.598789,894
2019,2408904,1059.013285,3391
2019,2405801,1888.040114,2789
2019,2410009,1612.188163,231
2019,2403509,1249.812833,583
2019,2411908,1318.157011,462
2019,2411809,1416.896039,426
2019,2407906,1728.935968,292
2019,2406205,1697.570771,341
2019,2409902,846.3081252,1959
2019,2406908,1466.511412,313
2019,2409209,926.7879468,220
2022,1100031,1613.895594,888
2022,1100700,2065.703285,1041
2021,2701407,1877.696395,5007
2021,2700607,1291.586001,1725
2021,2700805,1622.487843,657
2021,2702504,3378.358998,449
2021,2706208,2236.673883,308
2022,2806701,2874.034872,14366
