Ano,Codigo do Municipio,Nome do Municipio,Nome da Unidade da Federacao,Valor adicionado bruto da Agropecuaria (1000),Valor adicionado bruto da Industria (1000),Valor adicionado bruto dos Serviços (1000),Valor adicionado bruto da Adm (1000),Valor adicionado bruto total (1000),"Impostos, liq de Subsidios, sobre produtos (1000)",PIB (1000),PIB per Capita (1)
2015,3116001,Chalé,Minas Gerais,12863.578,5284.205,17295.25,21486.616,56929.649,2283.942,59213.591,10179.4
2015,3116100,Chapada do Norte,Minas Gerais,4721.301,2759.445,21237.322,54703.908,83421.976,2197.563,85619.539,5468.45
2015,3116159,Chapada Gaúcha,Minas Gerais,42283.584,6471.042,34989.119,44856.703,128600.448,5105.907,133706.355,10700.79
2015,3116209,Chiador,Minas Gerais,2799.184,1389.044,7960.826,14020.006,26169.061,863.72,27032.781,9630.49
2015,3116308,Cipotânea,Minas Gerais,6031.775,3286.789,12050.364,23331.487,44700.414,1006.735,45707.149,6690.16
2015,3116407,Claraval,Minas Gerais,12073.746,36391.596,32003.355,19512.884,99981.582,11348.198,111329.779,23188.87
2015,3116506,Claro dos Poções,Minas Gerais,10807.156,2752.28,15773.784,27341.251,56674.471,1973.655,58648.127,7459.7
2015,3116605,Cláudio,Minas Gerais,22028.786,107825.45,230038.225,99577.207,459469.668,62939.685,522409.353,18773.47
2015,3116704,Coimbra,Minas Gerais,14202.548,6252.145,34252.084,27087.861,81794.638,5053.007,86847.645,11610.65
2015,3116803,Coluna,Minas Gerais,9869.528,4393.893,27318.466,31337.677,72919.565,4077.229,76996.793,8389.28
2015,3116902,Comendador Gomes,Minas Gerais,46621.174,4623.62,24056.268,15020.503,90321.565,4689.403,95010.968,30491.32
2015,3117009,Comercinho,Minas Gerais,5333.078,3606.395,13298.118,28977.299,51214.89,1771.744,52986.634,6762.81
2015,3117108,Conceição da Aparecida,Minas Gerais,61873.969,9634.772,62682.663,37458.631,171650.035,8886.877,180536.913,17524.45
2015,3117207,Conceição das Pedras,Minas Gerais,13350.951,1940.906,11629.654,12839.042,39760.553,1544.252,41304.804,14498.0
2015,3117306,Conceição das Alagoas,Minas Gerais,119592.728,117362.293,231696.735,104748.778,573400.534,49920.2,623320.734,23957.29
2015,3117405,Conceição de Ipanema,Minas Gerais,6063.33,3181.193,10151.023,18616.806,38012.352,1182.163,39194.515,8470.83
2015,3117504,Conceição do Mato Dentro,Minas Gerais,10980.221,462357.218,235928.371,78063.651,787329.461,42369.079,829698.54,45592.84
2015,3117603,Conceição do Pará,Minas Gerais,11828.474,101568.553,46557.214,23892.333,183846.574,16988.02,200834.594,36782.89
2015,3117702,Conceição do Rio Verde,Minas Gerais,36802.6,11667.481,75034.911,47131.615,170636.607,8504.328,179140.935,13155.68
2015,3117801,Conceição dos Ouros,Minas Gerais,5893.136,24335.934,49358.738,39773.277,119361.084,12473.6,131834.684,11706.15
2015,3117836,Cônego Marinho,Minas Gerais,4568.076,1467.923,10233.62,27339.314,43608.933,1095.736,44704.669,5910.19
2015,3117876,Confins,Minas Gerais,308.914,52467.807,628243.163,34972.613,715992.497,73665.024,789657.521,121898.35
2015,3117900,Congonhal,Minas Gerais,8133.722,45691.733,59861.13,40374.5,154061.086,14378.283,168439.369,14692.9
2015,3118007,Congonhas,Minas Gerais,1702.232,1429388.87,801821.26,325525.412,2558437.775,288869.624,2847307.398,53898.71
2015,3118106,Congonhas do Norte,Minas Gerais,3330.715,1954.39,10795.07,19208.205,35288.379,1115.286,36403.664,7112.87
2015,3118205,Conquista,Minas Gerais,58715.547,171209.073,61154.162,30758.283,321837.065,13349.651,335186.716,48613.01
2015,3118304,Conselheiro Lafaiete,Minas Gerais,8063.012,172438.553,1116358.597,430424.417,1727284.579,151699.974,1878984.552,14981.42
2015,3118403,Conselheiro Pena,Minas Gerais,34880.789,17620.775,112893.49,81721.55,247116.605,14636.256,261752.86,11311.22
2015,3118502,Consolação,Minas Gerais,7026.67,957.775,4991.331,9276.091,22251.866,502.036,22753.903,12613.03
2015,3118601,Contagem,Minas Gerais,1855.987,5703255.724,13720084.785,2371035.26,21796231.756,4232063.296,26028295.052,40119.7
2015,3118700,Coqueiral,Minas Gerais,41338.561,5566.577,42063.77,32315.884,121284.792,4987.417,126272.208,13346.6
2015,3118809,Coração de Jesus,Minas Gerais,32791.806,8318.046,61063.207,88549.328,190722.387,7210.97,197933.357,7337.93
