NOME_MUN,COD_MUN,DISTANCIA
Pequeri,3149507,174.5643273738235
Matutina,3141207,174.5761441012944
Santa Rita de Minas,3159357,174.6338122879533
Itabira,3131703,174.71089200628012
Iraí de Minas,3131604,174.79868094811155
Araújos,3103900,175.11630046590935
Nova Lima,3144805,175.13805946623398
Paineiras,3146404,175.41197927335
Rio Pardo de Minas,3155603,175.74546678677996
Nova Resende,3145109,175.96457302586288
Patrocínio do Muriaé,3148202,175.98933296858786
Guarará,3128501,176.319984614318
Guarani,3128402,176.51048456849668
Carrancas,3114600,176.79758557050903
Capetinga,3112406,176.9447799944641
Santana do Jacaré,3158805,176.96059897044654
Sobrália,3167707,177.1054723554054
Morada Nova de Minas,3143500,177.18038789995316
Virgínia,3171709,177.71576112480986
Cabo Verde,3109501,177.8057055318884
Brasília de Minas,3108602,177.81093099620463
São Tomás de Aquino,3165107,178.06534503334208
Buenópolis,3109204,178.4360954764517
Fervedouro,3125952,178.46440304263177
Itinga,3134004,178.4755735846944
Desterro de Entre Rios,3121407,179.09467867168377
Rodeiro,3156304,179.23289774930083
Taquaraçu de Minas,3168309,179.69161296000397
Carmópolis de Minas,3114501,179.71202692912937
Tupaciguara,3169604,179.86753694201678
Crucilândia,3120607,179.9207384119868
Santa Rita de Jacutinga,3159308,180.05227845193383
Descoberto,3121308,180.48378105369974
Piracema,3150604,180.73974419385127
Dores de Guanhães,3123106,180.78188307469924
Abadia dos Dourados,3100104,180.91211296463268
Berilo,3106507,181.02575287205934
Monte Azul,3142908,181.14199542795012
Belo Oriente,3106309,181.37126738711066
Ferros,3125903,181.4780888904246
São Vicente de Minas,3165305,181.55045550601812
Arceburgo,3104106,181.63914388561855
Carmo do Rio Claro,3114402,181.66765470820138
Sabinópolis,3156809,181.6828195526083
Alterosa,3102001,181.86186453590207
Martinho Campos,3140506,181.88270571028636
Guiricema,3129004,181.91890960789024
Santa Maria do Suaçuí,3158201,182.00157366876482
Carvalhos,3114808,182.36094089853214
Iapu,3129301,182.36903546556542
Mirabela,3142007,182.45922794903134
Dona Euzébia,3122900,182.5112007630769
Peçanha,3148608,182.57413746384253
Capelinha,3112307,182.62024132436608
