,,LN_REMUNERACAO_MEDIA,LN_REMUNERACAO_MEDIA,LN_REMUNERACAO_MEDIA,LN_REMUNERACAO_MEDIA,LN_REMUNERACAO_MEDIA,LN_REMUNERACAO_MEDIA,LN_REMUNERACAO_MEDIA,LN_REMUNERACAO_MEDIA,LN_REMUNERACAO_MEDIA,LN_REMUNERACAO_MEDIA,LN_REMUNERACAO_MEDIA,LN_REMUNERACAO_MEDIA,LN_REMUNERACAO_MEDIA,LN_REMUNERACAO_MEDIA,LN_REMUNERACAO_MEDIA,LN_REMUNERACAO_MEDIA,LN_REMUNERACAO_MEDIA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDU,GINI,TAXA_ALFAB,PROP_MENOS_DE_1_SM,PROP_1_A_2_SM,PROP_2_A_5_SM,PROP_5_A_10_SM,PROP_MAIS_DE_10_SM
ANO,,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010
NOME_MUN,COD_MUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abadia dos Dourados,3100104,-1.562324682077889,-1.4481661189523705,-0.8963967554578576,-0.181931156399776,1.7931769731081355,-0.4564556166651585,-1.0147290462359113,-1.2531308064276638,-1.0703883541910566,-0.8624091576234914,-0.7943671596252203,-0.3713869370692183,0.4484431610864084,0.053102598695310164,-0.45314178038210184,-0.17540513257660942,-0.7069143193046032,-0.14664096783833513,-0.12337066320246773,-0.1371301541712236,-0.09233615233237766,-0.08420247864360147,-0.030466106616742716,-0.06622644993527647,-0.06383995562195045,-0.13384908204932558,-0.061313234161705234,0.09271284320817338,0.2479248859017899,0.6409310293211852,0.45999067286870426,0.4699908351638813,0.16042042576240562,-0.07250143443284346,-0.16965656047592492,-0.1704568957386494,-0.17207635409188912,-0.17292199548155557,-0.17373141851728027,-0.16888220375927027,-0.17153650463931103,-0.17185096405716374,-0.173550281239866,-0.1739419333190008,-0.17431332326064125,-0.17470371869167922,-0.1750373702664815,-0.17536257271111635,-0.17566598331134128,-0.1759390109130523,-0.17679688867547133,0.963338035130058,1.1009142334236435,1.1136701929558128,1.0195937093527778,1.0579030565664036,1.2343466762860975,1.4177242189550747,1.5729251084006264,1.3593649417338292,0.9753566644662823,0.5703985323674338,0.8493829777507588,0.374101209416526,0.9393028024007155,0.8852089390708832,0.6321888374606512,1.0213054397035408,-0.1253888984156171,-0.07322723866821032,-0.22314520863214496,-0.18030682388664385,-0.11314534511210503,-0.3199871358202611,-0.2943530145459677,-0.3818257313546453,-0.37681821640439245,-0.20770710314495214,0.04622767818983458,0.3166608432305607,0.9397784383937478,0.24088950671284381,0.17992905821187102,0.10287172972399762,-0.2625979185616361,-0.5399818722470988,-0.6866323722591365,-0.5506696508413581,-0.2736015988858153,-0.42331435706171067,-0.10605546544832498,-0.44863745596032384,-0.4881770608394495,-0.46356378186059516,-0.19702967938738034,0.2738380689268988,-0.0913538745776699,0.06666104321344872,0.14830844435132737,0.22950014172408034,0.37144957368757653,-0.031796343596261066,-0.29645494706118497,-0.39352300901897,-0.40844557847000135,-0.510390895939932,-0.503658209023108,-0.6457910029485112,-0.5572979678721662,-0.5572749834750617,-0.3743801911944975,-0.5618528207914741,-0.8478638149802292,-1.024256795493851,-1.3394538103094242,-1.1366785227771703,-1.1639573825466123,-0.8884493625067535,-0.5205032600328807,0.740104803858508,0.5089044482246663,0.08888164444275386,-0.13781092452595597,0.661673816661239,-0.38230374785290144,0.580411460062996,0.2025536907082489,0.0957281473356825,0.6287567154273862
Abaeté,3100203,0.35835363330607073,0.3047449987556352,0.22056015471525414,0.022111345979346934,0.05070610147769853,-0.0638262306842385,-0.11014369515698623,-0.2620931585086691,-0.25380250566273,-0.3830974249857853,-0.30158965084862616,-0.23426369165969932,-0.38733682882664905,-0.3288679225569476,-0.2814117125741701,-0.1951617721795328,-0.07376384339764502,-0.05529211661712638,-0.05507990815935716,-0.05449593107035773,-0.041038697666901824,-0.053617541035324776,-0.04367171143526182,-0.002032648695518235,0.005689843128746978,-0.09809508279933252,-0.1449756828634003,-0.15900726853483235,-0.12143631644515103,-0.07526716779753644,-0.1307068954023271,0.014403031804884281,-0.04019371764086836,0.06039085215885049,0.013592723215149661,0.012510997460880779,0.010317397601742313,0.009155346371785372,0.0080254081182901,-0.0012740416278902598,-0.0008099449545135792,-0.0023501757640626737,-0.0029041238591605936,-0.0043749604007382705,-0.005662050204340627,-0.007031469006543101,-0.008221171211031678,-0.009351056715875224,-0.01041388318017341,-0.011412373358636827,-0.014424396426206831,-0.07382495642665636,-0.06078259078654019,-0.20505135075649333,-0.22065517655966976,-0.3204467064740047,-0.009581733579939604,0.2718086612064174,-0.14198645910035085,-0.194003592509059,-0.21836665259127563,-0.3180307865970431,-0.1840872058840571,-0.19275245474825556,-0.19681448746613361,0.7336727513686293,0.707028031729855,0.6034626132611547,-0.18117809134479548,-0.13835467864635326,0.09169682225418377,0.20820860709941919,-0.059815913004832674,-0.40664960190062743,-0.16936662636468167,0.03064691662814278,-0.063999013032804,-0.0460545624784565,-0.13038871835948812,-0.25613449312929754,-0.06787243913243873,-0.3888366790731732,-0.4026578554046202,-0.40628102074892497,-0.04965229459187458,1.1614138657591453,1.1469408684580213,1.0328837615452349,0.9642992785822133,1.3310967722331335,1.3968878698243485,0.9663064140295791,1.085672220526653,1.1296699924179563,1.1718914623155972,1.3022109207448656,1.3615383799355114,1.2530367596883958,1.422664954122603,0.6924484182277224,0.8450560591304627,0.6884949912427266,-0.63073173990271,-0.7079360992723719,-0.7086578879703728,-0.7900885907088012,-0.6880167738056578,-0.6708564673932023,-0.7771700624614453,-0.7570000730162095,-0.6026015818387359,-0.6032112556712405,-0.5523979332041624,-0.6496564379896196,-0.7666797604556391,-0.6161025826505229,-0.8434313988572841,-0.8295242177403647,-0.9495670683648431,1.2270870830901337,0.81042945007855,-0.011918412341231598,1.3002339639196252,0.7320751844561805,-0.4559364148135529,0.6432100640313958,0.4770547237530475,1.0227855776517274,1.042112747834721
Abre Campo,3100302,-0.17382337095912617,-0.15237919839375594,-0.1848277735631884,-0.5568894565213898,-0.08725539364532807,-0.22512354430572548,-0.4736319708081689,-0.7235887324756114,0.5653107303011078,1.1419157532572264,0.7899540222190397,-0.929773456008107,-0.7567605580894009,-0.7402914147478943,-0.7444666248781855,-0.8907163966832151,-1.0267077029532792,-0.17158078201149093,-0.21572382484856167,-0.22403733828310662,-0.23374011527450447,-0.22154051406373967,-0.2852847649768453,-0.3001448839697527,-0.308196913945724,-0.2452992757334553,-0.13559054624804864,-0.3156710960167399,-0.2881335967562415,-0.2796483617103803,-0.20171763800666134,-0.2663879695259341,-0.27190055127128676,-0.2739302753286985,-0.09194787553885213,-0.09365555785242685,-0.09712061284809966,-0.09895508474160505,-0.10073462746728487,-0.10243069532786311,-0.1046956421213899,-0.10620585234479274,-0.10306646267182895,-0.10411961486810292,-0.10512170576557961,-0.10618635191910722,-0.10711602488691736,-0.10799325048157055,-0.10882367226475594,-0.10959954867053365,-0.11192182916070459,0.9333877363572289,0.4142424441199388,0.21381185909394318,0.742666037103894,0.4605558267515337,0.38272577997949153,0.28774859433152267,0.43121785556817743,0.2462508337072461,0.38342293018084833,0.4241996289688025,-0.009254388365943384,0.07893607856446591,0.3838472180565943,0.45857422694997424,0.1477570357929897,0.07275331586826862,-0.49759733835137354,-0.5388799081706209,-0.5854283855813583,-0.5866953861743358,-0.5462299683911561,-0.5929823429714276,-0.6266877412522458,-0.6307494185219678,-0.08390017228345074,0.261419790520359,-0.5869930087677316,-0.6267270217466137,-0.5826737991363528,-0.492671571079331,-0.5375608632895972,-0.5613823116356477,-0.5508118114970636,0.10344257104975713,0.4402140174649722,0.772168858870546,0.23115399314390236,0.5277509270452547,0.4375151509213064,0.7860433373417239,0.6727022863407566,0.39201462226458145,0.06780894567509434,0.4430798907931096,0.9947039080397694,0.9632463116169759,0.7424720205898456,0.5410926926621162,0.9460776279350932,0.9704375233810841,-0.3741888963174657,-0.1407296251053948,-0.14272664492041545,-0.19903230349052428,-0.24290708882834236,-0.043597519973986885,-0.15302354413712274,-0.23498567190156827,-0.40277142978862596,-0.6959921749692204,-0.17784053943416,-0.12419181661897354,-0.24656208056903955,-0.440862604129748,-0.34474817771071137,-0.3074256725285666,-0.2698738628703244,-0.10760508961876429,-0.027139999515571615,-0.45831866381317427,0.7693495167603097,0.1864645840453931,0.6668445219297366,-0.670526338986963,-0.5767534247576847,-0.056269007864918986,-0.0034128894153111606
Acaiaca,3100401,-0.08817640621593703,-0.3249243878414356,-0.5491124098877279,-0.41534688860294544,-0.30860017441477444,-0.23606439938623763,-0.033879583715079924,0.22439749125775052,0.17332011390779958,-0.3470489528049036,-0.05349872346105444,-0.39716421560638937,-0.2110235749498705,-0.6039244190602503,-0.6553062988451432,-0.28621545578377683,-0.4213443840094073,-0.3667685213005615,-0.3104451782080914,-0.3167351550186776,-0.3419508559947368,-0.38234505306783595,-0.4028651834193401,-0.43253758538647535,-0.4928551457009337,-0.4197403599286498,-0.4095084382550136,-0.43678976469027586,-0.41847435741950634,-0.48769540095551017,-0.5611866353497116,-0.5583512573666753,-0.47777120972321685,-0.40242659706269196,-0.197623580670606,-0.19773016133690083,-0.19791230141425584,-0.19799915733775436,-0.19807073400866407,-0.19520588797389837,-0.19827492964842494,-0.19833771581681625,-0.20320746538079879,-0.2036416013495194,-0.204022599216924,-0.2044257712019903,-0.2047775991854691,-0.2050979283908935,-0.20540476604039465,-0.20569932705840754,-0.2065516903441877,-0.5636601095657916,-0.5874756342032902,-0.6705335337392775,-0.714419104042112,-0.6625565269570775,-0.6243958752430196,-0.4762622372754387,-0.33898755894919363,-0.37978775934529047,-0.4783423999902636,-0.48490630521363476,-0.5216025568975634,-0.5943249025521443,-0.7562551361889397,-0.5882166028577742,-0.7440371827026763,-0.8408149222204276,-0.4643143235980814,-0.48855542439491917,-0.43772397531943513,-0.47828365026204434,-0.4206811065788174,-0.6395157452902166,-0.6547540380274591,-0.6790128588196853,-0.6118246287795387,-0.6523897514275501,-0.6964896552352623,-0.5712663039112643,-0.5682085823535274,-0.6058216530166005,-0.5773974241934082,-0.5170870678957206,-0.00746394333079328,0.2882845371844975,0.6262348158115187,0.8666890954935682,0.6606593419905419,-0.05304900912344912,0.07130589150417707,-0.1428475851597176,-0.1906627108069338,-0.07807323477031054,0.15474094405965505,0.24395842758559846,0.029906701824897648,-0.12713137241759043,-0.13823431805954908,-0.1004647362022245,0.038333392241792656,-0.18962084322580694,0.7506734847352498,0.5864442671492898,0.482463731594234,0.6675421504603238,1.092432342049601,1.1780016314031942,1.2357115404277148,1.1406479640954037,1.057816960931281,1.0428488654367682,1.0255601358825615,1.0467308052007613,1.2012763650797833,1.3347181043490541,1.1611498891089405,1.0578626980597774,0.8082123208205017,-0.7569147952609319,-0.027139999515571615,-0.8327188747251262,0.016797528506405156,-0.05994020323689946,0.38675669786916356,-0.9081141940705731,-0.7087606296736345,-0.520844682938703,-0.7845361990435051
Aguanil,3100807,-0.7774764498452741,-0.8143617339387702,-0.8879574559055523,-1.236286242952018,-1.0710042780677245,-0.7430364392854064,-1.028381504059765,-0.9517843000775477,-1.0665077051250167,-0.7200240653998125,-0.7521626422972906,-1.0311587935382178,-1.0293116349860263,-0.7227661059924384,-1.0542522382761947,-0.49744339444076685,0.21102067181156545,-0.1599553662880674,-0.17091290124692937,-0.17872731954865226,-0.1810918411869535,-0.14065014373019424,-0.21684226423981204,-0.2967972051903522,-0.3189050196920259,-0.30506655662107063,-0.19434675228973514,-0.26848576433883337,-0.2896920329231975,-0.2981438008712419,-0.34059470708140954,-0.20968127341774911,-0.27700792344115305,-0.2930757282803061,-0.20114760535697282,-0.2011462741637728,-0.2011051423191637,-0.20106414378684534,-0.20102191567841463,-0.19522694692127007,-0.19783812923987468,-0.1975032440577607,-0.20187395889964174,-0.20184965422450774,-0.20187189222789573,-0.20190316031131364,-0.20192690423130372,-0.2019425036921946,-0.20195722570386124,-0.20197183255122378,-0.20201553186279173,0.8546073915718728,0.7916335079668017,0.9263117616989616,0.9326542945742711,0.9379262822633428,0.85252080831912,0.44603608939547307,0.4915884633635669,0.5524558667626307,1.075742588019727,0.6365679430118885,0.5307202682201009,0.4482207394360968,0.5296711116380446,1.2824118261468787,0.9141640244204758,0.48271600408708343,-0.5113357903883342,-0.5268399530400184,-0.5574343135866995,-0.49623690163409856,-0.44557937734029474,-0.5663898464546522,-0.5394717116218474,-0.5372520650581973,-0.42584892827925874,-0.43773294847430627,-0.37124968187648955,-0.5304411701943821,-0.4893087711962746,-0.5942455141798154,-0.6755396921754109,-0.7027402952673493,-0.5445659548526134,-0.21058220537155853,-0.2070841958441821,-0.28335232821747114,-0.3736781882864044,-0.30983745142065566,-0.3486890687984206,-0.2668374106307249,-0.3449021181497744,-0.4279493632878422,-0.6081741763949111,-0.5569789887384308,-0.30987172408457286,-0.21244096230925402,-0.24178466282313274,-0.5203459958963765,-0.28526132609773575,-0.22058122010977468,-0.05303987870452928,0.012826132606041547,-0.051034752653436787,0.0016552792462016354,-0.12696601686039605,0.1475023927120455,0.40985345279676705,0.409364276197779,0.32925385652944256,-0.10850958332534778,0.1602776652152461,0.32851895886609883,0.2777802017255697,0.3410366730509244,-0.13832049239914393,0.13223859258139514,0.314780544646439,0.3613408089005789,0.7099211161272555,-0.631118761157152,-0.2793801104351063,0.0456618484555102,0.5206510016658107,0.39891510002245906,-0.21929298778791498,-0.2944438292577375,-0.21060719435966954
Aimorés,3101102,1.1052790927003955,0.8817531958796592,0.5369517666508652,0.8392956496733828,1.4860370162884335,0.3692619864609307,0.20174216067076442,0.40156782590512374,0.33805889838644,1.8379600888447114,0.07877122234280517,-0.1989754127539445,0.08587306582347531,0.3669952005016218,0.4036437018406958,0.4163660492884873,0.43277475209555555,0.2824469150444056,-0.03380407380584985,-0.026415948879755707,0.03202750816670157,0.08689849395923409,0.06510122708691087,-0.008735950908794147,0.15737398323220084,-0.08188927624126867,-0.10253397744651888,-0.09350245391811562,-0.016730163664090556,-0.07508834607401034,-0.06240231593324802,-0.1477209866517337,-0.10014452634225511,-0.08410242456266023,0.037371445699516184,0.032751744145180804,0.023381981304477568,0.0183931726624022,0.013557551535062684,0.017236773111836218,0.01664127136804308,0.013793247031493722,0.021301685786802183,0.019291465534326886,0.017500220652988403,0.015590654464686134,0.013927313344203478,0.012345000368490731,0.010860938200926935,0.009461595881592302,0.005258934429189824,-0.8008275164380155,-0.4038806656376734,-0.45974078806742147,-0.5050234220593423,-0.7826662250967427,-0.6323088781333965,-0.5680753786474831,-0.49707231886587006,-0.5885830918519027,-0.5081364807133313,-0.24301304547987268,-0.5550743551082893,-0.44347845688754844,-0.5393412019719636,-0.5172808190223342,-0.47552721676282944,-0.6631494677623233,1.4215650319936892,0.17295335434600873,0.5305919668132034,-0.147850482936379,1.4088876422059327,1.1937820752033372,0.867117170753729,1.1535667487586214,0.5584204320237117,0.6602747800029222,0.5598379550953153,0.529866837631194,0.3894259941284811,0.8264575208857722,0.4279668779800034,0.7098621963354826,0.9834029629894777,0.5813378228473752,1.1297736809438796,0.746301194544202,1.869713829298864,0.21945501308445303,0.3258128953149097,0.4304720950021976,0.24661556457383715,0.6477960727497382,0.48444882886670526,0.3867498889216531,0.4117610531708297,0.6178411857647635,0.46066677495295805,0.7910099111404502,0.4366275195249092,0.26830215103283644,-1.2168653523602173,-0.7198387572812149,-0.7368825794945754,-0.84305536927565,-0.9772792340311302,-0.9987607302065469,-0.7879440292196059,-0.9677936719072603,-0.6095879952639436,-0.5805916337575603,-0.6268049383798387,-0.3872094136642475,-0.504971738612366,-0.7395092402232013,-0.547241734661078,-0.6083575488852705,-0.6317729882199159,0.5958137581602505,-0.4626761133045112,0.2760817498987298,0.9612130187161336,-0.20074293882677985,-0.09174836374351115,-0.050151742362983115,0.26148516994818366,0.6686073163455937,0.5351399965881303
Aiuruoca,3101201,0.03554137832570932,-0.2837900645663478,-0.35210043883519754,-0.16774759367094605,-0.43881694513091246,-0.33631343797700664,-0.2961763982650983,-0.44161180629700925,-0.36341547898803467,-0.3563951507321954,-0.4254385924802082,-0.5318622184777705,-0.39937899100463203,-0.22712364815353067,-0.10594676334157994,-0.0729811665541777,-0.06733642393592389,-0.20670817190269972,-0.19950486920047764,-0.19023520824747042,-0.17672345610834242,-0.2078787804672316,-0.2575290032295642,-0.24797233803246915,-0.2682255166684933,-0.2747467718571694,-0.3076129165801555,-0.31942278284541903,-0.2433675447485613,-0.2880483975437112,-0.2751312386066661,-0.13300352904141233,-0.2253684873746678,-0.20763057379862326,-0.1696340427462996,-0.17054591496540827,-0.17238043417807083,-0.17335066491499485,-0.17428145954533414,-0.17369417323370429,-0.17713170987264565,-0.17798072574405338,-0.17921501677182114,-0.1801448272132719,-0.18092358444750756,-0.1817527886402232,-0.1824673730725508,-0.18315064322542093,-0.1837901870609113,-0.18438799846266887,-0.18618893487043217,0.23127321811002569,0.09194482168032421,0.06456715069500253,-0.04181070458518482,-0.12002367542833342,0.3651473529025894,0.25346402286782155,0.2685925250202696,0.09898232580509268,0.03555122286501927,0.0807370287191909,0.6688826150503666,0.41775559149773467,0.4621846502519421,1.1489803869700435,0.45939156653850954,0.3167094295410811,-0.3581321235390069,-0.32278322607050924,-0.34485942684678383,-0.2952260363630166,-0.24573545592455945,-0.5622729269594169,-0.3590631566092309,-0.38489882032226197,-0.39817213743006247,-0.6146239311628361,-0.6122486391085673,-0.5672240742104434,-0.5867935988883141,-0.539957145880933,-0.5915406091130588,-0.4943612079692439,-0.5185422951285279,0.3524492181171102,0.510948485138486,0.6916356540325854,0.7815114533471258,0.5242744458714561,0.43973031891245135,0.2837656040750313,0.37127183071346603,0.538231513278691,0.7167739783123471,0.5269472234324796,0.2471824920943653,0.3444772784567986,0.377723354464105,-0.002653685124251588,0.375030290153682,0.5617321743983774,-0.09804968969821862,-0.1368666954830332,-0.20840142150477675,-0.24454726967461474,-0.037961906774725045,-0.06320891625006851,-0.03810450282703008,-0.11746464968945074,-0.03736581648850777,0.09965513507310471,0.13636771883907278,-0.20081213832743502,-0.042538245909596054,-0.16179786324528775,-0.5016776993507619,-0.1921419486626533,-0.17875287919853622,0.4515227124619911,1.580993343705142,-0.7463188260531373,0.14160194239999901,-0.1303415710318409,0.5817363247584046,0.14547616386963383,-0.15401183983889766,0.5261228507812852,0.6021588504885076
Alagoa,3101300,0.8120474865564744,0.7807138138649617,0.8989420341430775,0.4635338388865437,0.8044865908224267,1.2977404869075728,1.206497722542347,1.0797397178576056,1.5594673677438018,1.1570607807796314,1.0286087249423181,0.5171917578054134,0.7663893598725111,0.7446907747338735,0.4144596206049173,0.5392721836570935,0.427983150442369,-0.3209589387294523,-0.32100889204449073,-0.33075129873569736,-0.298463297970734,-0.32531411003244654,-0.28060588698045774,-0.30599115658153864,-0.37511813043326564,-0.3331583361418226,-0.35231363274705857,-0.3612665343453716,-0.2990646981936865,-0.3431168911915188,-0.3655600610113459,-0.4069954030616856,-0.3052360418239559,-0.2976750844793561,-0.21049246315149187,-0.21071584104035224,-0.2111615051693157,-0.2113843603968964,-0.21158905004429573,-0.20816767008118126,-0.21168054218702778,-0.2118128894074913,-0.2161691483776453,-0.21657755100936682,-0.21697955455768747,-0.21741518292535347,-0.21777757688425156,-0.21812159211545962,-0.21844546209597754,-0.218750527826227,-0.21965059732460648,0.1184666147610423,0.13979628100727504,0.0639247865597016,0.2623357519852616,0.47018239905940656,0.9224927667832373,0.327146207136808,0.5849076681128946,0.5372840679227601,-0.06855817982017112,0.04973273318288388,0.09017310965771977,0.26478867675945783,-0.09462147462658704,-0.15104188437959484,0.21150593322364342,0.12821647241897777,-0.6383068181573782,-0.6382305829258941,-0.6699181087639241,-0.6824399506469963,-0.7016292359380633,-0.703626960296845,-0.6973478409536038,-0.7429578648654351,-0.7689875105402598,-0.7486928432705573,-0.5663330555550434,-0.666639663575244,-0.7562960199277493,-0.7158782243141967,-0.5337700550812361,-0.4603168349521925,-0.43033152124228846,-0.34084619207161465,-0.32479774879197915,-0.24194401349235345,-0.41069880202458703,-0.7450500441140762,-0.7952825536521491,-0.5706544691900778,-0.7859013912764681,-0.6917166415752254,-0.5367908111808755,-0.6554658377691452,-0.5964325872900769,-0.7276310787839485,-0.6674839753473205,-0.5873816723040417,-0.8928301849307706,-0.7426151082171001,0.816357016688788,0.8366841687441275,0.8912938364492592,0.8493562965578554,0.9116633657631312,0.5922547834578418,0.9146056043847121,0.8872009183234069,0.9198104732587572,1.263649624542753,1.0416438643265855,1.096325389700088,1.123555244998885,1.3257114162979644,1.101191660479975,0.9325697310649179,0.8808218882446146,-0.3240416581661535,0.2743850023383122,-0.5591187205971614,-1.1176187112129703,-0.18314259687804574,0.6205703634824761,-0.5601441131065376,-0.0853365374913477,-0.4636443199301387,-0.6680476341736722
