,,VA_IND_PER_CAPITA,VA_IND_PER_CAPITA,VA_IND_PER_CAPITA,VA_IND_PER_CAPITA,VA_IND_PER_CAPITA,VA_IND_PER_CAPITA,VA_IND_PER_CAPITA,VA_IND_PER_CAPITA,VA_IND_PER_CAPITA,VA_IND_PER_CAPITA,VA_IND_PER_CAPITA,VA_IND_PER_CAPITA,VA_IND_PER_CAPITA,VA_IND_PER_CAPITA,VA_IND_PER_CAPITA,VA_IND_PER_CAPITA,VA_IND_PER_CAPITA,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDU,GINI,VA_AGRO,VA_AGRO,VA_AGRO,VA_AGRO,VA_AGRO,VA_AGRO,VA_AGRO,VA_AGRO,VA_AGRO,VA_AGRO,VA_AGRO,VA_AGRO,VA_AGRO,VA_AGRO,VA_AGRO,VA_AGRO,VA_AGRO,VA_IND,VA_IND,VA_IND,VA_IND,VA_IND,VA_IND,VA_IND,VA_IND,VA_IND,VA_IND,VA_IND,VA_IND,VA_IND,VA_IND,VA_IND,VA_IND,VA_IND,VA_SERV,VA_SERV,VA_SERV,VA_SERV,VA_SERV,VA_SERV,VA_SERV,VA_SERV,VA_SERV,VA_SERV,VA_SERV,VA_SERV,VA_SERV,VA_SERV,VA_SERV,VA_SERV,VA_SERV,VA_ADM,VA_ADM,VA_ADM,VA_ADM,VA_ADM,VA_ADM,VA_ADM,VA_ADM,VA_ADM,VA_ADM,VA_ADM,VA_ADM,VA_ADM,VA_ADM,VA_ADM,VA_ADM,VA_ADM,VA_TOT,VA_TOT,VA_TOT,VA_TOT,VA_TOT,VA_TOT,VA_TOT,VA_TOT,VA_TOT,VA_TOT,VA_TOT,VA_TOT,VA_TOT,VA_TOT,VA_TOT,VA_TOT,VA_TOT
ANO,,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2010,2010,2010,2010,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NOME_MUN,COD_MUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abadia dos Dourados,3100104,368.9902113113735,471.3970771144279,454.3621924634071,591.2730247779336,691.778384279476,613.8662294081757,691.8605577689242,677.139603232917,869.0344570405726,1409.1991374182037,2354.4710069701914,3465.239988517296,7164.858266590389,3686.016250890948,3687.84410970584,2998.0148746281343,1650.658777969019,0.3046483696868238,0.3416148141052476,0.3768593603827388,0.33158445286382,0.3313807985982963,0.3472359446262206,0.3676661080535506,0.3684629234451421,0.3419414719479863,0.3361265172929233,0.2751392320281775,0.2894512021384035,0.2250046312457263,0.2756849823738779,0.3027800368008457,0.2330542718508719,0.264287576418289,0.1086444347691506,0.1163631962024782,0.0976400298175607,0.1096896215383269,0.115351038608016,0.0864932043044806,0.089290605777837,0.0843027724825063,0.0967684267558897,0.1214974885655517,0.1561356779697155,0.1898406958382697,0.2766718264125984,0.1681175215504446,0.1549677191676234,0.1480946944215641,0.0966410529316327,0.2764060987655552,0.2609156722534338,0.2656281606160913,0.3022322806563304,0.2955812973997664,0.3173937671014251,0.2775365352021481,0.2799240964304864,0.2814982677708375,0.3028702060354848,0.3712722825925327,0.3359944588215733,0.3575722431946148,0.3755961838744585,0.3745250137315408,0.3998753884863935,0.367476164598076,0.3103011425269434,0.2811063558168741,0.2598724491836092,0.2564936160316994,0.2576868913991697,0.2488770839678736,0.2655067509664641,0.2673102076418651,0.2797918501350205,0.2395057881060401,0.1974528074095742,0.1847136510651501,0.1407512936243037,0.1806013122012189,0.1677272362714583,0.2189756452411703,0.2715952060520022,0.693,0.839,0.563,0.4738,6659.203,8901.311,11262.217,11469.612,12742.843,16156.801,19306.515,20139.945,20586.812,26214.136,27976.725,36809.945,40741.362,42401.874,50704.453,33303.857,31472.394,2374.821,3032.026,2917.914,3794.199,4435.683,4024.507,4688.739,4607.935,5826.007,9475.455,15876.198,24142.327,50096.689,25857.404,25951.359,21162.987,11508.393,6041.865,6798.568,7938.139,10454.311,11366.217,14768.252,14573.721,15300.47,16947.789,23620.513,37751.732,42728.921,64745.246,57768.769,62719.082,57142.882,43760.493,6782.765,7324.668,7766.133,8872.196,9909.034,11580.188,13942.025,14611.003,16845.053,18678.792,20077.409,23490.313,25485.695,27777.48,28088.106,31291.997,32342.615,21858.653,26056.572,29884.403,34590.319,38453.776,46529.748,52511.0,54659.353,60205.66,77988.896,101682.064,127171.505,181068.993,153805.527,167462.999,142901.723,119083.895
Abaeté,3100203,377.4140102148644,461.2943387978143,762.7189559374596,974.5514162430044,763.6659037931765,504.4547032126012,887.1901004613461,1197.586034912718,1351.9951101321583,1486.248239126607,1421.204617414248,1260.335550722784,1804.140887034988,1088.755895474825,1315.168108933571,1297.274956588031,2500.694570038324,0.179076826381998,0.1930462637706005,0.1931121648139415,0.17287409145139,0.1543320488127859,0.1926040361380246,0.2250228617615776,0.1651779452589685,0.1531485673089722,0.1684175178644504,0.1401666685080486,0.1577995850444447,0.1550060416708291,0.142970592811584,0.2828214557147437,0.2420831555643203,0.2159611869164462,0.1005963682429022,0.1064460697344751,0.148729843465102,0.1709929262064083,0.1234877245284997,0.0731500665199451,0.1091468168489297,0.1441457106749259,0.1474171537807451,0.1470860734627815,0.1293230119209631,0.104347292739029,0.1314214433159639,0.0811041290573532,0.0769184181044358,0.0771222753558118,0.126943085170524,0.4566424071023314,0.4626309270987565,0.4409224431398542,0.4389853219982328,0.4906830889164124,0.4889423056108319,0.4321579857499873,0.4512866451400245,0.4527840464035818,0.4510869556930368,0.4894475185297885,0.5000542175659942,0.491911088339014,0.5220242127185986,0.4266704152968285,0.4530437024017165,0.449097508458855,0.2636843865370707,0.2378767293085086,0.2172355485811022,0.2171476528480025,0.2314971308889914,0.2453035917311983,0.2336723356395054,0.239389698926081,0.2466502325067009,0.2334094529797313,0.2410627970396451,0.2377989046505319,0.2216614266741928,0.2539010654124641,0.2135897108839919,0.2277508641602806,0.2079982194541747,0.72,0.848,0.556,0.551,15259.155,19136.874,22992.286,23062.282,22519.343,29850.61,42421.809,31917.541,31883.493,38657.959,35028.054,44696.367,49993.07,45169.832,113997.823,96145.985,98797.426,8571.827,10552.108,17708.046,22811.325,18018.697,11337.115,20576.6,27853.456,30690.289,33761.615,32318.193,29556.129,42386.486,25623.87,31003.773,30629.959,58073.63,38910.547,45861.078,52497.029,58562.872,71597.966,75778.402,81471.382,87202.683,94263.611,103540.898,122314.344,141639.199,158652.819,164927.245,171979.521,179931.284,205452.093,22468.574,23580.964,25864.46,28968.6,33778.877,38018.216,44052.427,46257.571,51349.295,53575.977,60242.287,67355.989,71490.989,80216.975,86092.344,90453.758,95154.546,85210.104,99131.025,119061.821,133405.08,145914.884,154984.343,188522.218,193231.251,208186.688,229536.449,249902.879,283247.684,322523.364,315937.922,403073.461,397160.987,457477.695
Abre Campo,3100302,180.88566501724395,157.7650367481626,151.98048634043832,195.37517831669047,234.86141365582515,213.8731639076708,199.47243259618293,288.7138954238446,1085.8915934189768,2052.428732436697,506.1909664812867,454.9948916295702,604.5481729997812,840.9773307092354,762.3671135072126,696.1513871695914,716.8990716672856,0.3010222229095464,0.2537968652510707,0.2514754641047834,0.2961469762033282,0.2546516670944951,0.2413715207093326,0.2270070601532192,0.2331253711273557,0.2066560963166136,0.2529643532584052,0.2529283027462118,0.1800711740189805,0.1885558188670026,0.2108000013400651,0.2465886832692279,0.1746105853966812,0.1545810157252237,0.0549501952766236,0.0454570402846583,0.0388518815329466,0.0455661405627678,0.0492735759880437,0.0444610209581418,0.0364935886325587,0.048188075184069,0.1441949462835703,0.1957573380961229,0.0600045420940418,0.0490339645335386,0.0572140998531049,0.0667565817954712,0.0588454315153905,0.0555022137844523,0.0556283919874198,0.3445668703973019,0.3848824174191882,0.4120621398181402,0.3579934999920677,0.4013458685884691,0.3794378526144361,0.4124592973505023,0.4063219961737149,0.3734800067333458,0.3315449915981525,0.3907206686464177,0.4586314797329552,0.4590967668831899,0.4438676609787788,0.4096220634843298,0.4643846503142018,0.4810464258643209,0.2994607114165279,0.3158636986538474,0.2976105145441298,0.3002934182630534,0.2947288883289919,0.3347296218745355,0.3240400538637195,0.3123645448483976,0.2756689606423885,0.2197333170473193,0.2963464865133287,0.3122633895790929,0.2951333143967024,0.2785757500995661,0.2849438217310516,0.3055025446991438,0.3087441664230355,0.646,0.823,0.525,0.5225,13216.735,11745.089,13107.082,16912.432,16159.207,14939.642,16383.67,18404.931,20715.496,35298.381,28390.642,22896.514,27317.246,36432.021,43849.893,30076.644,26824.03,2412.653,2103.639,2024.988,2602.202,3126.71,2751.906,2633.834,3804.383,14454.303,27315.774,6735.377,6234.795,8288.96,11537.368,10464.251,9560.247,9653.046,15128.614,17811.403,21476.975,20444.378,25467.852,23485.23,29768.224,32078.569,37438.158,46263.441,43857.53,58316.175,66512.184,76712.504,72841.476,79990.178,83474.699,13148.175,14617.388,15511.674,17149.228,18702.352,20718.023,23386.785,24660.756,27633.442,30661.357,33264.237,39705.095,42757.786,48145.529,50670.436,52622.762,53575.549,43906.177,46277.518,52120.719,57108.238,63456.121,61894.8,72172.513,78948.64,100241.398,139538.953,112247.786,127152.578,144876.176,172827.423,177826.056,172249.832,173527.324
Acaiaca,3100401,140.30237854251013,157.56669178598344,205.20084095968332,217.27986264410103,231.28533203600097,141.66346153846155,138.4952448882549,191.3249881908361,323.41743119266056,311.6729543716543,286.5791082802548,417.27911001236095,445.9222222222222,391.3288954635108,466.02166953952224,570.2895448954489,1418.9078617926891,0.1197714359608499,0.1256878787763309,0.1282531002766688,0.1096888289824735,0.1103881111925799,0.1161769014758839,0.13190320674472,0.1418255082911647,0.1305687791133482,0.1318929130008835,0.1148144924197075,0.1148042065046566,0.1054173969545096,0.0776201005219346,0.1087175913954075,0.0670211548349427,0.0489205814267924,0.0597515537990285,0.0531200817032692,0.0628200625726825,0.062672276242782,0.0684290707284781,0.0372964244862732,0.0320347805906442,0.0411858507000582,0.0587184109602148,0.0511070100058626,0.0433815270594648,0.0573118348391933,0.0592992250945372,0.0511218937160102,0.0535085184082926,0.0616766685004677,0.1329464617893386,0.3641479900966359,0.4053469573196111,0.4225252267801631,0.4054416953980926,0.3367571834352845,0.3376380975822724,0.3109524709073316,0.3123178064908172,0.3229416827799257,0.3409573513384412,0.3678386703000781,0.3496871334490394,0.3356282258381478,0.3426714163092894,0.337358548415252,0.362478886855254,0.3495919459064849,0.4563290201434856,0.4158450822007887,0.3864016103704855,0.4221971993766519,0.4844256346436573,0.5088885764555704,0.5251095417573041,0.5046708345179597,0.4877711734146332,0.4760427674535388,0.4739652716533242,0.4781968252071105,0.4996551521128053,0.5285865894527657,0.500415313507271,0.5088232898093357,0.4685409874181121,0.61,0.823,0.499,0.4821,1111.44,1484.196,1693.762,1550.412,1533.83,1789.816,2398.489,2789.516,2822.003,3155.429,2976.981,3381.105,3210.535,2409.945,3845.174,2519.109,2085.341,554.475,627.273,829.627,885.85,950.814,574.587,582.511,810.07,1269.09,1222.693,1124.823,1687.894,1805.985,1587.23,1892.514,2318.227,5667.118,3379.175,4786.574,5580.038,5730.772,4679.202,5201.637,5654.268,6142.869,6979.788,8157.123,9537.548,10298.655,10221.711,10639.245,11931.853,13624.412,14902.08,4234.585,4910.542,5102.975,5967.605,6731.038,7839.914,9548.437,9926.193,10542.273,11388.93,12289.264,14083.401,15217.226,16411.53,17698.92,19125.026,19972.529,9279.675,11808.585,13206.402,14134.639,13894.884,15405.954,18183.705,19668.648,21613.153,23924.174,25928.617,29451.055,30455.457,31047.95,35368.462,37586.774,42627.069
Aguanil,3100807,179.38307227260236,180.3957539466521,188.34515870898903,285.7533632286995,363.20433194154487,270.63320177602367,284.9844632768362,374.70706836616455,622.7987157322796,835.2790811339198,898.9089367885687,610.9806662007919,753.9427516158818,570.799542334096,572.0592374035406,462.4256756756757,730.261690647482,0.2914841179469548,0.3020611301577933,0.3507533287691943,0.3204591165726846,0.3159698060743091,0.299771426406676,0.246710643013815,0.2402816804795957,0.2438715647204381,0.3502299720510577,0.2851918662565345,0.2488574223839623,0.2341573683440544,0.2278342716507715,0.355094973249667,0.2670728258719134,0.2019960131795757,0.0529683064885658,0.0472903958985031,0.0433945149209244,0.059839457901821,0.0646302414302063,0.0485553810785781,0.0503493365929847,0.0617529900259392,0.0888298375809964,0.0850858377031587,0.092757185049059,0.0634052496976639,0.0706724378336342,0.0527214446556022,0.0403603764886583,0.0357978754630345,0.0565171735734011,0.311300849351085,0.3136717773645216,0.2952193306448341,0.2911766475141616,0.3082006585156719,0.2896991500981643,0.2974031796074319,0.2955240395992532,0.2853271116694981,0.2583544927999977,0.2757991264928457,0.3113195487860288,0.3259682238449846,0.3307731188127873,0.2900641140092128,0.3261512897998049,0.3460836049818082,0.3442467262133943,0.336976553874743,0.3106328256650471,0.3285247780113326,0.3111993404162891,0.3619740424165815,0.4055367991958505,0.402441251702077,0.381971450803063,0.3063296974457859,0.3462518471927531,0.3764178033056961,0.3692019699773267,0.3886711648808389,0.3144805362524617,0.3709779914298299,0.3954032082652149,0.672,0.845,0.513,0.4662,3592.215,4233.381,5707.381,5801.364,6804.345,6773.571,5931.982,6291.227,6923.055,14069.001,11411.695,10294.701,10821.428,10779.455,22175.571,15317.834,11609.29,652.775,662.774,706.106,1083.291,1391.799,1097.147,1210.614,1616.861,2521.712,3417.962,3711.595,2622.94,3266.08,2494.394,2520.493,2053.17,3248.204,3836.434,4396.104,4803.744,5271.255,6637.038,6545.98,7150.848,7737.622,8099.9,10378.294,11035.853,12878.626,15064.406,15649.77,18114.414,18706.251,19890.417,4242.455,4722.72,5054.549,5947.379,6701.614,8179.088,9750.844,10537.005,10843.451,12305.494,13854.955,15571.602,17062.425,18389.083,19639.212,21277.265,22724.956,12323.879,14014.981,16271.78,18103.289,21534.795,22595.786,24044.289,26182.716,28388.119,40170.751,40014.097,41367.868,46214.339,47312.702,62449.69,57354.521,57472.867
Aimorés,3101102,1789.2752980986145,681.3561188952781,1188.5440622440622,716.6059582183032,2683.583381706609,2592.729655001651,2279.5456153753366,2994.075810674723,2392.913692979294,2870.186467853134,2927.6473914263947,3188.360077896787,2809.193225618065,3680.127150307465,2779.3156440882385,3724.436778032749,4728.221132854364,0.0910570703837976,0.1491677039424826,0.1576244076979573,0.1364844703599201,0.0949600446285206,0.1151932413800884,0.1204743327330061,0.1230861997575719,0.1051922657940508,0.1277070724500987,0.151563564819255,0.1105403037513268,0.1240448472232947,0.102958681867295,0.1180604263647524,0.0994152136171934,0.0694688101142798,0.3318057226691239,0.1538497621677512,0.2199499124095394,0.1148108620322639,0.3475737323263991,0.3195633218562299,0.2738098761374314,0.3070627487812455,0.2481934239964267,0.2588935852468217,0.2341083979602294,0.2216630673999967,0.1973398820352446,0.2490292901868895,0.1881974021860159,0.2327050234932478,0.2739462174078478,0.3951924092014673,0.4607423286356604,0.4091986723637535,0.5390080263515642,0.3670613818301173,0.3666879649455141,0.3736033805684273,0.3599291760493547,0.4009786234545496,0.3766557049790125,0.3842475190978493,0.3928059074412044,0.4199849365670626,0.411487250693156,0.437772149308291,0.4071924366923415,0.4014824634905917,0.181944797745611,0.2362401961102108,0.2132270075287495,0.2096966478578741,0.1904048465851641,0.1985554718181676,0.2321124153906952,0.2099218712806387,0.2456356867549728,0.2367436409396257,0.2300805181226662,0.2749907186996786,0.258630334174398,0.2365247772526592,0.2559700221409405,0.2606873286273286,0.2551025089872807,0.685,0.81,0.576,0.5328,12189.299,16313.366,20799.87,20674.383,17682.772,22647.307,24945.198,29794.375,25323.383,35321.53,47265.123,40823.02,45354.987,39093.728,44813.866,40909.735,30206.626,44416.97,16825.408,29024.246,17391.31,64722.664,62827.025,56694.579,74327.932,59748.662,71605.412,73006.743,81861.145,72154.128,94557.187,71436.75,95758.994,119118.075,52902.19,50387.973,53997.216,81647.812,68351.513,72091.859,77357.642,87124.835,96529.295,104176.343,119827.653,145064.948,153560.682,156242.974,166171.367,167561.222,174573.749,24355.929,25835.839,28137.102,31764.411,35455.812,39036.55,48060.778,50813.909,59132.927,65479.127,71750.648,101555.281,94563.988,89809.185,97162.162,107273.818,110924.4,133864.388,109362.587,131958.434,151477.915,186212.76,196602.741,207058.196,242061.052,240734.267,276582.411,311850.167,369304.395,365633.785,379703.074,379584.145,411503.768,434822.85
Aiuruoca,3101201,231.0728487107797,277.14072229140726,324.36831404441665,427.0788772149914,468.1641509433962,253.2302016724053,478.3870812630229,536.0001610305959,671.5021869431395,440.782700765597,483.4334532374101,594.845234300287,605.2277449256832,701.7897435897436,780.5184768637532,886.0752133999033,875.23474801061,0.2160157153974583,0.2125784599457864,0.2306800985080483,0.1957602001236855,0.1800763468323143,0.2391863581987226,0.2227393263413844,0.213847825043084,0.1887574143517105,0.2040910380355618,0.2007485438847948,0.2664576363714886,0.2303953438186982,0.2199509090732813,0.3375209386997234,0.2122073549326434,0.1827962139400332,0.0750692410626473,0.0783626500617644,0.0778893100380686,0.0915566802629319,0.0951212321913084,0.0491892497711886,0.079010300394623,0.0838569182566606,0.0933110018111214,0.057085102859045,0.0561704089364759,0.057915163727009,0.0566202409029466,0.0602228241523178,0.0516137527141342,0.0648444982977797,0.0602203244587424,0.3709452360039598,0.3926640652182859,0.4031473724026644,0.4187924362218707,0.4009592615418901,0.3796906957007423,0.3575716701147089,0.3735018959604758,0.3891995291480346,0.4018101696632971,0.400358264392518,0.3742217908690118,0.3890306687900484,0.4019567610109922,0.3483757544290725,0.4002773691664799,0.4347331103855026,0.3379698579976644,0.3163948247741632,0.2882832190512186,0.2938906833915118,0.323843159434487,0.3319336963293464,0.3406787296214379,0.3287933607397795,0.3287320546891334,0.337013689442096,0.3427228017840154,0.3014053935142032,0.3239537464883066,0.3178694920112929,0.2624895541570699,0.3226707658167047,0.3222503626223477,0.677,0.871,0.505,0.4888,4280.783,4829.654,6142.474,5823.162,5636.824,7510.007,8414.099,8488.334,8385.228,9674.384,10566.934,17170.557,15409.444,15993.969,31767.867,18004.437,16025.441,1487.647,1780.352,2074.011,2723.482,2977.524,1544.451,2984.657,3328.561,4145.183,2705.965,2956.679,3732.059,3786.91,4379.168,4857.947,5501.641,5279.416,7351.021,8921.09,10734.876,12457.569,12550.992,11921.582,13507.464,14825.537,17289.529,19046.725,21073.923,24114.89,26019.39,29228.722,32789.535,33960.975,38112.331,6697.548,7188.299,7676.311,8742.191,10137.072,10422.101,12869.324,13050.906,14603.364,15975.223,18040.127,19422.594,21666.875,23114.225,24705.825,27376.551,28251.155,19816.998,22719.395,26627.672,29746.404,31302.412,31398.141,37775.543,39693.338,44423.304,47402.297,52637.662,64440.101,66882.619,72716.085,94121.174,84843.605,87668.342
Alagoa,3101300,90.54076183695264,88.92324093816632,80.24371236273467,117.6410891089109,101.9925873632192,138.3125663716814,141.93657867672266,180.7112098427888,222.2137320044297,255.9589345172031,508.12277448071205,404.3807803468208,318.09189580318383,379.66521739130434,653.9713352685051,867.3869912790697,938.4767051807678,0.2023579784816376,0.2186981477984547,0.2305905931769507,0.2346807704970203,0.2558881983709029,0.3084695937546896,0.2319112639129981,0.2513437042371603,0.2420276185425441,0.1894644629272971,0.1960382882017106,0.1927370361848183,0.2115060449392782,0.1549081660159506,0.1662971517621012,0.1823014937152756,0.1609957102870336,0.0346516536614024,0.0303286519039673,0.0251416275354805,0.0304587400889091,0.0255636848015225,0.0274254294170338,0.0252680313987615,0.0319084911873145,0.0332720834619543,0.0358628336302218,0.0631409916927061,0.0430767449823184,0.0321868859177075,0.0359146562675492,0.05935328695157,0.0695900515847897,0.0727726637099023,0.2975014142475495,0.3007218614275252,0.2998030982421127,0.2870869165727026,0.2598022215089373,0.2387242012518191,0.2642028277829032,0.247507523458363,0.2569699525578339,0.2660833604822371,0.2644815322950345,0.2789612607319428,0.2676308486644968,0.2818587759775863,0.2825133735855126,0.2579440063176091,0.2869282251691215,0.4654889536094104,0.4502513388700526,0.4444646810454561,0.447773572841368,0.4587458068461431,0.4253807755764574,0.4786178769053369,0.4692402811171619,0.4677302901663142,0.5085893429602438,0.4763391878105486,0.4852249581009203,0.4886762570875555,0.5273184017389138,0.4918361877008162,0.4901644775354981,0.4793033719321951,0.634,0.832,0.518,0.4212,1485.225,1804.394,2077.639,2563.327,2892.291,4394.799,3799.979,4165.059,4378.898,3655.102,4253.222,5008.168,5777.427,4519.73,5049.844,6253.23,5570.449,254.329,250.23,226.528,332.689,288.945,390.733,414.029,528.761,601.977,691.857,1369.899,1119.326,879.206,1047.876,1802.345,2387.049,2517.933,2183.539,2481.14,2701.249,3135.739,2936.531,3401.129,4329.092,4101.489,4649.243,5133.215,5738.158,7248.658,7310.513,8223.747,8578.911,8847.888,9927.712,3416.499,3714.85,4004.661,4890.857,5185.18,6060.445,7842.387,7775.86,8462.436,9811.581,10334.595,12608.309,13348.514,15385.482,14935.289,16813.418,16583.889,7339.592,8250.614,9010.077,10922.612,11302.948,14247.106,16385.487,16571.169,18092.555,19291.755,21695.874,25984.461,27315.659,29176.835,30366.389,34301.584,34599.984
