,,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDU,GINI,TAXA_ALFAB,PROP_MENOS_DE_1_SM,PROP_1_A_2_SM,PROP_2_A_5_SM,PROP_5_A_10_SM,PROP_MAIS_DE_10_SM
Casa Grande,3114907,276.8271335504886,303.8723529411764,359.0593589743591,400.4554656862746,470.1689684210528,613.7421562499997,631.4438497652584,747.9462903225805,795.2649599999994,786.22,959.043427895981,1083.301560283688,1132.5082783018872,1343.8772432432422,1469.7808901515143,1638.470930232558,1593.8729629629618,3261.01,3897.75,3938.16,4468.2,5182.94,6688.05,6997.22,8256.9,9133.97,11072.93,9751.68,12416.15,13316.15,13144.3,15770.86,26157.71,19530.13,2300.0,2317.0,2352.0,2371.0,2390.0,2100.0,2143.0,2129.0,2242.0,2243.0,2241.0,2307.0,2308.0,2308.0,2309.0,2309.0,2260.0,0.2757940873279755,0.3028784541059255,0.3211559011426048,0.2543298748824558,0.22785150955843,0.224588362030858,0.2285226400114175,0.2332553077326652,0.2753466893952916,0.2968340619040163,0.2696820056623334,0.3253803604012973,0.3147446132544901,0.3126517186858263,0.372059606811522,0.5786000301368603,0.3972693015414712,0.0466823724849884,0.0378354307770169,0.0310650784819554,0.0435714146472854,0.0384555540048471,0.0412861273312045,0.0344253705788837,0.0480185714714618,0.047607973945936,0.0478067921873264,0.0496229639638537,0.0384077344343077,0.0395245648993564,0.0404372062554603,0.0373525656915638,0.0246810725882849,0.0329994841553785,0.2622660161304632,0.2739226502352254,0.2507413946128424,0.2790026932120113,0.3147269132090602,0.305599433469972,0.2679588943928311,0.3169187516230995,0.2864320351423194,0.2891957117395603,0.270756030106859,0.2713581156142823,0.2818078309958311,0.2424044831188348,0.2318115044264931,0.1672835448941151,0.2504696799217367,0.4152576613932143,0.3853635795923555,0.3970377377980508,0.4230960172582474,0.4189660232276626,0.4285260771679653,0.4690930950168674,0.4018073691727732,0.3906133514299827,0.3661634341690969,0.4099389535803881,0.3648537895501127,0.3639229908503222,0.4045065919398784,0.3587763230704211,0.2294353523807396,0.3192615343814135,0.608,0.823,0.555,0.4035,94.6,0.3951942740286298,0.1365030674846625,0.0485685071574642,0.0061349693251533,0.0015337423312883
Cascalho Rico,3115003,478.1889523809522,568.1967073170732,619.4813546798032,586.7054455445547,622.3881582733808,744.314867549669,793.666587301588,811.4578755690442,822.111474178404,916.5999914015472,1170.9312027832998,998.1422356495464,1058.3505479452058,1134.698281733745,1317.6706841216246,1385.8650900473965,1434.030591350399,5666.66,7273.41,7779.6,8888.98,8606.16,7901.23,9551.91,9216.22,11317.45,15050.42,17805.77,18000.06,16913.26,15983.49,19565.44,16364.63,16759.51,2621.0,2620.0,2618.0,2618.0,2617.0,2799.0,2911.0,2938.0,2857.0,2876.0,2893.0,2999.0,3018.0,3037.0,3055.0,3071.0,3057.0,0.3703442015084896,0.4077277051309359,0.4131976538777932,0.4027940837877463,0.4526493818825816,0.4149160211356715,0.3858291757973426,0.3166818726223163,0.3255157355456474,0.352815481161895,0.3191681940004354,0.3395905106893728,0.3452810740698409,0.3276438014833939,0.4050310359386279,0.3011428724227224,0.2666501096085494,0.058818273838492,0.0496221889426938,0.0461679218156484,0.0504310747184408,0.0473239223269378,0.0580126394988458,0.0728967770744068,0.1045532714626698,0.1752089410787927,0.1568814154736897,0.1691289945606194,0.1476053207322625,0.0920252221469788,0.0723663783346741,0.0502824790997796,0.0467399281014928,0.0478137271341798,0.2561231457899529,0.2446558878760407,0.2523057202611712,0.2597507776710512,0.2592293565800214,0.2382694550937604,0.2635934534461676,0.2718555825877937,0.2172790595519484,0.2204123277365797,0.2270220613809548,0.2359440144881329,0.2412944181133778,0.2553808051459371,0.2310788714880442,0.2574520018128401,0.2729336936463908,0.3147143788630653,0.2979942726248265,0.2883287554048804,0.2870240638227617,0.240797385963157,0.2888018371884707,0.2776805559967875,0.30690927332722,0.2819962316429361,0.2698907756278356,0.2846807703680547,0.2768601540902317,0.3213992856698023,0.3446090367321117,0.3136076134735482,0.3946652183593566,0.4126024898897948,0.734,0.845,0.604,0.4935,93.9,0.3290374546919049,0.2609746274667741,0.1083366894885219,0.0193314538864277,0.0092629883205799
Cataguases,3115300,542.643774162877,585.9467537104102,643.1636350416221,759.7968405536459,801.8865826388517,815.6990437891008,825.9746700925947,909.330187089407,1009.7348417950976,1062.615388098316,1208.4369552441262,1316.4632597303694,1426.7011416856403,1559.518843599179,1697.2889022858649,1872.2537094406543,1921.2432122730147,6352.64,6710.93,7764.22,9165.0,9035.69,10490.94,11752.41,11793.21,14552.63,15752.87,16612.98,17241.81,18376.5,19071.78,19890.62,21062.01,20663.49,65209.0,65780.0,66977.0,67640.0,68298.0,67384.0,69955.0,70507.0,69810.0,70201.0,70630.0,73232.0,73712.0,74171.0,74609.0,75025.0,74691.0,0.0144087012111584,0.0393229878057985,0.0203154271538822,0.0181258020472029,0.0248435881340622,0.0153904412317873,0.014206361308781,0.0146628701796373,0.0118296491119329,0.0222125078780858,0.0193883877655642,0.0205791991010325,0.0214961020919181,0.0213771718615132,0.0200678926213238,0.0101493305029599,0.0094426756998902,0.329099101488457,0.3226747747649173,0.3623402534030955,0.3773059561939397,0.3057986817755646,0.3290673101966523,0.3895839174088341,0.2975909291783161,0.3448954731543721,0.332125646847384,0.3036325424499952,0.263839595931949,0.2689998256676947,0.2412715799266999,0.2401081226244002,0.2266699688969314,0.2157746574691171,0.4689425545429387,0.4564522848553149,0.451527049497474,0.4413186439924494,0.4847590317799328,0.47016300234804,0.4161716919286918,0.5010206581761351,0.4705189767191938,0.4684880333227373,0.4968319756861317,0.519914295665609,0.5145431428904446,0.5296845336223281,0.5274525018076656,0.5455910808277207,0.5451469228401151,0.1875496427574458,0.1815499525739692,0.1658172721389378,0.1632495977664078,0.1845986983104402,0.1853792478874409,0.1800380279507965,0.1867255424659115,0.1727559010145011,0.1771738130038067,0.1801470940983088,0.1956669083915587,0.1949609293499426,0.2076667145894588,0.2123714829466103,0.2175896197723878,0.2296357439908774,0.718,0.861,0.685,0.512,94.6,0.3595785160251719,0.1946761630648649,0.1009317527684277,0.0254158739450704,0.0097728344472088
Catas Altas,3115359,465.4425987841947,520.2557122905027,535.3444921875004,615.1206543209876,690.0476415094349,814.1356983240221,961.7364002333736,1078.9641566820278,1129.5017489711947,1269.355098214285,1399.8622997415991,1587.940016863405,1774.4124328594,1833.6831574539367,1829.4449253731352,2131.419385026738,2189.9342565845377,3235.71,3782.41,6740.65,9229.84,10113.81,11815.26,34280.79,13713.4,61506.7,79287.53,74720.93,89939.47,87923.76,52580.24,52146.24,114839.64,78800.28,4330.0,4372.0,4459.0,4507.0,4555.0,4561.0,4747.0,4795.0,4839.0,4893.0,4938.0,5136.0,5184.0,5230.0,5274.0,5316.0,5330.0,0.1321302784938818,0.1391859101257602,0.2727403838737949,0.1279436659578418,0.2110154179641962,0.066168663184336,0.0222396362829486,0.1291494059570668,0.0291229374266035,0.0126821902285253,0.0085328459928276,0.0273003702361023,0.0294900058921892,0.0284269915112828,0.0270123648987744,0.012082342733009,0.0175301224562296,0.1377815931572149,0.1351557434630813,0.2650588410497943,0.4236210412750695,0.3209121466008298,0.4572045032993621,0.6816681310356187,0.3908396262865012,0.7147360119770343,0.7341461782224006,0.7128110167721937,0.7001455043335382,0.6880799990673576,0.6023387325568885,0.5984276994126824,0.7083891262795384,0.6553855613151098,0.3424037165063913,0.3518362495477837,0.2485091744836285,0.2607903609614686,0.2842196469366831,0.2832295820678309,0.2174342530034783,0.2556720564988313,0.2015139205692382,0.203026907438081,0.2207927238484588,0.2199026877853801,0.218914905194374,0.2544393700322641,0.2556659130341038,0.2239133084414845,0.2417172533483935,0.3876844881229787,0.3738220968633747,0.213691600592782,0.1876449318056199,0.1838527653877876,0.1933972514484708,0.0786579796779543,0.2243389112576006,0.0546271334362453,0.0501447267277508,0.0578634133865197,0.0526514376449793,0.0635150920713185,0.1147949058995645,0.1188940263662689,0.0556152242026635,0.0853670628802668,0.665,0.828,0.582,0.392,94.3,0.3224787363304982,0.1703523693803159,0.1227217496962333,0.0140947752126366,0.0041312272174969
Catas Altas da Noruega,3115409,335.3118061674007,371.6359734513276,406.0916037735848,448.070513833992,596.0018118466897,707.6140909090907,704.1033003300331,831.4686120996437,919.4799371069188,848.7852923976606,1011.5986458333332,1092.8910835214433,1053.110204081633,1343.084444444445,1291.043978494623,1360.5150626566417,1587.476957295373,1892.46,2128.11,2185.56,2527.79,2931.77,3306.46,3929.36,3850.51,4248.65,4997.85,5050.0,6745.78,7666.32,7766.31,7284.78,9742.75,9664.18,3269.0,3260.0,3241.0,3231.0,3221.0,3424.0,3550.0,3573.0,3462.0,3476.0,3489.0,3608.0,3623.0,3638.0,3652.0,3666.0,3629.0,0.0832272499715591,0.1134088300264496,0.1073770772466661,0.1031427050034136,0.111088596993165,0.1088027808456637,0.0949603754164777,0.0756913325459533,0.0824626470009215,0.0783225074285269,0.0652845581697985,0.1671027921664238,0.1201950234150713,0.1260040023740589,0.1631492530108738,0.2221945478769491,0.19572545586241,0.0475018845198634,0.0457288850816264,0.0428359920783455,0.0357363063788069,0.0334459839349643,0.0364950336817314,0.0310763362611722,0.0408979702746679,0.0505694593831054,0.0596258788387443,0.0696326914013337,0.0739774326369437,0.0582213142100253,0.0654250857603471,0.037539631873502,0.043722781783632,0.0514158172621954,0.2784596257021166,0.2762712368228335,0.2646123180145643,0.2821000949351593,0.2822415494046099,0.2602025292383759,0.2677352340415621,0.2723183623856938,0.2674394767843338,0.2673974369862123,0.2821233206265295,0.252005342876881,0.2657003961599415,0.2749736129710911,0.2751606034770038,0.2594338279134181,0.272205271487358,0.5908112398064607,0.5645908979404451,0.5851746126604238,0.5790208936826202,0.5732239804529695,0.5944997476612957,0.6062280542807879,0.6110923347936849,0.5995284168316393,0.5946541174416546,0.5829593712258432,0.5069143903186439,0.5558832662149618,0.5335972988945028,0.5241505116386204,0.4746488712835035,0.4806534553880365,0.588,0.799,0.46,0.4437,87.9,0.4721849865951742,0.10656836461126,0.0418900804289544,0.0043565683646112,0.0
Catuji,3115458,352.3505063291142,382.8758415841584,420.8021052631578,457.4038913043476,522.1583903420524,554.2621910112367,613.8847643979057,659.0780550774529,802.1125849056604,767.7665061728396,829.6949093655593,941.7400562587908,1049.437246175243,1095.3675507765836,1225.995809178743,1484.63790062112,1424.493110831235,1786.78,1836.43,2074.51,2513.1,3479.03,4051.72,3409.5,4193.15,5162.73,5844.06,6422.41,7333.48,6872.3,8764.74,8379.89,9524.99,9436.26,7393.0,7422.0,7481.0,7514.0,7547.0,6597.0,6704.0,6633.0,6705.0,6661.0,6614.0,6761.0,6721.0,6683.0,6646.0,6612.0,6366.0,0.1038738663548687,0.1116952219734848,0.1360968335586337,0.1312134437764135,0.1141065958296953,0.1113613552410232,0.1134658523421095,0.0974084124182583,0.11091080922621,0.1493059262944854,0.1152657138751172,0.1121411215261899,0.1352188338492238,0.1331519165034119,0.1157521539627888,0.0504372711736224,0.0487454721385716,0.0401673605180448,0.0339838306776537,0.0273698004056416,0.0477334481861393,0.0459813008811869,0.0502792774205426,0.0410516495989642,0.0478848956217333,0.047689686717237,0.0408433945423855,0.0397411643685654,0.0359114012335384,0.0387467266088773,0.0465125374841808,0.032466709128478,0.029346326179607,0.0275946751003236,0.3117689573517665,0.3017038292985289,0.3037311367778191,0.3001646982572975,0.4022893759341749,0.3934904068524784,0.2675679734471857,0.3692493796994806,0.3830792705858315,0.3546629447832459,0.3795815035286706,0.4028687772664454,0.300420456451434,0.367929413975824,0.3315088337512316,0.4201260804296515,0.4115219732964114,0.54418981577532,0.5526171180503326,0.5328022292579055,0.5208884097801496,0.4376227273549429,0.4448689604859555,0.5779144797832452,0.4854573122605277,0.4583202020655966,0.4551877343798832,0.4654115934630471,0.4490786786822081,0.5256140052882142,0.4524061320365831,0.5202723031575015,0.5000903222171189,0.5121378970872882,0.534,0.771,0.382,0.5546,78.0,0.3602941176470588,0.0709558823529411,0.0227941176470588,0.0022058823529411,0.0023897058823529
Catuti,3115474,352.81932038834964,368.6393767705387,353.7314330218068,526.07358662614,576.5041641337385,648.0962359550563,675.4610000000005,749.6708659217877,811.6947398843932,898.1057262569831,1027.5035754189953,1009.4405684754524,1106.7486294416246,1297.8355990783389,1412.3725252525248,1476.7104156479222,1470.9744507042249,1954.36,2099.87,2515.79,2793.96,2874.01,3142.41,3634.51,3818.4,4682.41,4887.95,5779.78,6095.04,6494.41,6864.53,7757.99,7667.58,7986.46,5247.0,5205.0,5117.0,5068.0,5020.0,5303.0,5465.0,5473.0,5102.0,5084.0,5067.0,5200.0,5187.0,5174.0,5163.0,5151.0,5008.0,0.2117971971144696,0.1869638572613073,0.3040959375813309,0.2260537017554878,0.1509271204492349,0.1444117004859348,0.137751752157846,0.1417927395410785,0.1687202345950877,0.1487248491095428,0.1452387914262666,0.1399743300891267,0.1138447842570334,0.1050543907355102,0.1425159812716479,0.0933871653786417,0.0870790425881732,0.0384003124246385,0.0334124819442033,0.0266806067849755,0.0338111061694206,0.0396535786193462,0.044468776507943,0.0383837684127101,0.049748704807373,0.0448372396595335,0.0433944034741026,0.0466608633468381,0.0425405327647118,0.0467105905478646,0.0550427667046763,0.0482521379360435,0.0420126548093948,0.0416661968747018,0.2068499021302789,0.2063337436678895,0.1864205907732244,0.2038413921597428,0.216560867435532,0.2010036483308713,0.2147314521121724,0.2204910568432267,0.2330270059295319,0.2190842025977703,0.2448162989771463,0.2460381986782083,0.244574220270636,0.2365866002422036,0.2311418122139094,0.2471216099314346,0.2569850342556855,0.5429526891908398,0.5732899171265996,0.4828028648604691,0.5362937999153486,0.5928584334958868,0.6101158130646916,0.6091330273172711,0.5879674988083217,0.5534154766263304,0.58879650346967,0.5632840462497488,0.5714469707799099,0.5948703744808256,0.6033162134487886,0.5780900429318352,0.6174785698805288,0.6142697520234648,0.563,0.773,0.549,0.5054,75.4,0.5120018643672803,0.0750407830342577,0.0207410859939408,0.0023304591004427,0.0009321836401771
Caxambu,3115508,435.65023795119936,479.2096693121699,514.345633864281,520.8692686935078,574.7084689301724,630.0831633041475,675.2632858306201,766.6491247264763,816.2486106719374,905.9813791032828,1053.6958859548429,1104.5363961407477,1203.1153737604857,1318.0976169861883,1442.410624061768,1559.772887807038,1604.3679753033828,4517.74,4757.44,5364.32,5598.41,5980.07,7319.33,7217.94,7961.97,9148.43,9673.22,11538.15,12094.48,12570.79,13567.03,13921.77,14828.15,15552.54,22684.0,22942.0,23482.0,23782.0,24079.0,21009.0,21514.0,21431.0,21719.0,21673.0,21641.0,22257.0,22244.0,22231.0,22219.0,22208.0,21703.0,0.010978135805768,0.0128455880577243,0.0140414974087464,0.0123329986844125,0.0150388864068823,0.0157597864329926,0.0168395806130858,0.0160781720736026,0.0132111655113833,0.0169976745329376,0.0122672445264499,0.010878254118914,0.0125199976162645,0.010595492279585,0.0147308608892045,0.005945766627421,0.0053196917474286,0.0968051135356558,0.0983262611488323,0.0870693740494905,0.0817225790009759,0.0746360239116106,0.074719440087394,0.0705095828833008,0.0753008766886724,0.078996648207836,0.0823054252198254,0.0801517906886874,0.0686765999042921,0.0700894625968894,0.0656988761425825,0.0654098582660876,0.065761864738678,0.0660044676467672,0.6627855706083596,0.6590686843334859,0.6848685906931019,0.6775638045680169,0.6628369404931435,0.6775580623692118,0.645942383506583,0.6465239588914521,0.6442703572778857,0.6197737998602255,0.6495873164800751,0.6598369472100155,0.6456531782527268,0.6444238414956256,0.6273031867099211,0.6331811021398693,0.6392540936221229,0.2294311906143951,0.2297594664599574,0.2140205378486611,0.2283806177465945,0.2474881567274914,0.2319627111104016,0.2667084460241972,0.2620969923462727,0.2635218235757,0.2809231003870114,0.2579936439873663,0.2606081987667782,0.2717373615341191,0.2792817936334189,0.2925560906764094,0.2951112664940317,0.2894217501653396,0.77,0.848,0.629,0.6667,94.4,0.3588387710856116,0.1656178943472053,0.0822272751308762,0.0309872560943366,0.0108931309819681
Cedro do Abaeté,3115607,529.5635064935066,617.2431468531466,664.8737500000005,897.568734177215,881.2280745341616,850.6582456140352,869.8915564202335,994.9971481481484,1061.2317037037028,976.368384615384,1137.144886363636,1452.6033043478265,1483.0716260162603,1640.5971052631587,1664.2861682242983,1692.5194685990336,1763.6929493087555,3849.55,4118.7,4379.34,5323.97,5728.77,6898.52,7534.93,8501.68,7943.5,8954.1,9910.11,11488.69,12769.24,14169.33,17969.43,14456.15,15474.7,1265.0,1254.0,1231.0,1218.0,1205.0,1203.0,1228.0,1221.0,1212.0,1204.0,1199.0,1227.0,1222.0,1218.0,1213.0,1209.0,1171.0,0.1514179708775564,0.1692461652361662,0.1863135337543051,0.1693063245633849,0.1707152999629071,0.1566235800143456,0.1458780114430029,0.1468124724820793,0.1515183640360556,0.1560201870996708,0.1340387806968011,0.1419718397609882,0.1394914871236865,0.1803088358531621,0.1305424071414315,0.1436893831024759,0.1162000258875178,0.0466497379116028,0.0382364449649107,0.0301779423598856,0.037525950272852,0.0472970242163566,0.0528315326785949,0.0475792634984783,0.1268942965553747,0.0564686248466518,0.0589486583659926,0.059759676910608,0.0508888141091701,0.0631028790075208,0.0516234338826789,0.0483252486077574,0.0414069264464732,0.0423906685437294,0.2704194433988476,0.2602055609554828,0.2546249560917357,0.2569010365742207,0.255647085274423,0.2540984440655334,0.2520560309184832,0.2398722673777215,0.2490274384127957,0.2433773042766153,0.2529372583297021,0.2679972948899573,0.2596875748681829,0.2505867795789139,0.3885294083115805,0.2707567869678242,0.2737292639306283,0.5315130602357223,0.5323118288434402,0.528883376784767,0.5362666885895423,0.5263405905463133,0.536446443241526,0.5544868052393083,0.4864210625256628,0.5429855727044969,0.5416538502577211,0.5532642840628886,0.5391420512398845,0.5377180590006096,0.517480950685245,0.4326029359392305,0.5441468445456809,0.5676800416381245,0.641,0.801,0.608,0.4093,87.3,0.3988657844990548,0.1805293005671077,0.0727788279773156,0.0122873345935727,0.0
Central de Minas,3115706,371.7086173633441,460.2616403785489,559.5576969696968,524.6239443155456,617.0350870406184,682.2916399999998,715.190208333333,808.2068421052631,904.7341891891886,1027.1884006462035,935.3955609756088,1127.5407227138644,1116.1861082474218,1198.5614660309886,1301.9689238210374,1392.1428255528233,1459.8627183271833,2469.71,3063.23,3283.32,3471.24,4287.42,4477.62,4730.95,4999.43,5675.49,6146.4,7640.2,8726.94,9735.49,10606.9,11615.63,10952.16,10509.94,6570.0,6580.0,6602.0,6614.0,6626.0,6590.0,6801.0,6821.0,6774.0,6790.0,6806.0,7029.0,7051.0,7072.0,7092.0,7112.0,7017.0,0.1236064804872231,0.1202260926758381,0.1208290443975811,0.1037204090902989,0.0861536536932635,0.1037530962729873,0.1055388509069018,0.0986044856101243,0.090355986900108,0.1063894566483596,0.0983079057858698,0.1102338170478794,0.1072264168879475,0.1007399739397474,0.1004660932601762,0.051695292607234,0.0531490750944802,0.0688358563717392,0.0634365069844818,0.0680575884301709,0.0672069812210058,0.0642368146494423,0.0708287686094765,0.0511473560815829,0.0665706863902732,0.0804531759530274,0.0773913289727008,0.0749173113221346,0.0698666755998672,0.0731163242649189,0.0527981169074395,0.0531406621280228,0.0379245028554927,0.032278938324415,0.3962967080885696,0.4275205285881414,0.429182424469426,0.4216031042334663,0.4766100204220921,0.4076145667761345,0.4009149832023674,0.4024834208964406,0.4084633806771182,0.3891408484554023,0.4460425580637497,0.455606878378351,0.4651090363306572,0.4821343824074517,0.4740987063519465,0.490200450507464,0.4802105188914072,0.4112609550524679,0.3888169259563669,0.3819309427028219,0.4074695523912147,0.3729995112352019,0.4178036039650391,0.4423988424414341,0.4323414071031618,0.4207274564697462,0.4270783659235372,0.3807322451726165,0.3642926289739021,0.354548237950998,0.3643275408640375,0.3722945382598543,0.4201797540298091,0.4343614676896974,0.663,0.823,0.54,0.6067,81.8,0.4510572987721691,0.1060709413369713,0.0475784447476125,0.0097203274215552,0.0030695770804911
Centralina,3115805,410.0947231715649,483.9863118994833,489.42890389197777,567.6911378848731,964.7069294809024,698.8750000000005,875.1460797101449,977.0753754385954,891.933852520692,997.981310679611,1172.9789026915105,1335.713986301369,1386.723291966034,1560.6917170228446,1593.764133828996,1711.4410363086242,1793.8479688715952,5275.69,6645.2,9600.34,8682.99,8930.54,7658.7,8200.87,7661.94,8977.23,12669.9,13938.76,14522.28,13170.36,14924.31,17872.71,25534.76,24211.05,9490.0,9143.0,8416.0,8014.0,7614.0,10219.0,10536.0,10557.0,10270.0,10269.0,10271.0,10583.0,10593.0,10604.0,10613.0,10622.0,10425.0,0.3122154905262649,0.3390081897402193,0.3677072065903888,0.2846770814419543,0.2653276707266969,0.2726152033607519,0.3193748884382407,0.3032902529718987,0.2997962642580639,0.4105006763530735,0.3747944359513085,0.3142673652618635,0.2176387313446856,0.2993699105451046,0.321465182483149,0.3242873778504595,0.2154874199300144,0.1102918424833957,0.1036326736673674,0.0731350794153089,0.0870852537258727,0.0653532928345381,0.0663101039076217,0.0596260857129504,0.0667498289097435,0.0712116773103373,0.0667456349178223,0.0680638946085328,0.0588759994624753,0.0594893079097044,0.0612923895467643,0.0581181453287679,0.0480078080308651,0.046548754169061,0.3705032588331207,0.3767332731837307,0.421702288447889,0.4468752695079249,0.4480014972368036,0.4145375380552839,0.3611378153836938,0.3411750927609883,0.3586280454039653,0.3099982507278542,0.3415181504389198,0.4046447150139068,0.4534768934807076,0.386878676927518,0.3872005847391975,0.4493024109485725,0.5429059728321148,0.2069894081572187,0.1806258634086825,0.1374554255464132,0.181362395324248,0.2213175392019613,0.2465371546763423,0.2598611981599437,0.2887848253573694,0.2703640130276333,0.2127554380012499,0.2156235190012387,0.2222119202617543,0.2693950672649022,0.252459029611263,0.2332160874488856,0.1784024031701027,0.1950578530688097,0.654,0.853,0.558,0.4041,89.2,0.3774284110050533,0.1911285794497473,0.0818641212801796,0.0149354295339696,0.0023582257158899
Chalé,3116001,474.5115234375001,483.8562411347517,504.2515625,573.5259895833331,586.128005464481,586.6437714285711,649.6897536945806,673.3393492407811,782.4393135011442,851.6518161434988,1038.0661851015782,1071.723638613861,1078.970873786408,1187.2685000000004,1311.7837301587308,1391.9342610364683,1377.1180178571428,2228.64,2533.99,2931.79,2993.25,3564.92,3824.42,5133.29,4565.72,5379.03,7060.98,7388.09,7612.89,10210.73,10179.4,13010.01,11762.32,13207.53,5691.0,5704.0,5732.0,5747.0,5762.0,5465.0,5609.0,5598.0,5647.0,5644.0,5643.0,5811.0,5814.0,5817.0,5820.0,5823.0,5709.0,0.1979259877857035,0.2425698409176794,0.305122607579355,0.2393606824557553,0.2837362050534737,0.2654028503521881,0.3449450743448216,0.2167137956963208,0.232224273745002,0.3182756202964877,0.2681608442863301,0.2230141280149864,0.2596160284452324,0.2259556878701289,0.2455344528800498,0.2015500298357966,0.1845669914650887,0.0449817216323062,0.0404517043535203,0.0360815259819506,0.0380240434022529,0.0325340569737704,0.0367929176543531,0.0315504532848573,0.0464086519733833,0.05820658425744,0.0579383540749661,0.0492651880141621,0.0452555064592273,0.126259075266597,0.0928199118178297,0.0926246378844268,0.1120979262178551,0.1691204680993704,0.2869696385249641,0.2960377123542512,0.271125500500889,0.2801500410799509,0.2610870456453316,0.2518227751563894,0.2588472051630698,0.2848972593059264,0.2813211464964296,0.2625679481698306,0.2812518290206491,0.3221828112022632,0.2854284897218302,0.3038003975749087,0.3413037922808188,0.3031830413672006,0.2941638294477527,0.4701226520570261,0.420940742374549,0.3876703659378053,0.4424652330620408,0.4226427427726715,0.4459815059512654,0.3646572672072512,0.4519803332906779,0.4282479614785648,0.3612180774587154,0.4013221139205418,0.4095475543235229,0.3286964065663403,0.3774240027371326,0.3205371169547044,0.3831690025791475,0.3521487109877881,0.636,0.787,0.561,0.4573,85.2,0.472,0.1394871794871794,0.0498461538461538,0.0121025641025641,0.0022564102564102
