,NOME_MUN,COD_MUN,ANO,COD_UF,NOME_UF,VA_AGRO,VA_IND,VA_SERV,VA_ADM,VA_TOT,IMPOSTOS_INDIRETOS_LIQ_SUBSIDIOS,PIB,PIB_PER_CAPITA,POP,POP_RURAL,PROPORCAO_DA_POP_RURAL,VA_AGRO_PER_CAPITA,VA_IND_PER_CAPITA,VA_SERV_PER_CAPITA,VA_ADM_PER_CAPITA,VA_TOT_PER_CAPITA,IMPOSTOS_INDIRETOS_LIQ_SUBSIDIOS_PER_CAPITA,VA_AGRO_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,EXP_VIDA_AO_NASCER,MORTALIDADE_INFANTIL,IDHM,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDU,REND_MEDIO_FORMAL,TRANSF_PER_CAPITA_BOLSA_FAMILIA,GINI,TAXA_ALFAB,PROP_MENOS_DE_1_SM,PROP_1_A_2_SM,PROP_2_A_5_SM,PROP_5_A_10_SM,PROP_MAIS_DE_10_SM,SIGLA_UF,REMUNERACAO_DEZEMBRO,REMUNERACAO_MEDIA,VINCULOS_ATIVOS,VINCULOS_CLT,VINCULOS_ESTATUTARIOS,NUM_FIRMAS
0,Conceição das Alagoas,3117306,2002,31,Minas Gerais,40339.456,18971.531,54628.864,21055.931,134995.781,12149.397,147145.178,8153.44,17809.0,,,2.2651162895165364,1.0652777247459149,3.067486327137964,1.1823196698298613,7.580199955078892,0.6822054579145377,0.2988201238674267,0.1405342512148583,0.4046708985668226,0.1559747337585313,,,,,,,,,,,,,,,,MG,656.0841749011847,636.094273892153,2056.0,1370.0,686.0,814.0
1,Conceição das Alagoas,3117306,2003,31,Minas Gerais,49702.579,24425.106,73917.885,23332.999,171378.569,17944.135,189322.704,10290.96,18112.0,,,2.7441794942579505,1.3485592977031802,4.08115531139576,1.2882618705830389,9.462155973939929,0.9907318352473498,0.2900163030302815,0.1425213557478123,0.4313134683718826,0.1361488728500236,,,,,,,,,,,,,,,,MG,699.3481749049431,638.3003112139924,2286.0,1581.0,705.0,860.0
2,Conceição das Alagoas,3117306,2004,31,Minas Gerais,71689.97,44996.872,83223.651,24471.372,224381.865,21145.379,245527.244,13096.18,18748.0,,,3.823872946447621,2.4000891828461706,4.439068220610198,1.305279069767442,11.968309419671431,1.1278738532110093,0.3194998401497376,0.2005370264660203,0.3709018596489515,0.1090612737352905,,,,,,,,,,,,,,,,MG,903.3790123927552,683.8405493402191,3783.0,3172.0,611.0,926.0
3,Conceição das Alagoas,3117306,2005,31,Minas Gerais,66217.459,57002.159,81234.296,30295.077,234748.991,23190.777,257939.769,13505.41,19099.0,,,3.467064191842505,2.984562490182732,4.253327189905231,1.5862127336509766,12.291166605581443,1.2142403790774383,0.2820777150858978,0.242821742309427,0.3460474767280256,0.1290530658766495,,,,,,,,,,,,,,,,MG,963.2518290258436,756.0596236559152,4127.0,3232.0,895.0,977.0
4,Conceição das Alagoas,3117306,2006,31,Minas Gerais,91836.785,76070.651,94407.029,35936.718,298251.182,29971.279,328222.461,16876.06,19449.0,,,4.721928376780298,3.911288549539822,4.854081392359504,1.8477411692117849,15.33503943647488,1.5410190241143502,0.307917589409587,0.2550556564097707,0.3165353054661154,0.1204914520674054,,,,,,,,,,,,,,,,MG,1230.3399206209203,793.6771542580069,4240.0,3345.0,895.0,904.0
5,Conceição das Alagoas,3117306,2007,31,Minas Gerais,79832.235,69113.392,92332.803,44047.327,285325.758,25900.997,311226.755,15236.79,,,,,,,,,,0.279793298577691,0.2422262626565948,0.3236048636029559,0.1543755716579924,,,,,,,,,,,,,,,,MG,1181.9653179516033,911.0432195529154,4783.0,3800.0,983.0,994.0
6,Conceição das Alagoas,3117306,2008,31,Minas Gerais,99068.349,72143.133,109814.978,51428.367,332454.827,29824.516,362279.343,16842.37,21510.0,,,4.6056880055788,3.353934588563459,5.105298837749884,2.390905020920502,15.455826452812644,1.3865418874941888,0.2979904063778265,0.2170013100757294,0.3303154867413009,0.154692796805143,,,,,,,,,,,,,,,,MG,1407.2688709097458,1044.1573846617775,4323.0,3388.0,935.0,858.0
7,Conceição das Alagoas,3117306,2009,31,Minas Gerais,102576.749,104591.527,128161.446,54408.264,389737.986,33109.815,422847.8,19274.67,21938.0,,,4.675756632327468,4.767596271310056,5.841984045947671,2.48009226000547,17.765429209590664,1.509244917494758,0.2631941270410321,0.2683636975534635,0.3288400171493676,0.1396021582561367,,,,,,,,,,,,,,,,MG,1513.002580531602,1202.8024546583836,4798.0,3803.0,995.0,876.0
8,Conceição das Alagoas,3117306,2010,31,Minas Gerais,106723.266,131727.228,141186.657,59636.75,439273.901,50915.644,490189.545,21261.75,23055.0,2163.0,0.0952171329210045,4.629072478854912,5.713607807417047,6.1239061808718285,2.586716547386684,19.05330301453047,2.208442593797441,0.2429538057167662,0.2998749247340329,0.321409163345673,0.1357621062035278,76.72,12.8,0.712,0.734,0.862,0.57,,,0.5263,92.0,0.2345653520545116,0.2148977906256452,0.144435267396242,0.0261717943423497,0.007639892628536,MG,1827.2923483735565,1366.4238643067863,4225.0,4169.0,56.0,881.0
9,Conceição das Alagoas,3117306,2011,31,Minas Gerais,177348.812,126845.842,161209.04,70251.0,535654.694,52195.719,587850.413,25020.23,23495.0,,,7.548363992338795,5.398844094488189,6.861419025324538,2.9900404341349223,22.798667546286445,2.221567099382847,0.331087945250042,0.2368052467771336,0.300957019150102,0.1311497888227224,,,,,,,,,,,,,,,,MG,1732.116656589009,1522.9471168981445,5645.0,4610.0,1035.0,913.0
10,Conceição das Alagoas,3117306,2012,31,Minas Gerais,174573.861,157854.727,200925.863,78390.491,611744.942,63462.844,675207.786,28213.6,23932.0,,,7.294578848403811,6.595968870132041,8.395698771519305,3.2755511866956373,25.5617976767508,2.6517985960220622,0.2853703382152361,0.2580401016213061,0.3284471177532024,0.1281424424102553,,,,,,,,,,,,,,,,MG,2038.49901337792,1758.3942047722292,5182.0,4391.0,791.0,887.0
11,Conceição das Alagoas,3117306,2013,31,Minas Gerais,166647.775,110612.622,211428.03,92147.764,580836.19,50431.21,631267.4,25111.08,25139.0,,,6.629053462747126,4.400040653963961,8.41035960062055,3.6655302120211615,23.104983889573965,2.006094514499384,0.2869101097161318,0.1904368631024868,0.3640062958198249,0.1586467330832123,,,,,,,1899.02,68.97,,,,,,,,MG,2414.1370504313154,1794.828637532137,5943.0,4860.0,1083.0,943.0
12,Conceição das Alagoas,3117306,2014,31,Minas Gerais,142024.107,107940.25,229198.617,97460.143,576623.117,51475.569,628098.686,24546.61,25588.0,,,5.550418438330467,4.218393387525403,8.957269696732844,3.80882222135376,22.534903743942472,2.011707401907144,0.2463031793433977,0.1871937610853711,0.3974842670069365,0.1690187925642946,,,,,,,1773.32,64.7,,,,,,,,MG,2366.630571691175,1924.2151619812587,5381.0,4349.0,1032.0,972.0
13,Conceição das Alagoas,3117306,2015,31,Minas Gerais,119592.728,117362.293,231696.735,104748.778,573400.534,49920.2,623320.734,23957.29,26018.0,,,4.596538089015297,4.510811476669998,8.905247713121684,4.026011914828196,22.03860919363517,1.9186793758167424,0.2085675211456988,0.2046776834707308,0.4040748504081441,0.1826799449754262,,,,,,,1664.18,51.64,,,,,,,,MG,2461.6191996142707,1987.5183712541589,5153.0,4215.0,938.0,938.0
14,Conceição das Alagoas,3117306,2016,31,Minas Gerais,201482.586,141041.472,262888.276,106013.344,711425.678,65526.225,776951.903,29398.82,26428.0,,,7.623830255789315,5.336819736642955,9.9473390343575,4.011402451944907,26.91939147873468,2.479424284849402,0.2832096060496709,0.1982518713641371,0.3695231759683546,0.1490153466178374,,,,,,,1602.58,43.84,,,,,,,,MG,2543.5928623629707,2176.3974959349584,4946.0,4025.0,921.0,936.0
