ANO,COD_UF,NOME_UF,COD_MUN,NOME_MUN,VA_AGRO,VA_IND,VA_SERV,VA_ADM,VA_TOT,IMPOSTOS_INDIRETOS_LIQ_SUBSIDIOS,PIB,PIB_PER_CAPITA
2002,31,Minas Gerais,3103900,Araújos,19956.846,4054.664,11405.667,5994.607,41411.784,2215.126,43626.911,6794.41
2002,31,Minas Gerais,3104007,Araxá,24200.323,291346.585,344707.283,86603.059,746857.251,83111.882,829969.132,10170.32
2002,31,Minas Gerais,3104106,Arceburgo,6179.989,15522.092,24553.593,8952.492,55208.166,8627.894,63836.059,7730.21
2002,31,Minas Gerais,3104205,Arcos,7069.921,87866.695,88953.316,34137.055,218026.987,27783.435,245810.422,7187.44
2002,31,Minas Gerais,3104304,Areado,9081.792,4445.493,21535.107,11729.988,46792.38,3450.255,50242.635,3977.09
2002,31,Minas Gerais,3104403,Argirita,1143.773,386.612,3002.944,4199.358,8732.687,439.208,9171.896,2868.91
2002,31,Minas Gerais,3104452,Aricanduva,2048.724,272.087,1722.75,4203.32,8246.881,276.947,8523.829,1954.56
2002,31,Minas Gerais,3104502,Arinos,12201.377,1898.653,15850.153,17154.52,47104.704,2477.38,49582.084,2773.51
2002,31,Minas Gerais,3104601,Astolfo Dutra,2576.809,11503.611,18018.022,11184.154,43282.595,5193.675,48476.27,4067.48
2002,31,Minas Gerais,3104700,Ataléia,8089.077,1019.623,7818.216,14625.942,31552.858,1097.117,32649.975,1988.55
2002,31,Minas Gerais,3104809,Augusto de Lima,5207.768,1257.203,5136.461,5455.408,17056.84,788.554,17845.393,3571.94
2002,31,Minas Gerais,3104908,Baependi,6766.059,9819.986,32222.872,15907.13,64716.047,5460.306,70176.353,3947.81
2002,31,Minas Gerais,3105004,Baldim,4200.139,1397.877,5919.967,8295.08,19813.063,962.055,20775.117,2568.0
2002,31,Minas Gerais,3105103,Bambuí,22475.746,8392.371,37195.753,21089.475,89153.344,6385.361,95538.705,4338.72
2002,31,Minas Gerais,3105202,Bandeira,2985.256,439.295,2073.499,5064.161,10562.211,201.164,10763.375,2079.48
