ANO,NOME_MUN,GINI
2010,Coqueiral,0.4901
2010,Coração de Jesus,0.4975
2010,Cordisburgo,0.4606
2010,Cordislândia,0.4573
2010,Corinto,0.5454
2010,Coroaci,0.5062
2010,Coromandel,0.513
2010,Coronel Fabriciano,0.4983
2010,Coronel Murta,0.4929
2010,Coronel Pacheco,0.4238
2010,Coronel Xavier Chaves,0.5335
2010,Córrego Danta,0.4815
2010,Córrego do Bom Jesus,0.3851
2010,Córrego Fundo,0.3288
2010,Córrego Novo,0.4347
2010,Couto de Magalhães de Minas,0.4684
2010,Crisólita,0.5154
2010,Cristais,0.5835
2010,Cristália,0.5239
2010,Cristiano Otoni,0.4465
2010,Cristina,0.4427
2010,Crucilândia,0.4349
2010,Cruzeiro da Fortaleza,0.5939
2010,Cruzília,0.4966
2010,Cuparaque,0.4842
2010,Curral de Dentro,0.5476
2010,Curvelo,0.5213
2010,Datas,0.4228
2010,Delfim Moreira,0.4534
2010,Delfinópolis,0.4757
2010,Delta,0.4117
2010,Descoberto,0.4591
2010,Desterro de Entre Rios,0.4177
2010,Desterro do Melo,0.4617
2010,Diamantina,0.5713
2010,Diogo de Vasconcelos,0.5082
2010,Dionísio,0.4582
2010,Divinésia,0.4026
2010,Divino,0.5418
2010,Divino das Laranjeiras,0.4505
2010,Divinolândia de Minas,0.4433
2010,Divinópolis,0.4797
2010,Divisa Alegre,0.5048
2010,Divisa Nova,0.3952
2010,Divisópolis,0.4569
2010,Dom Bosco,0.4267
2010,Dom Cavati,0.4487
2010,Dom Joaquim,0.5453
2010,Dom Silvério,0.4177
2010,Dom Viçoso,0.4153
2010,Dona Eusébia,0.4163
2010,Dores de Campos,0.3997
2010,Dores de Guanhães,0.4926
2010,Dores do Indaiá,0.471
2010,Dores do Turvo,0.4669
2010,Doresópolis,0.3953
2010,Douradoquara,0.493
2010,Durandé,0.4343
2010,Elói Mendes,0.479
2010,Engenheiro Caldas,0.5006
2010,Engenheiro Navarro,0.4304
2010,Entre Folhas,0.4803
2010,Entre Rios de Minas,0.5007
2010,Ervália,0.4654
2010,Esmeraldas,0.4437
2010,Espera Feliz,0.5093
2010,Espinosa,0.4586
2010,Espírito Santo do Dourado,0.3689
2010,Estiva,0.3957
2010,Estrela Dalva,0.5966
2010,Estrela do Indaiá,0.4748
2010,Estrela do Sul,0.4473
2010,Eugenópolis,0.4578
2010,Ewbank da Câmara,0.3693
2010,Extrema,0.4015
2010,Fama,0.4685
2010,Faria Lemos,0.515
2010,Felício dos Santos,0.4627
2010,Felisburgo,0.5288
2010,Felixlândia,0.46
2010,Fernandes Tourinho,0.4209
2010,Ferros,0.5258
2010,Fervedouro,0.4825
2010,Florestal,0.4861
2010,Formiga,0.49
2010,Formoso,0.5614
2010,Fortaleza de Minas,0.4256
2010,Fortuna de Minas,0.4255
2010,Francisco Badaró,0.4689
2010,Francisco Dumont,0.4495
2010,Francisco Sá,0.5353
2010,Franciscópolis,0.5096
2010,Frei Gaspar,0.4375
2010,Frei Inocêncio,0.471
2010,Frei Lagonegro,0.5062
2010,Fronteira,0.4488
2010,Fronteira dos Vales,0.4609
2010,Fruta de Leite,0.4796
2010,Frutal,0.483
2010,Funilândia,0.4631
2010,Galiléia,0.509
2010,Gameleiras,0.5062
2010,Glaucilândia,0.4418
2010,Goiabeira,0.4867
2010,Goianá,0.4705
2010,Gonçalves,0.4581
2010,Gonzaga,0.513
2010,Gouveia,0.4554
2010,Governador Valadares,0.5377
2010,Grão Mogol,0.4816
2010,Grupiara,0.4063
2010,Guanhães,0.5713
2010,Guapé,0.3993
2010,Guaraciaba,0.4872
2010,Guaraciama,0.4206
2010,Guaranésia,0.4084
2010,Guarani,0.4936
2010,Guarará,0.4165
2010,Guarda-Mor,0.5353
2010,Guaxupé,0.4868
2010,Guidoval,0.3874
2010,Guimarânia,0.485
2010,Guiricema,0.422
2010,Gurinhatã,0.4896
2010,Heliodora,0.4136
2010,Iapu,0.5244
2010,Ibertioga,0.4322
2010,Ibiá,0.5166
2010,Ibiaí,0.5025
2010,Ibiracatu,0.5129
2010,Ibiraci,0.4286
2010,Ibirité,0.4501
2010,Ibitiúra de Minas,0.4059
2010,Ibituruna,0.4244
2010,Icaraí de Minas,0.5059
2010,Igarapé,0.4759
2010,Igaratinga,0.3784
2010,Iguatama,0.4308
2010,Ijaci,0.4174
2010,Ilicínea,0.4
2010,Imbé de Minas,0.4439
2010,Inconfidentes,0.4915
2010,Indaiabira,0.484
2010,Indianópolis,0.4079
2010,Ingaí,0.5229
2010,Inhapim,0.533
2010,Inhaúma,0.4416
2010,Inimutaba,0.4267
2010,Ipaba,0.4056
2010,Ipanema,0.5237
2010,Ipatinga,0.5236
2010,Ipiaçu,0.4416
2010,Ipuiúna,0.5357
2010,Iraí de Minas,0.4839
2010,Itabira,0.5212
2010,Itabirinha,0.4904
2010,Itabirito,0.4829
2010,Itacambira,0.4992
2010,Itacarambi,0.51
2010,Itaguara,0.4414
2010,Itaipé,0.4875
2010,Itajubá,0.5571
2010,Itamarandiba,0.5172
2010,Itamarati de Minas,0.3959
2010,Itambacuri,0.5228
2010,Itambé do Mato Dentro,0.4174
2010,Itamogi,0.4161
2010,Itamonte,0.4702
2010,Itanhandu,0.5114
2010,Itanhomi,0.5689
2010,Itaobim,0.514
2010,Itapagipe,0.4603
2010,Itapecerica,0.454
2010,Itapeva,0.4851
2010,Itatiaiuçu,0.4099
2010,Itaú de Minas,0.5678
2010,Itaúna,0.4924
2010,Itaverava,0.478
2010,Itinga,0.5079
2010,Itueta,0.5219
2010,Ituiutaba,0.5093
2010,Itumirim,0.5362
2010,Iturama,0.4713
2010,Itutinga,0.5592
2010,Jaboticatubas,0.5582
2010,Jacinto,0.4899
2010,Jacuí,0.4124
2010,Jacutinga,0.4326
2010,Jaguaraçu,0.4164
2010,Jaíba,0.4676
2010,Jampruca,0.4841
2010,Janaúba,0.5405
2010,Januária,0.5663
2010,Japaraíba,0.3723
2010,Japonvar,0.4662
2010,Jeceaba,0.481
2010,Jenipapo de Minas,0.4589
2010,Jequeri,0.5044
2010,Jequitaí,0.4802
2010,Jequitibá,0.7832
2010,Jequitinhonha,0.5509
2010,Jesuânia,0.4862
2010,Joaíma,0.5385
2010,Joanésia,0.4999
2010,João Monlevade,0.496
2010,João Pinheiro,0.5073
2010,Joaquim Felício,0.5314
2010,Jordânia,0.5163
2010,José Gonçalves de Minas,0.4157
2010,José Raydan,0.4902
2010,Josenópolis,0.4621
2010,Juatuba,0.4854
2010,Juiz de Fora,0.5655
2010,Juramento,0.4324
2010,Juruaia,0.6452
2010,Juvenília,0.5434
2010,Ladainha,0.5624
2010,Lagamar,0.5023
2010,Lagoa da Prata,0.4607
2010,Lagoa dos Patos,0.4421
2010,Lagoa Dourada,0.5345
2010,Lagoa Formosa,0.5019
2010,Lagoa Grande,0.5023
2010,Lagoa Santa,0.5874
2010,Lajinha,0.5123
2010,Lambari,0.4933
2010,Lamim,0.4569
2010,Laranjal,0.5139
2010,Lassance,0.4577
2010,Lavras,0.5103
2010,Leandro Ferreira,0.4631
