NOME_MUN,TAXA_ALFAB,ANO
Córrego Fundo,91.2,2010
Córrego Novo,80.7,2010
Couto de Magalhães de Minas,89.8,2010
Crisólita,69.0,2010
Cristais,90.9,2010
Cristália,83.2,2010
Cristiano Otoni,94.5,2010
Cristina,91.5,2010
Crucilândia,87.4,2010
Cruzeiro da Fortaleza,90.9,2010
Cruzília,90.6,2010
Cuparaque,80.6,2010
Curral de Dentro,78.7,2010
Curvelo,92.8,2010
Datas,90.4,2010
Delfim Moreira,91.7,2010
Delfinópolis,90.7,2010
Delta,87.7,2010
Descoberto,92.3,2010
Desterro de Entre Rios,86.8,2010
Desterro do Melo,83.9,2010
Diamantina,91.5,2010
Diogo de Vasconcelos,84.6,2010
Dionísio,89.4,2010
Divinésia,91.6,2010
Divino,87.3,2010
Divino das Laranjeiras,83.4,2010
Divinolândia de Minas,87.6,2010
Divinópolis,96.5,2010
Divisa Alegre,80.0,2010
Divisa Nova,87.3,2010
Divisópolis,77.0,2010
Dom Bosco,85.9,2010
Dom Cavati,88.7,2010
Dom Joaquim,85.1,2010
Dom Silvério,90.9,2010
Dom Viçoso,90.8,2010
Dona Euzébia,92.2,2010
Dores de Campos,93.5,2010
Dores de Guanhães,82.6,2010
Dores do Indaiá,89.8,2010
Dores do Turvo,86.5,2010
Doresópolis,93.8,2010
Douradoquara,93.2,2010
Durandé,84.1,2010
Elói Mendes,89.6,2010
Engenheiro Caldas,83.8,2010
Engenheiro Navarro,84.4,2010
Entre Folhas,87.0,2010
Entre Rios de Minas,92.6,2010
Ervália,86.4,2010
Esmeraldas,92.3,2010
Espera Feliz,87.3,2010
Espinosa,78.8,2010
Espírito Santo do Dourado,89.7,2010
Estiva,91.6,2010
Estrela Dalva,84.9,2010
Estrela do Indaiá,87.5,2010
Estrela do Sul,89.6,2010
Eugenópolis,88.8,2010
Ewbank da Câmara,90.6,2010
Extrema,94.3,2010
Fama,90.7,2010
Faria Lemos,86.9,2010
Felício dos Santos,84.7,2010
São Gonçalo do Rio Preto,83.8,2010
Felisburgo,75.8,2010
Felixlândia,90.7,2010
Fernandes Tourinho,80.4,2010
Ferros,80.2,2010
Fervedouro,86.0,2010
Florestal,94.1,2010
Formiga,94.3,2010
Formoso,82.7,2010
Fortaleza de Minas,91.8,2010
Fortuna de Minas,92.1,2010
Francisco Badaró,79.7,2010
Francisco Dumont,83.1,2010
Francisco Sá,81.1,2010
Franciscópolis,73.3,2010
Frei Gaspar,74.3,2010
Frei Inocêncio,84.1,2010
Frei Lagonegro,80.2,2010
Fronteira,90.3,2010
Fronteira dos Vales,72.6,2010
Fruta de Leite,70.3,2010
Frutal,93.9,2010
Funilândia,88.1,2010
Galiléia,82.7,2010
Gameleiras,77.3,2010
Glaucilândia,88.2,2010
Goiabeira,79.5,2010
Goianá,90.3,2010
Gonçalves,87.9,2010
Gonzaga,83.2,2010
Gouveia,92.3,2010
Governador Valadares,93.0,2010
Grão Mogol,83.5,2010
Grupiara,92.7,2010
Guanhães,89.3,2010
Guapé,92.1,2010
Guaraciaba,83.6,2010
Guaraciama,84.2,2010
Guaranésia,89.7,2010
Guarani,89.1,2010
Guarará,92.1,2010
Guarda-Mor,90.3,2010
Guaxupé,94.4,2010
Guidoval,90.0,2010
Guimarânia,91.6,2010
Guiricema,88.1,2010
Gurinhatã,86.4,2010
Heliodora,88.2,2010
Iapu,85.3,2010
Ibertioga,87.4,2010
Ibiá,94.1,2010
Ibiaí,83.4,2010
Ibiracatu,77.7,2010
Ibiraci,91.5,2010
Ibirité,94.6,2010
Ibitiúra de Minas,89.4,2010
Ibituruna,90.4,2010
Icaraí de Minas,86.4,2010
Igarapé,93.3,2010
Igaratinga,93.5,2010
Iguatama,94.8,2010
Ijaci,93.7,2010
Ilicínea,91.3,2010
Imbé de Minas,84.6,2010
Inconfidentes,92.2,2010
Indaiabira,71.8,2010
Indianópolis,90.1,2010
Ingaí,92.4,2010
Inhapim,86.2,2010
Inhaúma,92.2,2010
Inimutaba,88.9,2010
Ipaba,89.6,2010
Ipanema,87.0,2010
Ipatinga,95.3,2010
Ipiaçu,85.2,2010
Ipuiúna,88.9,2010
Iraí de Minas,92.2,2010
Itabira,94.1,2010
Itabirinha,81.4,2010
Itabirito,96.3,2010
Itacambira,85.7,2010
Itacarambi,84.5,2010
Itaguara,92.5,2010
Itaipé,77.5,2010
Itajubá,96.3,2010
Itamarandiba,83.5,2010
Itamarati de Minas,93.1,2010
Itambacuri,81.1,2010
Itambé do Mato Dentro,82.6,2010
Itamogi,90.2,2010
Itamonte,94.5,2010
Itanhandu,95.7,2010
Itanhomi,84.2,2010
Itaobim,81.3,2010
Itapagipe,93.9,2010
Itapecerica,89.8,2010
Itapeva,90.5,2010
Itatiaiuçu,91.4,2010
Itaú de Minas,95.4,2010
Itaúna,96.1,2010
Itaverava,85.9,2010
Itinga,80.5,2010
Itueta,86.1,2010
Ituiutaba,92.1,2010
Itumirim,94.6,2010
Iturama,92.1,2010
Itutinga,94.1,2010
Jaboticatubas,90.1,2010
Jacinto,74.9,2010
Jacuí,90.3,2010
Jacutinga,93.4,2010
Jaguaraçu,90.4,2010
Jaíba,83.6,2010
Jampruca,79.6,2010
Janaúba,87.2,2010
Januária,84.4,2010
Japaraíba,93.5,2010
Japonvar,80.7,2010
Jeceaba,92.6,2010
Jenipapo de Minas,79.2,2010
Jequeri,85.4,2010
Jequitaí,82.2,2010
Jequitibá,91.1,2010
Jequitinhonha,77.0,2010
Jesuânia,90.0,2010
Joaíma,74.5,2010
Joanésia,82.7,2010
João Monlevade,96.2,2010
João Pinheiro,90.3,2010
Joaquim Felício,85.9,2010
Jordânia,78.2,2010
José Gonçalves de Minas,83.3,2010
José Raydan,79.8,2010
Josenópolis,75.1,2010
Nova União,88.8,2010
Juatuba,92.2,2010
