NOME_MUN,PROP_MENOS_DE_1_SM,PROP_1_A_2_SM,PROP_2_A_5_SM,PROP_5_A_10_SM,PROP_MAIS_DE_10_SM,ANO
Abadia dos Dourados,0.37413120867943717,0.18647228343787084,0.0713680284794033,0.014917782675029667,0.007289371079844041,2010
Abaeté,0.3689995966115369,0.1899959661153691,0.0804255748285599,0.023598225090762405,0.009076240419524002,2010
Abre Campo,0.44724851033999297,0.11628110760602874,0.04565369786189975,0.013494567122327375,0.004556607080266386,2010
Acaiaca,0.4277286135693215,0.10294985250737464,0.04129793510324484,0.009144542772861357,0.0011799410029498525,2010
Açucena,0.41311027654489585,0.10674860589507226,0.033686127233412994,0.006145442130419939,0.0015932627745533173,2010
Água Boa,0.48191131743236754,0.07699695854009925,0.030494637425964463,0.006242996638386425,0.002641267808548103,2010
Água Comprida,0.32643935159306875,0.2353269983230855,0.1218557853549469,0.030743432084963666,0.006707657909446618,2010
Aguanil,0.43705998310335115,0.17628836947338777,0.057448606026471415,0.011264432554210082,0.0036609405801182764,2010
Águas Formosas,0.46792035398230086,0.09148880791254554,0.04144976574700677,0.011517438833940656,0.005400832899531494,2010
Águas Vermelhas,0.4803791469194313,0.06957345971563982,0.026824644549763032,0.0036966824644549764,0.001990521327014218,2010
Aimorés,0.3943806112480811,0.1510908498860306,0.07331255524026609,0.020281899799972088,0.0068846815834767644,2010
Aiuruoca,0.44131714495952906,0.16206769683590877,0.059602649006622516,0.01894775570272259,0.00717439293598234,2010
Alagoa,0.44402356902356904,0.12247474747474747,0.06186868686868687,0.00968013468013468,0.0016835016835016834,2010
Albertina,0.35857198901530013,0.29384072185170657,0.08748528834837191,0.009807767752059632,0.003923107100823852,2010
Além Paraíba,0.3270821472824085,0.18070392820066308,0.12139580054251364,0.03157965238940424,0.009242825089581729,2010
Alfenas,0.289166965720616,0.21542806322260535,0.1206565664445866,0.03499711347927166,0.014026930458254669,2010
Alfredo Vasconcelos,0.4138263046408627,0.1480839591758136,0.052185634507991525,0.007510109763142692,0.0028885037550548816,2010
Almenara,0.4501955512099731,0.09117575164996333,0.05289049132241506,0.01601075531654852,0.005194329014910779,2010
Alpercata,0.39317920970650927,0.12297097884899164,0.04394162977537301,0.00721429742580751,0.001147729135923922,2010
Alpinópolis,0.3232449297971919,0.21921996879875194,0.0960374414976599,0.021591263650546023,0.005491419656786271,2010
