ANO,SIGLA_UF,COD_MUN,REMUNERACAO_DEZEMBRO,REMUNERACAO_MEDIA
2002,MG,3100104,278.05737373737384,272.2817773437501
2002,MG,3100203,454.7849348422494,428.4995852968901
2002,MG,3100302,376.22903479236794,377.907055793991
2002,MG,3100401,378.78905263157856,385.6262531017369
2002,MG,3100500,420.9937406483792,352.9339649122811
2002,MG,3100609,311.202693409742,256.12430555555545
2002,MG,3100708,539.8360052910052,542.0987845303868
2002,MG,3100807,361.7333906633906,327.7109696969698
2002,MG,3100906,448.0479275362318,375.711108007449
2002,MG,3101003,295.8277720207253,280.65998648648645
2002,MG,3101102,497.70030317385147,511.1336742241518
2002,MG,3101201,411.5006260869568,397.0559227467811
2002,MG,3101300,492.25186046511624,476.9454857142856
2002,MG,3101409,456.9146527777778,473.5475669099758
2002,MG,3101508,493.17911846828883,480.0053494985781
2002,MG,3101607,679.0015714746708,513.6323853877941
2002,MG,3101631,445.4334679665738,416.1293545081965
2002,MG,3101706,427.68883148404996,397.12663779527605
2002,MG,3101805,544.5377963525834,355.40411007025733
2002,MG,3101904,434.00429008567886,475.5924878048785
2002,MG,3102001,429.113359116022,452.57065860215107
2002,MG,3102050,369.03765042979944,346.790990990991
2002,MG,3102100,361.069310986965,357.24524590163935
2002,MG,3102209,346.7066834170854,381.9271369294605
2002,MG,3102308,394.1050770925113,357.72953793774343
2002,MG,3102407,380.3097790055247,367.12615023474183
2002,MG,3102506,338.3128220858893,298.9968235294115
2002,MG,3102605,472.8582317955309,435.9287035917271
2002,MG,3102704,406.0561257309935,391.9601799485862
2002,MG,3102803,354.45455502392326,351.5122338049142
2002,MG,3102852,380.9694202898552,256.8142889137738
2002,MG,3102902,330.2358426966293,331.5175248933143
2002,MG,3103009,462.14770764119595,401.5161275773196
2002,MG,3103108,523.3009174311926,459.31083916083935
2002,MG,3103207,300.5102903811251,339.9227180232559
2002,MG,3103306,367.93690789473675,344.08720000000005
2002,MG,3103405,429.9693272171256,426.2863700787404
2002,MG,3103504,511.7883162907977,446.45874707969256
2002,MG,3103603,438.02645161290314,435.7518545454545
2002,MG,3103702,342.2875223880599,295.83209523809535
2002,MG,3103751,999.6650560344848,626.3234777110345
2002,MG,3103801,395.7779166666666,417.2250146627565
2002,MG,3103900,319.03608050847487,306.0993263473059
2002,MG,3104007,598.6964135742204,539.6238750576327
2002,MG,3104106,462.4767580084901,414.7544158981111
2002,MG,3104205,546.6812114100005,492.8588093746102
