ANO,SIGLA_UF,COD_MUN,REMUNERACAO_DEZEMBRO,REMUNERACAO_MEDIA,VINCULOS_ATIVOS,VINCULOS_CLT,VINCULOS_ESTATUTARIOS,NUM_FIRMAS
2002,MG,3106002,362.4962857142857,345.2601254705148,566.0,285.0,281.0,252.0
2002,MG,3106101,355.3818648018648,371.6346353322532,413.0,317.0,96.0,136.0
2002,MG,3106200,1033.8275352876467,888.8024869465322,927121.0,626622.0,300499.0,120010.0
2002,MG,3106309,1091.0320936148576,998.6550200343436,3976.0,2683.0,1293.0,547.0
2002,MG,3106408,527.6319466248036,581.5818401937047,411.0,260.0,151.0,273.0
2002,MG,3106507,1032.6171812464268,911.5775762859616,1734.0,1469.0,265.0,184.0
2002,MG,3106606,338.25759615384624,338.6824884792629,207.0,38.0,169.0,89.0
2002,MG,3106655,474.0286934673367,380.1034722222223,198.0,25.0,173.0,48.0
2002,MG,3106705,1105.897401305904,968.4846148713108,65608.0,56625.0,8983.0,6865.0
2002,MG,3106804,332.948237082067,320.9891408114559,345.0,150.0,195.0,148.0
2002,MG,3106903,418.5559540229885,416.4984489329267,4284.0,3930.0,354.0,936.0
2002,MG,3107000,387.9863934426229,378.6104761904762,242.0,106.0,136.0,123.0
2002,MG,3107109,417.0171185640058,347.16636797161027,4156.0,3221.0,935.0,1981.0
2002,MG,3107208,339.298057553957,337.3001935483873,287.0,209.0,78.0,187.0
2002,MG,3107307,392.7461425145601,345.71174177215187,5289.0,4313.0,976.0,1739.0
2002,MG,3107406,444.3394889018696,402.7085992407282,6790.0,5762.0,1028.0,2183.0
2002,MG,3107505,365.1390807174888,346.76592485549105,448.0,437.0,11.0,324.0
2002,MG,3107604,438.95809644670055,369.4740955137483,394.0,248.0,146.0,146.0
2002,MG,3107703,345.2784787472034,339.68234295415976,453.0,302.0,151.0,206.0
2002,MG,3107802,363.4829809358753,336.5147100424329,553.0,266.0,287.0,258.0
2002,MG,3107901,429.7786575342466,448.3682222222221,337.0,143.0,194.0,231.0
2002,MG,3108008,371.63672369103256,337.1595419580419,1849.0,1466.0,383.0,788.0
2002,MG,3108107,519.4026233766233,440.26318584070816,388.0,208.0,180.0,217.0
2002,MG,3108206,447.1784049079753,401.9580962566846,522.0,399.0,123.0,260.0
2002,MG,3108255,356.7436734693877,380.11623188405815,197.0,26.0,171.0,95.0
2002,MG,3108305,400.9466723940437,364.5839276910447,1734.0,1420.0,314.0,826.0
2002,MG,3108404,353.0009389067518,326.3446423482474,1531.0,1361.0,170.0,682.0
2002,MG,3108503,411.7256428571427,385.06680519480506,282.0,91.0,191.0,89.0
2002,MG,3108552,619.9558353127472,475.9199924012153,1070.0,942.0,128.0,439.0
2002,MG,3108602,367.2706966618284,365.5902669902909,684.0,464.0,220.0,796.0
2002,MG,3108701,428.9501826484018,424.9757201646089,183.0,23.0,160.0,88.0
2002,MG,3108800,512.2031527093596,463.6590666666668,211.0,211.0,0.0,78.0
2002,MG,3108909,382.33220271348745,417.3415021199284,1245.0,904.0,341.0,531.0
2002,MG,3109006,672.475861400533,679.581005864581,3728.0,3003.0,725.0,940.0
2002,MG,3109105,385.0530935251799,368.32757894736847,417.0,412.0,5.0,489.0
2002,MG,3109204,339.6677874818052,362.7515081206494,600.0,305.0,295.0,384.0
2002,MG,3109253,302.8467605633805,296.8321176470588,147.0,17.0,130.0,35.0
2002,MG,3109303,420.5398008849559,370.94448310139205,1485.0,1056.0,429.0,673.0
2002,MG,3109402,329.896000701016,304.56974100171414,2780.0,2043.0,737.0,612.0
2002,MG,3109451,358.0318208955224,366.92802564102544,345.0,126.0,219.0,118.0
2002,MG,3109501,354.7458088694566,328.38338225593674,1580.0,1326.0,254.0,626.0
2002,MG,3109600,626.4987375886521,536.9664590163923,641.0,526.0,115.0,202.0
2002,MG,3109709,361.591845360825,357.828270013568,977.0,862.0,115.0,357.0
2002,MG,3109808,467.1437616387336,465.0705388471181,554.0,203.0,351.0,75.0
2002,MG,3109907,489.8112707917497,440.0319169510804,1491.0,1227.0,264.0,324.0
2002,MG,3110004,430.90507620528814,436.6048500428447,3138.0,2455.0,683.0,1295.0
2002,MG,3110103,400.5858843537415,368.37933333333297,313.0,62.0,251.0,91.0
2002,MG,3110202,339.5379472140764,310.2837772925767,253.0,112.0,141.0,75.0
2002,MG,3110301,583.375011583012,525.1250651658778,1280.0,989.0,291.0,656.0
2002,MG,3110400,439.2806185567008,400.4705511811025,299.0,83.0,216.0,62.0
2002,MG,3110509,480.869456963428,456.3447148102821,2610.0,2151.0,459.0,1103.0
2002,MG,3110608,578.491783358701,512.5973334595003,3867.0,3307.0,560.0,1007.0
2002,MG,3110707,362.29104069379576,307.1703886805322,1479.0,1214.0,265.0,654.0
2002,MG,3110806,362.9272615384617,358.215397260274,329.0,131.0,198.0,124.0
2002,MG,3110905,399.1397117422631,357.6319476584025,2313.0,1878.0,435.0,879.0
2002,MG,3111002,389.59309167446185,340.6571611920824,2125.0,1607.0,518.0,779.0
2002,MG,3111101,425.6497477187336,573.3774783974859,1829.0,1382.0,447.0,922.0
2002,MG,3111150,304.0774233128835,304.67056680161966,166.0,9.0,157.0,48.0
2002,MG,3111200,419.28252421485263,389.7170050710957,6689.0,5870.0,819.0,2668.0
2002,MG,3111309,345.8772538860101,305.54127192982475,967.0,463.0,504.0,339.0
2002,MG,3111408,713.3475468164794,569.9021939477291,1028.0,864.0,164.0,285.0
2002,MG,3111507,508.5333639308853,449.22617242274765,1659.0,1427.0,232.0,644.0
2002,MG,3111606,361.9233121019109,318.97580084831344,2723.0,1862.0,861.0,1045.0
2002,MG,3111705,367.6813307984791,294.6904846938773,244.0,104.0,140.0,84.0
2002,MG,3111804,557.9722995780606,530.4537661691537,1901.0,1516.0,385.0,387.0
2002,MG,3111903,388.254054054054,368.7021365638767,377.0,166.0,211.0,153.0
2002,MG,3112000,373.21768798313343,372.0972367049008,1429.0,956.0,473.0,584.0
2002,MG,3112059,355.4240239043827,343.74927480916034,180.0,57.0,123.0,42.0
2002,MG,3112109,585.1244059405942,439.9634969325152,212.0,35.0,177.0,98.0
2002,MG,3112208,449.2607619047619,451.6847161572053,127.0,51.0,76.0,103.0
2002,MG,3112307,397.1219633027527,340.73236909650893,2761.0,2117.0,644.0,821.0
2002,MG,3112406,524.6534561403507,399.52943329397885,570.0,407.0,163.0,355.0
2002,MG,3112505,418.7482537834692,396.407982689747,1020.0,868.0,152.0,348.0
2002,MG,3112604,460.9261635788527,420.8218402590395,2146.0,1729.0,417.0,649.0
2002,MG,3112653,360.24069230769214,375.1312587412588,128.0,35.0,93.0,78.0
2002,MG,3112703,361.1983305921058,371.4169580924853,1225.0,578.0,647.0,288.0
2002,MG,3112802,427.1053448275859,409.92296296296206,955.0,955.0,0.0,365.0
2002,MG,3112901,310.6372972972974,287.0164602960966,452.0,123.0,329.0,161.0
2002,MG,3113008,334.6461586901759,335.4064071190211,816.0,99.0,717.0,192.0
2002,MG,3113107,357.4902790697674,376.8730468749998,230.0,49.0,181.0,54.0
2002,MG,3113206,462.2112099792095,453.6386909871238,2328.0,1765.0,563.0,733.0
2002,MG,3113305,431.8609028914353,403.8521349599695,3550.0,2779.0,771.0,1533.0
2002,MG,3113404,441.7773737271889,402.71239989286187,9803.0,8543.0,1260.0,3345.0
2002,MG,3113503,278.6929729729732,246.07718446601965,584.0,584.0,0.0,266.0
2002,MG,3113602,327.7297455470739,285.47595620437914,797.0,594.0,203.0,299.0
2002,MG,3113701,372.9571829886852,347.2704065040648,2475.0,1835.0,640.0,829.0
2002,MG,3113800,436.60836909871233,414.5424045801527,234.0,51.0,183.0,64.0
2002,MG,3113909,326.0674861878452,278.2685046511632,1783.0,1473.0,310.0,639.0
2002,MG,3114006,406.6724266503669,394.9377373823783,1579.0,1328.0,251.0,481.0
2002,MG,3114105,311.7390066225166,294.78131087662314,1874.0,1615.0,259.0,601.0
2002,MG,3114204,465.2298142414863,460.521717861206,2547.0,2098.0,449.0,734.0
2002,MG,3114303,430.22416105229456,424.2398885282912,3130.0,2274.0,856.0,1389.0
2002,MG,3114402,383.69579443254935,326.77711583311714,2361.0,1977.0,384.0,1120.0
2002,MG,3114501,353.6068467251856,344.09782965623384,1472.0,1143.0,329.0,541.0
2002,MG,3114550,560.5636480000002,509.5592824074066,1278.0,1278.0,0.0,515.0
2002,MG,3114600,319.9198258706466,337.7169958847735,411.0,260.0,151.0,193.0
2002,MG,3114709,353.8835015772869,366.28719160105015,318.0,154.0,164.0,117.0
2002,MG,3114808,404.64341216216206,385.33330158730166,294.0,110.0,184.0,135.0
2002,MG,3114907,294.4783700440528,276.8271335504886,168.0,83.0,85.0,63.0
2002,MG,3115003,585.278344370861,478.1889523809522,307.0,82.0,225.0,98.0
2002,MG,3115102,445.0755317951613,426.9548325754438,1783.0,1782.0,1.0,900.0
2002,MG,3115201,324.3311794871796,339.28552995391715,190.0,58.0,132.0,93.0
2002,MG,3115300,599.1951158071505,542.643774162877,14182.0,14053.0,129.0,3102.0
2002,MG,3115359,459.20020449897766,465.4425987841947,484.0,266.0,218.0,123.0
2002,MG,3115409,409.61888349514544,335.3118061674007,205.0,34.0,171.0,53.0
