NOME_MUN,EXP_VIDA_AO_NASCER,MORTALIDADE_INFANTIL,IDHM,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDU,ANO,REND_MEDIO_FORMAL,TRANSF_PER_CAPITA_BOLSA_FAMILIA
Bandeira,,,,,,,2013,913.52,233.32
Barão de Cocais,,,,,,,2013,1388.05,72.74
Barão de Monte Alto,,,,,,,2013,746.91,103.18
Barbacena,,,,,,,2013,1262.58,65.34
Barra Longa,,,,,,,2013,848.37,231.02
Barroso,,,,,,,2013,1378.98,102.94
Bela Vista de Minas,,,,,,,2013,1130.14,94.2
Belmiro Braga,,,,,,,2013,863.61,92.79
Belo Horizonte,,,,,,,2013,2131.99,39.44
Belo Oriente,,,,,,,2013,1615.55,103.64
Belo Vale,,,,,,,2013,994.26,90.96
Berilo,,,,,,,2013,1258.45,181.88
Berizal,,,,,,,2013,743.19,245.65
Bertópolis,,,,,,,2013,836.31,276.22
Betim,,,,,,,2013,2335.08,65.35
Bias Fortes,,,,,,,2013,922.38,163.91
Bicas,,,,,,,2013,812.65,52.82
Biquinhas,,,,,,,2013,992.96,110.67
Boa Esperança,,,,,,,2013,946.68,139.47
Bocaina de Minas,,,,,,,2013,761.22,123.55
Bocaiúva,,,,,,,2013,984.25,155.73
Bom Despacho,,,,,,,2013,984.63,46.44
Bom Jardim de Minas,,,,,,,2013,910.11,159.29
Bom Jesus da Penha,,,,,,,2013,994.59,73.83
Bom Jesus do Amparo,,,,,,,2013,910.55,93.03
Bom Jesus do Galho,,,,,,,2013,787.5,196.0
Bom Repouso,,,,,,,2013,1006.47,114.27
Bom Sucesso,,,,,,,2013,935.17,71.73
Bonfim,,,,,,,2013,941.71,119.68
Bonfinópolis de Minas,,,,,,,2013,1010.47,112.13
Bonito de Minas,,,,,,,2013,916.92,334.5
Borda da Mata,,,,,,,2013,989.81,43.59
Botelhos,,,,,,,2013,891.89,74.79
Botumirim,,,,,,,2013,777.15,226.06
Brasilândia de Minas,,,,,,,2013,1154.98,133.33
Brasília de Minas,,,,,,,2013,936.64,177.04
Brasópolis,,,,,,,2013,913.16,79.06
Brás Pires,,,,,,,2013,764.76,174.66
Braúnas,,,,,,,2013,979.74,158.46
Brumadinho,,,,,,,2013,1544.63,58.03
Bueno Brandão,,,,,,,2013,1002.54,79.84
Buenópolis,,,,,,,2013,807.0,116.83
Bugre,,,,,,,2013,789.94,134.34
Buritis,,,,,,,2013,1107.79,164.0
Buritizeiro,,,,,,,2013,932.38,195.46
Cabeceira Grande,,,,,,,2013,1217.72,129.81
Cabo Verde,,,,,,,2013,904.75,68.22
Cachoeira da Prata,,,,,,,2013,938.46,53.28
Cachoeira de Minas,,,,,,,2013,920.32,40.65
Cachoeira de Pajeú,,,,,,,2013,850.58,271.89
Cachoeira Dourada,,,,,,,2013,1346.21,58.71
Caetanópolis,,,,,,,2013,932.23,75.14
Caeté,,,,,,,2013,1089.13,61.41
Caiana,,,,,,,2013,994.17,103.97
Cajuri,,,,,,,2013,881.65,221.71
Caldas,,,,,,,2013,1383.65,51.53
Camacho,,,,,,,2013,1098.33,92.45
Camanducaia,,,,,,,2013,1153.61,61.96
Cambuí,,,,,,,2013,1060.67,27.73
Cambuquira,,,,,,,2013,918.0,79.78
Campanário,,,,,,,2013,829.86,217.38
Campanha,,,,,,,2013,904.54,68.23
Campestre,,,,,,,2013,930.62,59.36
Campina Verde,,,,,,,2013,1000.19,98.09
Campo Azul,,,,,,,2013,815.87,260.36
Campo Belo,,,,,,,2013,926.23,65.85
Campo do Meio,,,,,,,2013,882.73,112.42
Campo Florido,,,,,,,2013,1533.49,116.78
Campos Altos,,,,,,,2013,1084.31,112.36
Campos Gerais,,,,,,,2013,853.23,89.42
Canaã,,,,,,,2013,825.0,106.04
Canápolis,,,,,,,2013,991.35,34.13
Cana Verde,,,,,,,2013,889.54,102.4
Candeias,,,,,,,2013,885.28,66.13
Cantagalo,,,,,,,2013,750.97,181.62
Caparaó,,,,,,,2013,942.77,159.16
Capela Nova,,,,,,,2013,977.15,99.36
Capelinha,,,,,,,2013,1119.01,175.68
Capetinga,,,,,,,2013,887.91,89.15
Capim Branco,,,,,,,2013,815.24,58.22
Capinópolis,,,,,,,2013,1089.99,63.1
Capitão Andrade,,,,,,,2013,822.49,201.37
Capitão Enéas,,,,,,,2013,994.8,219.62
Capitólio,,,,,,,2013,1046.71,53.48
Caputira,,,,,,,2013,814.48,219.69
Caraí,,,,,,,2013,1052.39,220.65
Caranaíba,,,,,,,2013,913.97,118.1
Carandaí,,,,,,,2013,1019.91,109.77
Carangola,,,,,,,2013,913.37,95.73
Caratinga,,,,,,,2013,995.6,81.82
Carbonita,,,,,,,2013,997.9,153.47
Careaçu,,,,,,,2013,862.67,79.85
Carlos Chagas,,,,,,,2013,903.61,137.28
Carmésia,,,,,,,2013,1125.09,111.22
Carmo da Cachoeira,,,,,,,2013,783.07,116.18
Carmo da Mata,,,,,,,2013,1057.5,80.85
Carmo de Minas,,,,,,,2013,802.02,106.85
Carmo do Cajuru,,,,,,,2013,1131.62,39.52
Carmo do Paranaíba,,,,,,,2013,1069.14,49.2
Carmo do Rio Claro,,,,,,,2013,935.44,45.45
Carmópolis de Minas,,,,,,,2013,966.94,63.92
Carneirinho,,,,,,,2013,1319.89,84.17
Carrancas,,,,,,,2013,958.7,66.66
Carvalhópolis,,,,,,,2013,883.98,83.72
Carvalhos,,,,,,,2013,948.17,114.58
Casa Grande,,,,,,,2013,876.38,80.02
Cascalho Rico,,,,,,,2013,890.73,50.71
Cássia,,,,,,,2013,987.93,66.51
Cataguases,,,,,,,2013,1111.86,54.08
Catas Altas da Noruega,,,,,,,2013,865.33,165.52
Catas Altas,,,,,,,2013,1266.99,57.61
Catuji,,,,,,,2013,784.41,327.42
Catuti,,,,,,,2013,784.11,242.9
Caxambu,,,,,,,2013,927.78,72.59
Cedro do Abaeté,,,,,,,2013,1083.92,131.81
Central de Minas,,,,,,,2013,865.89,231.7
Centralina,,,,,,,2013,1010.67,112.51
Chácara,,,,,,,2013,953.57,88.68
Chalé,,,,,,,2013,861.15,140.62
Chapada do Norte,,,,,,,2013,803.07,182.68
Chapada Gaúcha,,,,,,,2013,1055.93,238.05
Chiador,,,,,,,2013,964.12,103.41
Cipotânea,,,,,,,2013,932.4,173.04
Claraval,,,,,,,2013,972.2,160.51
Claro dos Poções,,,,,,,2013,792.33,232.25
Cláudio,,,,,,,2013,990.71,41.3
Coimbra,,,,,,,2013,974.93,109.23
Coluna,,,,,,,2013,811.78,232.81
Comendador Gomes,,,,,,,2013,1076.49,129.38
Comercinho,,,,,,,2013,972.81,297.68
Conceição da Aparecida,,,,,,,2013,920.39,62.97
Conceição da Barra de Minas,,,,,,,2013,899.07,100.06
Conceição das Alagoas,,,,,,,2013,1899.02,68.97
Conceição das Pedras,,,,,,,2013,932.35,138.65
Conceição de Ipanema,,,,,,,2013,1009.7,151.34
Conceição do Mato Dentro,,,,,,,2013,2145.54,213.76
Conceição do Pará,,,,,,,2013,1646.48,76.28
Conceição do Rio Verde,,,,,,,2013,809.15,112.31
Conceição dos Ouros,,,,,,,2013,878.45,35.24
Cônego Marinho,,,,,,,2013,778.95,318.78
Confins,,,,,,,2013,2140.61,55.35
Congonhal,,,,,,,2013,1031.75,39.0
Congonhas do Norte,,,,,,,2013,863.43,366.56
Congonhas,,,,,,,2013,1660.26,43.24
Conquista,,,,,,,2013,1698.35,53.29
Conselheiro Lafaiete,,,,,,,2013,1091.82,34.87
Conselheiro Pena,,,,,,,2013,1088.18,87.04
Consolação,,,,,,,2013,1201.7,115.74
Contagem,,,,,,,2013,1542.12,50.11
Coqueiral,,,,,,,2013,797.38,117.39
Coração de Jesus,,,,,,,2013,809.06,254.01
Cordisburgo,,,,,,,2013,852.12,83.77
Cordislândia,,,,,,,2013,798.27,126.02
Corinto,,,,,,,2013,916.55,122.12
Coroaci,,,,,,,2013,932.35,224.14
Coromandel,,,,,,,2013,1038.08,63.41
Coronel Fabriciano,,,,,,,2013,1107.34,60.8
Coronel Murta,,,,,,,2013,725.22,244.72
Coronel Pacheco,,,,,,,2013,973.87,75.04
Coronel Xavier Chaves,,,,,,,2013,963.32,48.51
Córrego Danta,,,,,,,2013,940.81,113.58
Córrego do Bom Jesus,,,,,,,2013,1118.5,56.94
Córrego Fundo,,,,,,,2013,1059.46,68.35
Córrego Novo,,,,,,,2013,767.57,200.86
Couto de Magalhães de Minas,,,,,,,2013,946.88,175.17
Crisólita,,,,,,,2013,868.74,251.24
Cristais,,,,,,,2013,741.21,48.57
Cristália,,,,,,,2013,845.97,289.15
Cristiano Otoni,,,,,,,2013,835.5,92.97
Cristina,,,,,,,2013,882.82,92.31
Crucilândia,,,,,,,2013,929.48,109.04
Cruzeiro da Fortaleza,,,,,,,2013,1193.86,95.48
Cruzília,,,,,,,2013,925.38,100.71
Cuparaque,,,,,,,2013,830.59,187.09
Curral de Dentro,,,,,,,2013,830.12,255.85
Curvelo,,,,,,,2013,1013.22,91.49
Datas,,,,,,,2013,906.55,194.0
Delfim Moreira,,,,,,,2013,986.68,70.27
Delfinópolis,,,,,,,2013,982.05,46.19
Delta,,,,,,,2013,2158.12,65.35
Descoberto,,,,,,,2013,735.98,67.44
Desterro de Entre Rios,,,,,,,2013,862.52,84.0
Desterro do Melo,,,,,,,2013,971.17,145.07
Diamantina,,,,,,,2013,1698.6,107.63
Diogo de Vasconcelos,,,,,,,2013,929.8,223.13
Dionísio,,,,,,,2013,815.51,112.66
Divinésia,,,,,,,2013,729.36,76.5
Divino das Laranjeiras,,,,,,,2013,833.54,135.04
Divinolândia de Minas,,,,,,,2013,842.03,237.57
Divino,,,,,,,2013,913.61,192.75
Divinópolis,,,,,,,2013,1268.08,20.96
Divisa Alegre,,,,,,,2013,1102.82,188.61
Divisa Nova,,,,,,,2013,849.0,75.67
Divisópolis,,,,,,,2013,873.41,255.61
Dom Bosco,,,,,,,2013,953.82,146.26
Dom Cavati,,,,,,,2013,882.75,166.46
Dom Joaquim,,,,,,,2013,996.77,196.22
Dom Silvério,,,,,,,2013,1041.3,74.05
Dom Viçoso,,,,,,,2013,852.34,59.44
Dona Eusébia,,,,,,,2013,723.22,35.5
Dores de Campos,,,,,,,2013,972.87,27.66
Dores de Guanhães,,,,,,,2013,1251.87,138.57
Dores do Indaiá,,,,,,,2013,847.88,82.39
Dores do Turvo,,,,,,,2013,803.24,146.22
Doresópolis,,,,,,,2013,1603.34,187.13
Douradoquara,,,,,,,2013,1018.88,143.34
Durandé,,,,,,,2013,1111.89,163.89
Elói Mendes,,,,,,,2013,967.83,55.62
Engenheiro Caldas,,,,,,,2013,794.1,126.92
Engenheiro Navarro,,,,,,,2013,870.98,213.48
Entre Folhas,,,,,,,2013,957.24,182.2
Entre Rios de Minas,,,,,,,2013,923.16,89.72
Ervália,,,,,,,2013,830.56,118.01
Esmeraldas,,,,,,,2013,1059.31,99.51
Espera Feliz,,,,,,,2013,871.75,131.71
Espinosa,,,,,,,2013,794.31,178.8
Espírito Santo do Dourado,,,,,,,2013,929.86,65.12
Estiva,,,,,,,2013,1083.05,35.17
Estrela Dalva,,,,,,,2013,820.75,104.51
Estrela do Indaiá,,,,,,,2013,959.45,55.76
Estrela do Sul,,,,,,,2013,1036.26,86.99
Eugenópolis,,,,,,,2013,830.05,148.52
Ewbank da Câmara,,,,,,,2013,809.15,131.25
Extrema,,,,,,,2013,1539.59,28.77
Fama,,,,,,,2013,986.16,54.22
Faria Lemos,,,,,,,2013,907.6,152.67
Felício dos Santos,,,,,,,2013,991.91,232.57
Felisburgo,,,,,,,2013,876.89,262.05
Felixlândia,,,,,,,2013,1134.27,106.84
Fernandes Tourinho,,,,,,,2013,813.23,125.41
Ferros,,,,,,,2013,891.29,96.48
Fervedouro,,,,,,,2013,898.46,169.45
Florestal,,,,,,,2013,935.11,62.24
Formiga,,,,,,,2013,1041.07,45.48
Formoso,,,,,,,2013,973.36,191.24
Fortaleza de Minas,,,,,,,2013,1466.52,54.67
Fortuna de Minas,,,,,,,2013,930.77,119.36
Francisco Badaró,,,,,,,2013,931.85,117.52
Francisco Dumont,,,,,,,2013,693.39,206.63
Franciscópolis,,,,,,,2013,958.72,215.9
Francisco Sá,,,,,,,2013,581.84,200.52
Frei Gaspar,,,,,,,2013,874.57,239.01
Frei Inocêncio,,,,,,,2013,775.45,186.75
Frei Lagonegro,,,,,,,2013,749.0,247.67
Fronteira dos Vales,,,,,,,2013,764.92,248.59
Fronteira,,,,,,,2013,1515.01,81.92
Fruta de Leite,,,,,,,2013,793.76,238.57
Frutal,,,,,,,2013,1330.38,40.62
Funilândia,,,,,,,2013,978.46,127.91
Galiléia,,,,,,,2013,822.93,148.95
Gameleiras,,,,,,,2013,904.4,258.34
Glaucilândia,,,,,,,2013,843.69,155.28
Goiabeira,,,,,,,2013,957.88,155.57
Goianá,,,,,,,2013,915.0,76.33
Gonçalves,,,,,,,2013,1109.54,56.55
Gonzaga,,,,,,,2013,824.29,173.53
Gouveia,,,,,,,2013,861.18,87.66
Governador Valadares,,,,,,,2013,1144.96,78.15
Grão Mogol,,,,,,,2013,897.6,157.9
Grupiara,,,,,,,2013,776.93,59.35
Guanhães,,,,,,,2013,1047.74,91.49
Guapé,,,,,,,2013,908.47,88.52
Guaraciaba,,,,,,,2013,870.19,185.8
Guaraciama,,,,,,,2013,747.04,238.43
Guaranésia,,,,,,,2013,1156.1,45.55
Guarani,,,,,,,2013,828.53,87.35
Guarará,,,,,,,2013,1010.49,102.8
Guarda-Mor,,,,,,,2013,1076.8,105.26
Guaxupé,,,,,,,2013,1216.37,53.59
Guidoval,,,,,,,2013,904.6,77.52
Guimarânia,,,,,,,2013,1024.86,84.37
Guiricema,,,,,,,2013,822.88,101.68
Gurinhatã,,,,,,,2013,1164.89,98.61
Heliodora,,,,,,,2013,812.7,91.23
Iapu,,,,,,,2013,914.37,137.41
Ibertioga,,,,,,,2013,780.55,99.22
Ibiaí,,,,,,,2013,693.46,194.52
Ibiá,,,,,,,2013,1077.97,85.51
Ibiracatu,,,,,,,2013,873.87,260.24
Ibiraci,,,,,,,2013,1195.97,35.42
Ibirité,,,,,,,2013,1395.26,63.23
Ibitiúra de Minas,,,,,,,2013,1096.57,63.93
Ibituruna,,,,,,,2013,913.65,101.22
Icaraí de Minas,,,,,,,2013,830.42,203.72
Igarapé,,,,,,,2013,1276.19,63.17
Igaratinga,,,,,,,2013,936.19,53.13
Iguatama,,,,,,,2013,1150.41,72.07
Ijaci,,,,,,,2013,1512.26,62.49
Ilicínea,,,,,,,2013,751.89,87.83
Imbé de Minas,,,,,,,2013,764.08,190.53
Inconfidentes,,,,,,,2013,871.36,49.29
Indaiabira,,,,,,,2013,794.42,259.59
Indianópolis,,,,,,,2013,1263.01,103.28
Ingaí,,,,,,,2013,1004.33,85.1
Inhapim,,,,,,,2013,970.58,136.02
Inhaúma,,,,,,,2013,1035.34,114.32
Inimutaba,,,,,,,2013,922.48,132.83
Ipaba,,,,,,,2013,873.6,110.04
Ipanema,,,,,,,2013,857.01,110.06
Ipatinga,,,,,,,2013,1594.4,59.1
Ipiaçu,,,,,,,2013,937.07,94.45
Ipuiúna,,,,,,,2013,964.81,73.03
Iraí de Minas,,,,,,,2013,1174.44,114.76
Itabira,,,,,,,2013,1651.99,32.3
Itabirinha,,,,,,,2013,871.08,143.79
Itabirito,,,,,,,2013,1617.66,45.43
Itacambira,,,,,,,2013,949.88,255.39
Itacarambi,,,,,,,2013,852.18,234.1
Itaguara,,,,,,,2013,971.32,45.68
Itaipé,,,,,,,2013,1201.48,226.79
Itajubá,,,,,,,2013,1673.09,42.91
Itamarandiba,,,,,,,2013,766.56,200.3
Itamarati de Minas,,,,,,,2013,945.22,60.2
Itambacuri,,,,,,,2013,931.42,196.7
Itambé do Mato Dentro,,,,,,,2013,949.29,132.01
Itamogi,,,,,,,2013,886.81,56.19
Itamonte,,,,,,,2013,1214.1,64.72
Itanhandu,,,,,,,2013,943.82,36.98
Itanhomi,,,,,,,2013,811.36,120.48
Itaobim,,,,,,,2013,896.93,172.89
Itapagipe,,,,,,,2013,1428.91,68.05
Itapecerica,,,,,,,2013,1085.64,60.56
Itapeva,,,,,,,2013,1112.52,80.4
Itatiaiuçu,,,,,,,2013,1974.87,92.3
Itaú de Minas,,,,,,,2013,1312.5,51.82
Itaúna,,,,,,,2013,1325.12,25.87
Itaverava,,,,,,,2013,859.89,167.71
Itinga,,,,,,,2013,1052.93,270.44
Itueta,,,,,,,2013,1194.78,151.73
Ituiutaba,,,,,,,2013,1268.34,46.44
Itumirim,,,,,,,2013,792.08,100.23
Iturama,,,,,,,2013,1561.39,79.32
Itutinga,,,,,,,2013,991.55,82.99
Jaboticatubas,,,,,,,2013,1039.79,87.0
Jacinto,,,,,,,2013,862.0,252.88
Jacuí,,,,,,,2013,938.75,68.35
Jacutinga,,,,,,,2013,963.25,21.7
Jaguaraçu,,,,,,,2013,844.31,99.63
Jaíba,,,,,,,2013,923.95,222.38
Jampruca,,,,,,,2013,883.29,219.52
Janaúba,,,,,,,2013,894.96,169.78
Januária,,,,,,,2013,1142.68,226.18
Japaraíba,,,,,,,2013,834.63,73.73
Japonvar,,,,,,,2013,108.61,237.01
Jeceaba,,,,,,,2013,3503.52,105.11
Jenipapo de Minas,,,,,,,2013,854.3,214.99
Jequeri,,,,,,,2013,944.08,119.44
Jequitaí,,,,,,,2013,988.18,201.4
Jequitibá,,,,,,,2013,970.33,112.05
Jequitinhonha,,,,,,,2013,856.31,234.73
Jesuânia,,,,,,,2013,766.36,147.83
Joaíma,,,,,,,2013,818.84,239.85
Joanésia,,,,,,,2013,961.26,120.0
João Monlevade,,,,,,,2013,1268.54,46.49
João Pinheiro,,,,,,,2013,1214.59,85.43
Joaquim Felício,,,,,,,2013,912.33,122.35
Jordânia,,,,,,,2013,761.42,243.14
José Gonçalves de Minas,,,,,,,2013,997.01,206.61
Josenópolis,,,,,,,2013,901.48,238.73
José Raydan,,,,,,,2013,736.68,178.34
Juatuba,,,,,,,2013,1336.15,106.86
Juiz de Fora,,,,,,,2013,1361.18,39.93
Juramento,,,,,,,2013,710.74,256.78
Juruaia,,,,,,,2013,857.07,52.99
Juvenília,,,,,,,2013,937.49,236.17
Ladainha,,,,,,,2013,1027.02,250.9
Lagamar,,,,,,,2013,1097.3,92.45
Lagoa da Prata,,,,,,,2013,1180.98,56.58
Lagoa dos Patos,,,,,,,2013,883.51,202.03
Lagoa Dourada,,,,,,,2013,870.91,67.9
Lagoa Formosa,,,,,,,2013,1042.2,61.32
Lagoa Grande,,,,,,,2013,887.82,109.58
Lagoa Santa,,,,,,,2013,1438.54,50.18
Lajinha,,,,,,,2013,1010.4,122.78
Lambari,,,,,,,2013,958.92,93.37
Lamim,,,,,,,2013,1000.79,140.16
Laranjal,,,,,,,2013,959.29,115.51
Lassance,,,,,,,2013,844.8,188.28
Lavras,,,,,,,2013,1444.01,48.19
Leandro Ferreira,,,,,,,2013,1132.43,67.72
Leme do Prado,,,,,,,2013,859.41,192.59
Leopoldina,,,,,,,2013,947.53,81.37
Liberdade,,,,,,,2013,940.08,177.75
Lima Duarte,,,,,,,2013,834.53,78.77
Limeira do Oeste,,,,,,,2013,1477.25,28.97
Lontra,,,,,,,2013,760.79,243.71
Luisburgo,,,,,,,2013,795.62,117.58
Luislândia,,,,,,,2013,189.65,262.49
Luminárias,,,,,,,2013,800.35,100.01
Luz,,,,,,,2013,981.5,74.1
Machacalis,,,,,,,2013,967.1,184.12
Machado,,,,,,,2013,1026.85,64.24
Madre de Deus de Minas,,,,,,,2013,926.01,82.58
Malacacheta,,,,,,,2013,858.48,163.12
Mamonas,,,,,,,2013,906.91,199.01
Manga,,,,,,,2013,773.15,263.47
Manhuaçu,,,,,,,2013,1023.07,70.29
Manhumirim,,,,,,,2013,908.02,105.05
Mantena,,,,,,,2013,934.56,85.11
Maravilhas,,,,,,,2013,912.36,135.6
Mar de Espanha,,,,,,,2013,678.4,50.09
Maria da Fé,,,,,,,2013,983.79,99.19
Mariana,,,,,,,2013,1731.52,99.48
Marilac,,,,,,,2013,900.72,217.58
Mário Campos,,,,,,,2013,1031.16,54.64
Maripá de Minas,,,,,,,2013,880.28,88.76
Marliéria,,,,,,,2013,876.57,105.26
Marmelópolis,,,,,,,2013,1041.4,159.9
Martinho Campos,,,,,,,2013,1098.83,67.91
Martins Soares,,,,,,,2013,1078.87,147.99
Mata Verde,,,,,,,2013,646.42,246.49
Materlândia,,,,,,,2013,883.29,242.18
Mateus Leme,,,,,,,2013,1153.87,68.67
Mathias Lobato,,,,,,,2013,769.85,294.32
Matias Barbosa,,,,,,,2013,1244.37,61.34
Matias Cardoso,,,,,,,2013,761.36,171.79
Matipó,,,,,,,2013,1187.86,134.22
Mato Verde,,,,,,,2013,726.69,175.17
Matozinhos,,,,,,,2013,1330.21,65.13
Matutina,,,,,,,2013,1029.24,67.93
Medeiros,,,,,,,2013,943.36,47.07
Medina,,,,,,,2013,1023.27,189.9
Mendes Pimentel,,,,,,,2013,839.33,181.59
Mercês,,,,,,,2013,750.91,188.49
Mesquita,,,,,,,2013,891.44,122.6
Minas Novas,,,,,,,2013,902.91,148.2
Minduri,,,,,,,2013,977.86,114.03
Mirabela,,,,,,,2013,873.15,224.7
Miradouro,,,,,,,2013,875.57,144.54
Miraí,,,,,,,2013,1001.34,68.58
Miravânia,,,,,,,2013,820.92,255.53
Moeda,,,,,,,2013,1016.24,89.23
Moema,,,,,,,2013,842.72,102.52
Monjolos,,,,,,,2013,802.59,137.55
Monsenhor Paulo,,,,,,,2013,995.46,77.13
Montalvânia,,,,,,,2013,778.47,195.34
Monte Alegre de Minas,,,,,,,2013,1021.24,58.61
Monte Azul,,,,,,,2013,910.65,189.83
Monte Belo,,,,,,,2013,1121.64,88.94
Monte Carmelo,,,,,,,2013,983.79,50.19
Monte Formoso,,,,,,,2013,1718.11,256.12
Monte Santo de Minas,,,,,,,2013,910.58,55.22
Montes Claros,,,,,,,2013,1237.03,84.17
Monte Sião,,,,,,,2013,969.37,27.9
Montezuma,,,,,,,2013,691.14,124.03
Morada Nova de Minas,,,,,,,2013,1053.25,79.92
Morro da Garça,,,,,,,2013,845.05,108.44
Morro do Pilar,,,,,,,2013,948.99,149.13
Munhoz,,,,,,,2013,873.86,104.34
Muriaé,,,,,,,2013,1013.41,67.9
Mutum,,,,,,,2013,904.57,134.86
Muzambinho,,,,,,,2013,1076.96,70.48
Nacip Raydan,,,,,,,2013,848.39,272.39
Nanuque,,,,,,,2013,938.92,89.49
Naque,,,,,,,2013,793.76,167.93
Natalândia,,,,,,,2013,923.51,246.56
Natércia,,,,,,,2013,982.25,54.45
Nazareno,,,,,,,2013,1139.47,124.98
Nepomuceno,,,,,,,2013,851.5,77.73
Ninheira,,,,,,,2013,760.78,265.3
Nova Belém,,,,,,,2013,823.8,187.43
Nova Era,,,,,,,2013,1189.13,55.35
Nova Lima,,,,,,,2013,2341.77,27.0
Nova Módica,,,,,,,2013,866.08,173.25
Nova Ponte,,,,,,,2013,1162.2,67.48
Nova Porteirinha,,,,,,,2013,724.28,179.46
Nova Resende,,,,,,,2013,970.92,43.95
Nova Serrana,,,,,,,2013,970.72,15.73
Nova União,,,,,,,2013,934.44,117.3
Novo Cruzeiro,,,,,,,2013,822.94,248.86
Novo Oriente de Minas,,,,,,,2013,996.04,232.19
Novorizonte,,,,,,,2013,827.58,178.65
Olaria,,,,,,,2013,902.08,120.87
Olhos-D'Água,,,,,,,2013,801.79,182.15
Olímpio Noronha,,,,,,,2013,947.27,98.42
Oliveira Fortes,,,,,,,2013,1134.92,102.75
Oliveira,,,,,,,2013,942.07,54.11
Onça de Pitangui,,,,,,,2013,925.15,89.24
Oratórios,,,,,,,2013,880.08,76.67
Orizânia,,,,,,,2013,877.96,175.7
Ouro Branco,,,,,,,2013,2124.92,22.84
Ouro Fino,,,,,,,2013,1030.54,28.0
Ouro Preto,,,,,,,2013,2040.09,58.79
Ouro Verde de Minas,,,,,,,2013,969.18,254.08
Padre Carvalho,,,,,,,2013,803.22,241.09
Padre Paraíso,,,,,,,2013,853.2,272.52
Paineiras,,,,,,,2013,947.83,62.25
Pains,,,,,,,2013,1120.75,75.28
Pai Pedro,,,,,,,2013,559.13,220.72
Paiva,,,,,,,2013,964.26,74.38
Palma,,,,,,,2013,761.85,139.17
Palmópolis,,,,,,,2013,833.06,230.61
Papagaios,,,,,,,2013,894.57,104.25
Paracatu,,,,,,,2013,1402.95,45.72
Pará de Minas,,,,,,,2013,1087.12,28.17
Paraguaçu,,,,,,,2013,880.41,68.66
Paraisópolis,,,,,,,2013,1303.84,66.48
Paraopeba,,,,,,,2013,916.02,79.19
Passabém,,,,,,,2013,928.85,126.91
Passa Quatro,,,,,,,2013,1048.53,47.03
Passa Tempo,,,,,,,2013,1008.12,41.77
Passa-Vinte,,,,,,,2013,964.8,73.24
Passos,,,,,,,2013,1157.83,46.73
Patis,,,,,,,2013,811.06,269.55
Patos de Minas,,,,,,,2013,1207.21,28.38
Patrocínio do Muriaé,,,,,,,2013,986.55,86.11
Patrocínio,,,,,,,2013,1141.61,64.14
Paula Cândido,,,,,,,2013,792.52,111.04
Paulistas,,,,,,,2013,840.48,235.47
Pavão,,,,,,,2013,956.52,199.47
Peçanha,,,,,,,2013,935.47,173.72
Pedra Azul,,,,,,,2013,941.25,223.17
Pedra Bonita,,,,,,,2013,893.57,270.7
Pedra do Anta,,,,,,,2013,1061.19,178.01
Pedra do Indaiá,,,,,,,2013,931.28,45.98
Pedra Dourada,,,,,,,2013,985.12,125.11
Pedralva,,,,,,,2013,917.3,75.11
Pedras de Maria da Cruz,,,,,,,2013,794.96,277.14
Pedrinópolis,,,,,,,2013,1104.79,81.43
Pedro Leopoldo,,,,,,,2013,1380.15,41.61
Pedro Teixeira,,,,,,,2013,904.48,169.63
Pequeri,,,,,,,2013,829.47,33.87
Pequi,,,,,,,2013,860.42,87.09
Perdigão,,,,,,,2013,1017.37,38.78
Perdizes,,,,,,,2013,1183.88,52.16
Perdões,,,,,,,2013,1014.28,46.25
Periquito,,,,,,,2013,795.02,215.21
Pescador,,,,,,,2013,926.48,201.22
Piau,,,,,,,2013,833.79,94.91
Piedade de Caratinga,,,,,,,2013,883.75,228.82
Piedade de Ponte Nova,,,,,,,2013,994.15,102.55
Piedade do Rio Grande,,,,,,,2013,770.91,71.08
Piedade dos Gerais,,,,,,,2013,993.94,156.4
Pimenta,,,,,,,2013,931.77,73.7
Pingo-D'Água,,,,,,,2013,776.77,141.02
Pintópolis,,,,,,,2013,851.81,217.3
Piracema,,,,,,,2013,860.64,65.34
Pirajuba,,,,,,,2013,2107.19,99.01
Piranga,,,,,,,2013,882.54,148.05
Piranguçu,,,,,,,2013,1079.46,108.61
Piranguinho,,,,,,,2013,854.58,77.69
Pirapetinga,,,,,,,2013,1151.87,86.24
Pirapora,,,,,,,2013,1131.69,119.82
Piraúba,,,,,,,2013,830.24,65.79
Pitangui,,,,,,,2013,943.84,44.27
Piumhi,,,,,,,2013,960.32,56.92
Planura,,,,,,,2013,1175.44,78.79
Poço Fundo,,,,,,,2013,886.17,71.77
Poços de Caldas,,,,,,,2013,1392.97,33.59
Pocrane,,,,,,,2013,1072.4,150.75
Pompéu,,,,,,,2013,1055.55,77.81
Ponte Nova,,,,,,,2013,1006.84,64.33
Ponto Chique,,,,,,,2013,1002.92,300.46
Ponto dos Volantes,,,,,,,2013,975.18,220.72
Porteirinha,,,,,,,2013,981.78,185.28
Porto Firme,,,,,,,2013,870.84,228.56
Poté,,,,,,,2013,894.72,196.73
Pouso Alegre,,,,,,,2013,1449.06,29.46
Pouso Alto,,,,,,,2013,979.76,60.28
