NOME_MUN,EXP_VIDA_AO_NASCER,MORTALIDADE_INFANTIL,IDHM,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDU,ANO,REND_MEDIO_FORMAL,TRANSF_PER_CAPITA_BOLSA_FAMILIA
Bom Sucesso,73.49,17.8,0.692,0.68,0.808,0.602,2010,,
Bonfim,75.01,15.3,0.637,0.669,0.834,0.464,2010,,
Bonfinópolis de Minas,72.73,19.1,0.678,0.655,0.796,0.598,2010,,
Bonito de Minas,71.57,21.2,0.537,0.514,0.776,0.388,2010,,
Borda da Mata,76.92,12.5,0.73,0.703,0.865,0.64,2010,,
Botelhos,77.07,12.3,0.702,0.702,0.868,0.568,2010,,
Botumirim,71.94,20.5,0.602,0.54,0.782,0.517,2010,,
Brasilândia de Minas,75.87,14.0,0.674,0.646,0.848,0.559,2010,,
Brasília de Minas,73.78,17.3,0.656,0.612,0.813,0.568,2010,,
Brasópolis,75.45,14.6,0.692,0.697,0.841,0.566,2010,,
Brás Pires,73.03,18.5,0.625,0.582,0.801,0.523,2010,,
Braúnas,73.1,18.4,0.624,0.635,0.802,0.478,2010,,
Brumadinho,76.39,13.3,0.747,0.761,0.857,0.639,2010,,
Bueno Brandão,75.9,14.0,0.658,0.662,0.848,0.507,2010,,
Buenópolis,72.74,19.0,0.669,0.65,0.796,0.579,2010,,
Bugre,73.01,18.6,0.627,0.602,0.8,0.511,2010,,
Buritis,73.88,17.1,0.672,0.666,0.815,0.558,2010,,
Buritizeiro,71.06,22.2,0.624,0.603,0.768,0.524,2010,,
Cabeceira Grande,72.25,19.9,0.648,0.638,0.788,0.542,2010,,
Cabo Verde,75.82,14.1,0.674,0.686,0.847,0.527,2010,,
Cachoeira da Prata,75.02,15.3,0.741,0.689,0.834,0.707,2010,,
Cachoeira de Minas,74.25,16.5,0.706,0.673,0.821,0.637,2010,,
Cachoeira de Pajeú,71.25,21.8,0.578,0.563,0.771,0.444,2010,,
Cachoeira Dourada,76.02,13.8,0.726,0.695,0.85,0.648,2010,,
Caetanópolis,75.71,14.2,0.706,0.674,0.845,0.617,2010,,
Caeté,75.62,14.4,0.728,0.69,0.844,0.663,2010,,
Caiana,74.98,15.4,0.633,0.631,0.833,0.483,2010,,
Cajuri,73.26,18.1,0.617,0.599,0.804,0.487,2010,,
Caldas,77.35,12.0,0.687,0.701,0.873,0.529,2010,,
Camacho,75.38,14.8,0.69,0.639,0.84,0.612,2010,,
Camanducaia,75.22,15.0,0.689,0.707,0.837,0.553,2010,,
Cambuí,77.33,12.0,0.751,0.722,0.872,0.674,2010,,
Cambuquira,76.34,13.3,0.699,0.691,0.856,0.577,2010,,
Campanário,74.85,15.6,0.616,0.607,0.831,0.464,2010,,
Campanha,75.93,13.9,0.709,0.715,0.849,0.587,2010,,
Campestre,75.59,14.4,0.698,0.712,0.843,0.566,2010,,
Campina Verde,77.06,12.3,0.704,0.714,0.868,0.562,2010,,
Campo Azul,72.96,18.7,0.621,0.55,0.799,0.546,2010,,
Campo Belo,77.1,12.3,0.711,0.706,0.868,0.586,2010,,
Campo do Meio,74.61,15.9,0.683,0.655,0.827,0.588,2010,,
Campo Florido,76.46,12.6,0.706,0.735,0.858,0.558,2010,,
Campos Altos,76.62,13.0,0.702,0.69,0.86,0.582,2010,,
Campos Gerais,74.27,16.5,0.682,0.666,0.821,0.58,2010,,
Canaã,72.88,18.8,0.649,0.644,0.798,0.532,2010,,
Canápolis,77.32,12.0,0.722,0.721,0.872,0.598,2010,,
Cana Verde,74.25,16.5,0.65,0.652,0.821,0.512,2010,,
Candeias,74.81,15.6,0.678,0.699,0.83,0.537,2010,,
Cantagalo,73.94,17.0,0.631,0.598,0.816,0.515,2010,,
Caparaó,75.16,15.1,0.624,0.614,0.836,0.473,2010,,
Capela Nova,72.84,18.9,0.648,0.602,0.797,0.568,2010,,
Capelinha,74.41,16.3,0.653,0.641,0.824,0.527,2010,,
Capetinga,75.88,14.0,0.675,0.68,0.848,0.533,2010,,
Capim Branco,75.19,15.0,0.695,0.664,0.837,0.604,2010,,
Capinópolis,75.47,14.6,0.723,0.747,0.841,0.601,2010,,
Capitão Andrade,73.28,18.1,0.624,0.63,0.805,0.478,2010,,
Capitão Enéas,73.37,18.0,0.639,0.573,0.806,0.565,2010,,
Capitólio,74.51,16.1,0.71,0.709,0.825,0.612,2010,,
Caputira,73.53,17.7,0.615,0.609,0.809,0.471,2010,,
Caraí,71.88,20.6,0.558,0.549,0.781,0.405,2010,,
Caranaíba,73.44,17.8,0.634,0.593,0.807,0.533,2010,,
Carandaí,74.27,16.5,0.697,0.663,0.821,0.622,2010,,
Carangola,75.19,15.0,0.695,0.699,0.837,0.573,2010,,
Caratinga,75.16,15.1,0.706,0.697,0.836,0.603,2010,,
Carbonita,72.74,19.0,0.638,0.617,0.796,0.529,2010,,
Careaçu,74.41,16.2,0.683,0.666,0.824,0.581,2010,,
Carlos Chagas,74.55,16.0,0.648,0.641,0.826,0.513,2010,,
Carmésia,73.28,18.1,0.65,0.631,0.805,0.54,2010,,
Carmo da Cachoeira,73.03,18.5,0.655,0.672,0.801,0.523,2010,,
Carmo da Mata,75.41,14.7,0.689,0.68,0.84,0.572,2010,,
Carmo de Minas,75.71,14.3,0.682,0.668,0.845,0.562,2010,,
Carmo do Cajuru,76.16,13.6,0.71,0.695,0.853,0.605,2010,,
Carmo do Paranaíba,76.63,12.9,0.705,0.713,0.861,0.571,2010,,
Carmo do Rio Claro,76.01,13.8,0.733,0.715,0.85,0.649,2010,,
Carmópolis de Minas,75.99,13.8,0.7,0.694,0.85,0.582,2010,,
Carneirinho,77.37,11.9,0.741,0.749,0.873,0.622,2010,,
Carrancas,77.59,11.6,0.725,0.687,0.877,0.632,2010,,
Carvalhópolis,75.98,13.9,0.724,0.688,0.85,0.648,2010,,
Carvalhos,74.2,16.6,0.646,0.667,0.82,0.492,2010,,
Casa Grande,74.39,16.3,0.652,0.608,0.823,0.555,2010,,
Cascalho Rico,75.72,14.2,0.721,0.734,0.845,0.604,2010,,
Cássia,75.22,15.0,0.704,0.723,0.837,0.576,2010,,
Cataguases,76.68,12.9,0.751,0.718,0.861,0.685,2010,,
Catas Altas da Noruega,72.96,18.7,0.6,0.588,0.799,0.46,2010,,
Catas Altas,74.65,15.9,0.684,0.665,0.828,0.582,2010,,
Catuji,71.23,21.8,0.54,0.534,0.771,0.382,2010,,
Catuti,71.38,21.5,0.621,0.563,0.773,0.549,2010,,
Caxambu,75.85,14.0,0.743,0.77,0.848,0.629,2010,,
Cedro do Abaeté,73.04,18.5,0.678,0.641,0.801,0.608,2010,,
Central de Minas,74.37,16.3,0.665,0.663,0.823,0.54,2010,,
Centralina,76.19,13.6,0.678,0.654,0.853,0.558,2010,,
Chácara,77.66,11.5,0.664,0.65,0.878,0.512,2010,,
Chalé,72.21,20.0,0.655,0.636,0.787,0.561,2010,,
