NOME_MUN,EXP_VIDA_AO_NASCER,MORTALIDADE_INFANTIL,IDHM,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDU,ANO,REND_MEDIO_FORMAL,TRANSF_PER_CAPITA_BOLSA_FAMILIA,GINI,TAXA_ALFAB,PROP_MENOS_DE_1_SM,PROP_1_A_2_SM,PROP_2_A_5_SM,PROP_5_A_10_SM,PROP_MAIS_DE_10_SM
Ibiá,77.62,11.6,0.718,0.736,0.877,0.573,2010,,,0.5166,94.1,0.2826368804228583,0.2087364116884412,0.1069113393836641,0.02493268175925,0.008177919617034
Ibiracatu,72.17,20.1,0.591,0.537,0.786,0.489,2010,,,0.5129,77.7,0.3578640776699029,0.0652427184466019,0.0196116504854368,0.0013592233009708,0.0003883495145631
Ibiraci,76.28,13.4,0.706,0.696,0.855,0.591,2010,,,0.4286,91.5,0.3291666666666666,0.2297480620155038,0.1079457364341085,0.0203488372093023,0.0072674418604651
Ibirité,75.41,14.7,0.704,0.673,0.84,0.616,2010,,,0.4501,94.6,0.2788303531901164,0.2418455628006093,0.0893067509060485,0.0092518252282942,0.0016732822594562
Ibitiúra de Minas,73.14,18.4,0.674,0.658,0.802,0.579,2010,,,0.4059,89.4,0.4431703204047217,0.1956155143338954,0.0802698145025295,0.0097807757166947,0.0020236087689713
Ibituruna,74.39,16.3,0.675,0.639,0.823,0.584,2010,,,0.4244,90.4,0.4530797850351384,0.1537825547747003,0.0570483670938404,0.0111616370400992,0.0028937577511368
Icaraí de Minas,72.96,18.7,0.624,0.57,0.799,0.533,2010,,,0.5059,86.4,0.4377043635133611,0.0874957717893787,0.0278498139587326,0.0041718344796482,0.0020295410982072
Igarapé,75.63,14.4,0.698,0.686,0.844,0.588,2010,,,0.4759,93.3,0.2839338009943472,0.2060546209902608,0.1131580739630865,0.0216236463937887,0.0051760539399305
Igaratinga,75.54,14.5,0.651,0.682,0.842,0.481,2010,,,0.3784,93.5,0.3122700164953686,0.2489531785306433,0.1096307575180814,0.0123080827306179,0.0024108615657911
Iguatama,74.51,16.1,0.707,0.695,0.825,0.616,2010,,,0.4308,94.8,0.351147174034695,0.208729714605484,0.1042249580302182,0.0216843872411863,0.0065752658086177
Ijaci,75.37,14.8,0.714,0.663,0.84,0.654,2010,,,0.4174,93.7,0.2987064676616915,0.1932338308457711,0.0786069651741293,0.0151243781094527,0.0033830845771144
Ilicínea,74.61,15.9,0.68,0.665,0.827,0.571,2010,,,0.4,91.3,0.4769074262461851,0.1676500508646999,0.0531027466937945,0.0093591047812817,0.0021363173957273
Imbé de Minas,69.66,25.0,0.553,0.572,0.744,0.397,2010,,,0.4439,84.6,0.5042910447761194,0.083955223880597,0.0296641791044776,0.0033582089552238,0.0009328358208955
Inconfidentes,75.59,14.4,0.692,0.688,0.843,0.572,2010,,,0.4915,92.2,0.4508236829228511,0.1686511172728755,0.0689936388843581,0.018430924808351,0.0044038492904909
Indaiabira,73.26,18.2,0.61,0.575,0.804,0.49,2010,,,0.484,71.8,0.4640786082474227,0.0895618556701031,0.0217461340206185,0.0025773195876288,0.0011275773195876
Indianópolis,75.06,15.2,0.674,0.664,0.834,0.554,2010,,,0.4079,90.1,0.3016236867239732,0.2273161413562559,0.089207258834766,0.0200573065902578,0.0028653295128939
Ingaí,76.45,13.2,0.697,0.694,0.858,0.569,2010,,,0.5229,92.4,0.3866608544027899,0.2223190932868352,0.066259808195292,0.01743679163034,0.0108979947689625
Inhapim,74.72,15.8,0.658,0.642,0.829,0.535,2010,,,0.533,86.2,0.4274728948751015,0.1077995892439222,0.0483354826383913,0.0138988393752686,0.0044418971199312
Inhaúma,75.71,14.3,0.702,0.657,0.845,0.624,2010,,,0.4416,92.2,0.3742182771837805,0.1989106314303005,0.0615291506959854,0.0127092999798265,0.0044381682469235
Inimutaba,73.61,17.6,0.664,0.625,0.81,0.579,2010,,,0.4267,88.9,0.4460134320647494,0.1386257964525572,0.0502841398312381,0.0074048562080247,0.0006888238333046
Ipaba,74.72,15.8,0.665,0.63,0.829,0.562,2010,,,0.4056,89.6,0.3327571305099395,0.1756698357821953,0.083549409392106,0.009435321233074,0.0010803802938634
Ipanema,75.87,14.0,0.693,0.67,0.848,0.586,2010,,,0.5237,87.0,0.4463932648765865,0.1247528541361056,0.0593150073346514,0.0160724536003571,0.0050385866445564
Ipatinga,76.85,13.22,0.771,0.752,0.864,0.705,2010,,,0.5236,95.3,0.2188988397144209,0.2079819146161203,0.1455525606469002,0.0456723569931117,0.0144142055280217
Ipiaçu,73.82,17.2,0.696,0.68,0.814,0.61,2010,,,0.4416,85.2,0.344509639564124,0.2006146968426934,0.0827046661078513,0.0106174909192511,0.0041911148365465
Ipuiúna,76.98,12.4,0.686,0.723,0.866,0.516,2010,,,0.5357,88.9,0.3658243080625752,0.1919374247894103,0.0980746089049338,0.0188929001203369,0.0060168471720818
Iraí de Minas,75.84,14.1,0.695,0.705,0.847,0.563,2010,,,0.4839,92.2,0.4,0.1885350318471337,0.0908098271155596,0.0187443130118289,0.0094631483166515
Itabira,77.37,11.18,0.756,0.729,0.873,0.678,2010,,,0.5212,94.1,0.2938788815630356,0.1775976108604898,0.1242310482980535,0.0346383166661408,0.010315782832266
Itabirinha,75.3,14.9,0.653,0.625,0.838,0.531,2010,,,0.4904,81.4,0.4648950131233595,0.109251968503937,0.0399168853893263,0.009514435695538,0.0043744531933508
Itabirito,74.68,15.8,0.73,0.737,0.828,0.638,2010,,,0.4829,96.3,0.2428480448350528,0.2358935167494586,0.1503757483123169,0.0308750477646159,0.0086613170296777
Itacambira,72.44,19.6,0.628,0.57,0.791,0.55,2010,,,0.4992,85.7,0.3501991098617943,0.1051768564066526,0.0288123682361208,0.0051534317170297,0.0002342468962286
Itacarambi,72.22,20.0,0.641,0.593,0.787,0.564,2010,,,0.51,84.5,0.3866989954970558,0.0970557672324212,0.0397644613785937,0.0056113612746795,0.0020090058884655
Itaguara,75.14,15.1,0.691,0.697,0.836,0.567,2010,,,0.4414,92.5,0.4016991411949395,0.2120232708468002,0.090128359035922,0.0195770615938683,0.0061870902207036
Itaipé,70.52,23.2,0.552,0.57,0.759,0.388,2010,,,0.4875,77.5,0.4610835357482311,0.093990917731545,0.030415038546837,0.0045411342274791,0.0010560777273207
Itajubá,78.06,10.5,0.787,0.767,0.884,0.718,2010,,,0.5571,96.3,0.2356655721141702,0.2138166203586764,0.1320914372316241,0.0464637534730992,0.0191462490527911
Itamarandiba,72.86,18.8,0.646,0.618,0.798,0.547,2010,,,0.5172,83.5,0.4956036076833088,0.0968715800596248,0.0347937658024831,0.0092456319106381,0.0031699309407902
Itamarati de Minas,75.45,14.6,0.688,0.677,0.841,0.572,2010,,,0.3959,93.1,0.4148936170212766,0.2073104200763775,0.0878341516639389,0.0122749590834697,0.0021822149481723
Itambacuri,72.05,20.3,0.634,0.616,0.784,0.527,2010,,,0.5228,81.1,0.4275419493977171,0.0910525485245384,0.0408184735153332,0.0125190679080532,0.0045762979327757
Itambé do Mato Dentro,74.39,16.3,0.634,0.605,0.823,0.513,2010,,,0.4174,82.6,0.4945054945054945,0.1033966033966033,0.0409590409590409,0.0074925074925074,0.0009990009990009
Itamogi,73.61,17.6,0.674,0.665,0.81,0.568,2010,,,0.4161,90.2,0.417107001321004,0.1673271686481726,0.0653896961690885,0.0121092029942756,0.0033025099075297
Itamonte,76.17,13.6,0.705,0.695,0.853,0.591,2010,,,0.4702,94.5,0.3604516979887899,0.2002967359050445,0.0904220243982855,0.0221727662380481,0.0070886910649521
Itanhandu,77.23,12.1,0.739,0.72,0.871,0.643,2010,,,0.5114,95.7,0.334610056230136,0.2226387417488387,0.0943688370955912,0.0271371526362969,0.011734984923804
Itanhomi,74.85,15.6,0.65,0.656,0.831,0.503,2010,,,0.5689,84.2,0.4035830298257702,0.1146766414017127,0.0453784821340683,0.011812186238803,0.0053154838074613
Itaobim,72.19,20.0,0.629,0.613,0.787,0.516,2010,,,0.514,81.3,0.4495132442834503,0.0902196060674666,0.0403554448720851,0.0095087163232963,0.0023205795788997
Itapagipe,76.64,12.9,0.723,0.728,0.861,0.603,2010,,,0.4603,93.9,0.2650275470767206,0.2184030918509991,0.1172600937422909,0.0268070060027958,0.009291999013239
Itapecerica,75.73,14.2,0.713,0.692,0.846,0.618,2010,,,0.454,89.8,0.4079712443175811,0.1856961623850301,0.0749022095358917,0.016386510201924,0.0059202875568241
Itapeva,77.69,11.5,0.72,0.699,0.878,0.607,2010,,,0.4851,90.5,0.2976285638156142,0.2509992006394884,0.1051159072741806,0.0191846522781774,0.0054622968292033
Itatiaiuçu,75.0,15.3,0.677,0.661,0.833,0.563,2010,,,0.4099,91.4,0.3290588235294117,0.2018823529411764,0.0898823529411764,0.0115294117647058,0.0032941176470588
Itaú de Minas,76.74,12.8,0.776,0.761,0.862,0.711,2010,,,0.5678,95.4,0.2694606190622127,0.2116916947594238,0.157447134538768,0.0302635611400551,0.0049800796812749
Itaúna,76.02,14.68,0.758,0.749,0.85,0.685,2010,,,0.4924,96.1,0.2652305800916708,0.2402816939050953,0.1452166824796547,0.0326727513262865,0.0111581788783023
Itaverava,73.63,17.5,0.627,0.613,0.811,0.496,2010,,,0.478,85.9,0.4289766970618034,0.1173252279635258,0.0308004052684903,0.0034447821681864,0.0016210739614994
Itinga,72.83,18.9,0.6,0.559,0.797,0.484,2010,,,0.5079,80.5,0.443765690376569,0.0758158995815899,0.0251882845188284,0.0042677824267782,0.0010878661087866
Itueta,74.51,16.1,0.635,0.64,0.825,0.485,2010,,,0.5219,86.1,0.3955327139750939,0.1512156552678395,0.0488238782368056,0.0112670488238782,0.0021743427554852
Ituiutaba,75.37,14.2,0.739,0.745,0.84,0.644,2010,,,0.5093,92.1,0.3060738341664906,0.2182285432655072,0.1297613180314018,0.033068131146002,0.0131075594357999
Itumirim,75.39,14.7,0.726,0.675,0.84,0.675,2010,,,0.5362,94.6,0.2971662938105891,0.1694630872483221,0.0753169276659209,0.0162192393736017,0.0046607009694258
Iturama,75.88,14.0,0.747,0.73,0.848,0.674,2010,,,0.4713,92.1,0.2658329971762808,0.2127874142799516,0.1503966653220384,0.0321702299314239,0.0105553314508538
Itutinga,77.67,11.5,0.727,0.703,0.878,0.622,2010,,,0.5592,94.1,0.3153756552125801,0.1473500291205591,0.0748398369248689,0.0259172976121141,0.0093185789167152
Jaboticatubas,75.19,15.0,0.681,0.694,0.837,0.543,2010,,,0.5582,90.1,0.417139767504731,0.1545012165450121,0.0642741281427412,0.0175723168423898,0.0062854825628548
Jacinto,73.4,17.9,0.62,0.595,0.807,0.496,2010,,,0.4899,74.9,0.5296075168836253,0.0726240579426446,0.0318097288832338,0.0076343349319761,0.0028384065772731
Jacuí,73.61,17.6,0.668,0.682,0.81,0.54,2010,,,0.4124,90.3,0.4291647438855561,0.172127365020766,0.071835102291955,0.0192278111059836,0.0063067220427626
Jacutinga,76.82,12.7,0.715,0.722,0.864,0.586,2010,,,0.4326,93.4,0.2840572304547777,0.3054675523760858,0.1071538068472151,0.0262135922330097,0.0072049054675523
Jaguaraçu,76.35,13.3,0.679,0.667,0.856,0.548,2010,,,0.4164,90.4,0.3268482490272373,0.2108949416342412,0.0824902723735408,0.0159533073929961,0.0038910505836575
Jaíba,72.33,19.8,0.638,0.619,0.789,0.531,2010,,,0.4676,83.6,0.4288132474701012,0.1011591536338546,0.0359521619135234,0.0072861085556577,0.0018767249310027
Jampruca,71.86,20.6,0.609,0.605,0.781,0.479,2010,,,0.4841,79.6,0.4438679245283018,0.1058962264150943,0.0320754716981132,0.0077830188679245,0.0014150943396226
Janaúba,72.74,19.0,0.696,0.654,0.796,0.649,2010,,,0.5405,87.2,0.4312987314218424,0.1130479775902367,0.0562563562724142,0.0150766321123342,0.005281281781362
Januária,74.22,16.6,0.658,0.611,0.82,0.568,2010,,,0.5663,84.4,0.389164743885556,0.092921089063221,0.0466266728195662,0.0132348869404706,0.002953391785879
Japaraíba,75.62,14.4,0.721,0.677,0.844,0.656,2010,,,0.3723,93.5,0.3528347406513872,0.2490952955367913,0.0998190591073582,0.0162846803377563,0.0021109770808202
Japonvar,72.17,20.1,0.608,0.556,0.786,0.514,2010,,,0.4662,80.7,0.457000710732054,0.0740582800284292,0.0183368869936034,0.0025586353944562,0.0009950248756218
Jeceaba,75.66,14.3,0.661,0.629,0.844,0.544,2010,,,0.481,92.6,0.3768146433831264,0.1552703555649063,0.065853145381864,0.0105196717862402,0.0023143277929728
Jenipapo de Minas,72.59,19.3,0.624,0.588,0.793,0.52,2010,,,0.4589,79.2,0.3979557069846678,0.1683134582623509,0.02793867120954,0.003747870528109,0.0008517887563884
Jequeri,72.61,19.3,0.601,0.607,0.794,0.451,2010,,,0.5044,85.4,0.4513138948884089,0.0958423326133909,0.0344672426205903,0.007649388048956,0.0020698344132469
Jequitaí,72.79,19.0,0.643,0.605,0.797,0.552,2010,,,0.4802,82.2,0.4747445255474452,0.0897810218978102,0.0334306569343065,0.008905109489051,0.0016058394160583
Jequitibá,76.26,13.5,0.689,0.777,0.854,0.492,2010,,,0.7832,91.1,0.4432046418210221,0.1519750055791118,0.0502120062486052,0.0073644275831287,0.0055791118054005
Jequitinhonha,73.99,16.9,0.615,0.619,0.817,0.461,2010,,,0.5509,77.0,0.4819536092781443,0.0784343131373725,0.0368926214757048,0.011997600479904,0.0031493701259748
Jesuânia,74.88,15.5,0.658,0.675,0.831,0.507,2010,,,0.4862,90.0,0.4340567612687813,0.14762699737658,0.0629620796565704,0.0126401144765084,0.0052468399713808
Joaíma,72.36,19.7,0.587,0.572,0.789,0.448,2010,,,0.5385,74.5,0.4558185242813856,0.0612562443698304,0.0292359348128736,0.006879043485382,0.0022930144951273
Joanésia,73.2,18.3,0.626,0.616,0.803,0.495,2010,,,0.4999,82.7,0.4107666527021366,0.1147884373690825,0.0433598659405111,0.0064935064935064,0.0023041474654377
João Monlevade,75.93,13.9,0.758,0.724,0.849,0.708,2010,,,0.496,96.2,0.2653204319169822,0.1821000638838249,0.1418999984418579,0.0325340064507081,0.0087567584412346
João Pinheiro,72.25,19.9,0.697,0.683,0.788,0.63,2010,,,0.5073,90.3,0.3666631766307193,0.17202387184588,0.0780808292325411,0.0165689456601402,0.0063605905140822
Joaquim Felício,74.44,16.2,0.637,0.642,0.824,0.489,2010,,,0.5314,85.9,0.4970108695652174,0.1013586956521739,0.0334239130434782,0.0092391304347826,0.0040760869565217
Jordânia,72.82,18.9,0.628,0.613,0.797,0.506,2010,,,0.5163,78.2,0.5169442848937392,0.0809879379666858,0.0356117174037909,0.007696726019529,0.0032165422171165
José Gonçalves de Minas,70.81,22.6,0.632,0.597,0.764,0.553,2010,,,0.4157,83.3,0.4006913055038553,0.1510236639191704,0.0319064078702472,0.0031906407870247,0.0015953203935123
Josenópolis,71.94,20.5,0.564,0.541,0.782,0.424,2010,,,0.4621,75.1,0.43758611187655,0.0856985395425737,0.0223201984017635,0.0027555800496004,0.00027555800496
José Raydan,72.94,18.7,0.617,0.596,0.799,0.493,2010,,,0.4902,79.8,0.468851570964247,0.0866738894907909,0.0270855904658721,0.0048754062838569,0.001895991332611
Juatuba,75.94,13.9,0.717,0.67,0.849,0.649,2010,,,0.4854,92.2,0.279978615343491,0.2199946538358727,0.084255546645282,0.0137931034482758,0.0031007751937984
Juiz de Fora,75.65,15.42,0.778,0.784,0.844,0.711,2010,,,0.5655,96.9,0.2396671186410928,0.2228211980393963,0.1402832080530433,0.0550969989775724,0.0264887730430165
Juramento,73.48,17.8,0.669,0.601,0.808,0.617,2010,,,0.4324,85.5,0.4704032027452102,0.0986559908492994,0.0317414927080354,0.0025736345438947,0.0022876751501286
Juruaia,76.61,13.0,0.723,0.794,0.86,0.553,2010,,,0.6452,94.2,0.3632944716058668,0.251222264009026,0.0849943587814968,0.0250720822364297,0.0100288328945718
Juvenília,71.57,21.2,0.592,0.535,0.776,0.501,2010,,,0.5434,79.5,0.3733877901977644,0.0535253654342218,0.0227858985382631,0.0025795356835769,0.0008598452278589
Ladainha,70.26,23.8,0.541,0.537,0.754,0.391,2010,,,0.5624,73.6,0.421978507286913,0.0614603268070072,0.0198733990872957,0.0032386279994111,0.0011040777270719
Lagamar,75.31,14.8,0.718,0.692,0.839,0.637,2010,,,0.5023,89.9,0.3646830143540669,0.1819677033492823,0.0829844497607655,0.0183911483253588,0.0076255980861244
Lagoa da Prata,74.89,15.5,0.732,0.72,0.832,0.655,2010,,,0.4607,94.1,0.3033713535883718,0.2338498031694761,0.1205713132128797,0.0243514686585242,0.0079236903199757
Lagoa dos Patos,71.36,21.6,0.634,0.593,0.773,0.556,2010,,,0.4421,85.9,0.5391328828828829,0.0999436936936937,0.0295608108108108,0.0019707207207207,0.0019707207207207
Lagoa Dourada,74.68,15.8,0.676,0.672,0.828,0.554,2010,,,0.5345,94.6,0.4194324194324194,0.1324675324675324,0.0507936507936507,0.0095238095238095,0.0026936026936026
Lagoa Formosa,74.91,15.5,0.703,0.717,0.832,0.582,2010,,,0.5019,90.0,0.3801134467801134,0.2120787454120787,0.0845512178845512,0.0176176176176176,0.0088755422088755
Lagoa Grande,73.72,17.4,0.679,0.678,0.812,0.568,2010,,,0.5023,89.9,0.3969298245614035,0.1600877192982456,0.0548245614035087,0.0157620614035087,0.0054824561403508
Lagoa Santa,76.43,13.2,0.777,0.79,0.857,0.693,2010,,,0.5874,95.7,0.2694917876959126,0.1972500386851471,0.1285452174105267,0.0519928377213343,0.0244048013794018
Lajinha,73.6,17.6,0.661,0.659,0.81,0.541,2010,,,0.5123,84.6,0.4337560386473429,0.1403985507246377,0.0606884057971014,0.0151570048309178,0.0057367149758454
Lambari,77.23,12.1,0.711,0.693,0.871,0.596,2010,,,0.4933,93.1,0.3778054862842893,0.1688041800261251,0.0848474052962831,0.0236907730673316,0.0076594228713929
Lamim,74.7,15.8,0.655,0.623,0.828,0.546,2010,,,0.4569,88.0,0.5214165261382799,0.1254637436762226,0.0546374367622259,0.0053962900505902,0.0016863406408094
Laranjal,76.42,13.2,0.714,0.694,0.857,0.613,2010,,,0.5139,89.9,0.4337140879196954,0.1476289373485635,0.0726895119418483,0.0159224645205953,0.0079612322602976
Lassance,72.71,19.1,0.629,0.614,0.795,0.511,2010,,,0.4577,86.3,0.4474024773525605,0.1218339804030319,0.0391939360325383,0.0075799593270475,0.0012941393973007
Lavras,77.8,11.4,0.782,0.757,0.88,0.719,2010,,,0.5103,96.1,0.2529754525167369,0.2139474336722043,0.1370195883957352,0.0466278204810314,0.020989337961815
Leandro Ferreira,77.49,11.8,0.71,0.707,0.875,0.579,2010,,,0.4631,89.2,0.4020356234096692,0.2300981461286805,0.0836059614685569,0.0156306797528171,0.0058160668847691
Leme do Prado,71.73,20.9,0.67,0.602,0.779,0.64,2010,,,0.4129,84.5,0.4222111055527764,0.1320660330165082,0.0420210105052526,0.0050025012506253,0.0007503751875937
Leopoldina,77.04,12.4,0.726,0.696,0.867,0.635,2010,,,0.504,93.4,0.3766786987422371,0.1693159652938143,0.0879088850525749,0.0261193193282963,0.0080039459229199
Liberdade,75.01,15.3,0.672,0.679,0.834,0.537,2010,,,0.6065,86.4,0.4361476453118371,0.1081883750530335,0.0473058973271107,0.0159100551548578,0.0050912176495545
Lima Duarte,76.68,12.9,0.71,0.705,0.861,0.59,2010,,,0.5921,89.9,0.4331839840694118,0.1580968636654576,0.0650024891543986,0.0165706564255742,0.0058317331626484
Limeira do Oeste,75.04,15.3,0.71,0.693,0.834,0.62,2010,,,0.4704,88.6,0.2824887104867035,0.1993644422144171,0.1257735407258739,0.0188994815186486,0.0041813012209399
Lontra,72.61,19.3,0.646,0.589,0.794,0.577,2010,,,0.5135,80.3,0.4559300521788182,0.08263996615428,0.0282047666055563,0.0047948103229445,0.0023974051614722
Luisburgo,73.53,17.7,0.608,0.61,0.809,0.455,2010,,,0.52,86.7,0.4867358708189158,0.1228373702422145,0.0401768550557477,0.0063437139561707,0.0013456362937331
Luislândia,72.96,18.7,0.614,0.568,0.799,0.509,2010,,,0.5867,83.2,0.4367245657568238,0.0662340141248329,0.0200419927467073,0.0030540179423554,0.0011452567283832
Luminárias,74.27,16.5,0.678,0.656,0.821,0.578,2010,,,0.4085,91.4,0.4207591679176495,0.1962256058331546,0.0613339052112374,0.0132961612695689,0.0053613553506326
Luz,75.0,15.3,0.724,0.723,0.833,0.63,2010,,,0.503,92.6,0.3564732874467388,0.2148148148148148,0.0972140281874795,0.0232710586692887,0.0084562438544739
Machacalis,71.96,20.4,0.64,0.607,0.783,0.552,2010,,,0.4852,79.0,0.4831230821684282,0.1033071939993181,0.0405727923627685,0.010398908966928,0.0025571087623593
Machado,75.9,14.0,0.715,0.719,0.848,0.6,2010,,,0.5218,92.6,0.3322631451417494,0.2036285437363702,0.0946207899200387,0.0285921977223164,0.008904773443179
Madre de Deus de Minas,76.38,13.3,0.699,0.667,0.856,0.598,2010,,,0.5208,93.4,0.415929203539823,0.1234280391243595,0.059385188635305,0.0163018164881229,0.0037261294829995
Malacacheta,71.05,22.2,0.618,0.609,0.768,0.505,2010,,,0.5399,77.9,0.4692327171435806,0.0906558622436059,0.0361483919979741,0.0082299316282603,0.0018359078247657
Mamonas,71.73,20.9,0.618,0.565,0.779,0.537,2010,,,0.4603,74.0,0.4933429291111911,0.0951781216264843,0.0165527168046059,0.0023389708528247,0.0
Manga,72.96,18.7,0.642,0.624,0.799,0.53,2010,,,0.6867,79.3,0.4000619770684847,0.0630306786488999,0.0283854973659745,0.0071273628757359,0.0027889680818097
Manhuaçu,75.35,14.8,0.689,0.692,0.839,0.563,2010,,,0.5063,92.2,0.3582334270972788,0.1723551798312249,0.0855458114592578,0.0260984671851261,0.0087546443237714
Manhumirim,75.74,14.2,0.697,0.679,0.846,0.589,2010,,,0.4914,88.5,0.4115698829763745,0.1515787149481121,0.0643077942150585,0.0193199381761978,0.0039191874586001
Mantena,73.16,18.3,0.675,0.666,0.803,0.575,2010,,,0.5233,86.0,0.4141630901287553,0.1282403433476394,0.0584978540772532,0.01931330472103,0.0068669527896995
Maravilhas,75.7,14.3,0.672,0.645,0.845,0.558,2010,,,0.3961,92.3,0.4213298222514812,0.1891046741277156,0.0633640552995391,0.010697827518104,0.0034562211981566
Mar de Espanha,74.51,16.1,0.684,0.694,0.825,0.558,2010,,,0.404,92.5,0.4363301328678111,0.2031810687615168,0.0854427310639123,0.0184269227039084,0.0049461739889438
Maria da Fé,75.53,14.5,0.702,0.646,0.842,0.637,2010,,,0.4863,92.9,0.3960209595546095,0.1501555591943671,0.0540363517275257,0.0122809890289831,0.0037661699688881
Mariana,77.43,11.8,0.742,0.705,0.874,0.664,2010,,,0.5116,94.0,0.2947959469053202,0.1738915302368608,0.1159778843878407,0.0264397736807004,0.0091216143536346
Marilac,71.86,20.6,0.615,0.609,0.781,0.488,2010,,,0.4673,82.8,0.4226072138596989,0.1053677932405566,0.0360692984947458,0.0042601533655211,0.0017040613462084
Mário Campos,74.99,15.3,0.699,0.68,0.833,0.604,2010,,,0.4741,92.7,0.2937607534184551,0.2166078058498596,0.0943584170968034,0.0143982613420266,0.0050710857556823
Maripá de Minas,75.84,14.1,0.68,0.668,0.847,0.555,2010,,,0.4235,90.2,0.4573991031390134,0.1781492050550346,0.0509580105992662,0.0122299225438238,0.003261312678353
Marliéria,75.29,14.9,0.657,0.629,0.838,0.537,2010,,,0.4115,89.6,0.3891152502910361,0.1603608847497089,0.0663562281722933,0.009604190919674,0.0023282887077997
Marmelópolis,73.36,18.0,0.65,0.615,0.806,0.553,2010,,,0.4586,90.7,0.4440184049079754,0.107361963190184,0.0440950920245398,0.0084355828220858,0.0019171779141104
Martinho Campos,75.61,14.4,0.669,0.688,0.844,0.515,2010,,,0.4535,91.9,0.3500091962479308,0.2093066029060143,0.0872723928637116,0.0170130586720618,0.0052418613205812
Martins Soares,73.53,17.7,0.635,0.619,0.809,0.512,2010,,,0.4046,85.9,0.4654077540106952,0.1497326203208556,0.0421122994652406,0.0106951871657754,0.0030080213903743
Mata Verde,69.92,24.4,0.581,0.581,0.749,0.45,2010,,,0.4761,73.4,0.4974281391830559,0.0674735249621785,0.0331316187594553,0.0049924357034795,0.0021180030257186
Materlândia,71.16,22.0,0.597,0.557,0.769,0.497,2010,,,0.4798,79.8,0.4402354747888405,0.0757614538008702,0.0230355771691835,0.0053749680061428,0.0002559508574353
Mateus Leme,75.36,14.8,0.704,0.688,0.839,0.604,2010,,,0.5137,92.9,0.3193497862252889,0.220251449858189,0.0880074503661685,0.0193878846886508,0.0049951318630148
Mathias Lobato,72.71,19.1,0.612,0.596,0.795,0.483,2010,,,0.5777,81.9,0.3947844983701557,0.08982252806954,0.038029699384281,0.0076059398768562,0.0025353132922854
Matias Barbosa,76.73,12.8,0.72,0.703,0.862,0.616,2010,,,0.497,93.9,0.3177251830410352,0.198109994891878,0.0971394517282479,0.0263919632215222,0.0077473182359952
Matias Cardoso,72.96,18.7,0.616,0.584,0.799,0.501,2010,,,0.5709,80.1,0.4171515304831773,0.0809511763217809,0.0235264356185175,0.0037945863900834,0.0026562104730584
Matipó,71.8,20.8,0.631,0.63,0.78,0.511,2010,,,0.4889,86.8,0.4473448584613265,0.1115090570975962,0.0415317859356705,0.0113644190371237,0.0046835181486328
Mato Verde,72.33,19.8,0.662,0.604,0.789,0.61,2010,,,0.4608,80.6,0.5473378157368708,0.0834999091404688,0.0339814646556423,0.0054515718698891,0.0016354715609667
Matozinhos,76.82,12.7,0.731,0.69,0.864,0.654,2010,,,0.4415,94.7,0.2885024353433491,0.2165054537970775,0.1165534746518488,0.0198257528984015,0.0052479934142827
Matutina,76.53,13.1,0.707,0.744,0.859,0.552,2010,,,0.5982,89.4,0.36071964017991,0.1970014992503748,0.0791604197901049,0.0200899550224887,0.0071964017991004
Medeiros,76.04,13.8,0.711,0.722,0.851,0.584,2010,,,0.4673,94.6,0.3229939312204989,0.1982467970330411,0.0927174645987862,0.0320296695886716,0.0158462575859743
Medina,74.27,16.5,0.624,0.624,0.821,0.475,2010,,,0.5871,79.9,0.4303588693624524,0.0794517431610078,0.0388443382812944,0.0089290792242506,0.0029005289199795
Mendes Pimentel,71.09,22.1,0.626,0.617,0.768,0.518,2010,,,0.485,78.0,0.469302240845327,0.0903625432683549,0.0355255966478411,0.0107487702678083,0.002550555656768
Mercês,74.85,15.6,0.664,0.683,0.831,0.515,2010,,,0.589,87.0,0.5,0.1047977006411673,0.0404598717665266,0.0105018792836612,0.0049745743975237
Mesquita,72.76,19.0,0.656,0.638,0.796,0.555,2010,,,0.4773,82.8,0.3934613191408477,0.1334347082303744,0.0570233795856301,0.0108344421212697,0.0032313248431857
Minas Novas,73.14,18.4,0.633,0.6,0.802,0.528,2010,,,0.5014,80.0,0.4002903213150771,0.1185609478598611,0.0336615795048844,0.0051394719290674,0.0020400957275687
Minduri,73.32,18.0,0.658,0.631,0.805,0.56,2010,,,0.4902,92.5,0.3499849533554017,0.1281974119771291,0.0653024375564249,0.0138429130303942,0.006620523623232
Mirabela,72.61,19.3,0.665,0.596,0.794,0.622,2010,,,0.4864,84.3,0.4697944026809166,0.0797029254596504,0.0288923104791232,0.006158862421882,0.0016302871116746
Miradouro,74.64,15.9,0.663,0.645,0.827,0.546,2010,,,0.5215,87.5,0.3878657778782058,0.1465371144503446,0.0488080442887809,0.0142356795842277,0.0051971528640831
Miraí,75.19,15.0,0.68,0.663,0.837,0.567,2010,,,0.4561,89.5,0.4348590076144256,0.1556355116726633,0.0594929294619697,0.0149778261233369,0.0051878503890887
Miravânia,71.88,20.6,0.593,0.544,0.781,0.492,2010,,,0.4892,76.6,0.4355663169222491,0.0871670702179176,0.0180252892117298,0.0026903416733925,0.001076136669357
