COD_MUN,ANO,VINCULOS_MEDIA
3100104,2007,859.0833333333334
3100104,2008,914.5833333333334
3100104,2009,943.1666666666666
3100104,2010,957.4166666666666
3100104,2011,1052.8333333333333
3100104,2012,1094.5833333333333
3100104,2013,1196.5
3100104,2014,1237.8333333333333
3100104,2015,1189.0833333333333
3100104,2016,1146.8333333333333
3100104,2017,1201.25
3100104,2018,1209.6666666666667
3100104,2019,1275.0833333333333
3100104,2020,1256.0833333333333
3100104,2021,1279.4166666666667
3100104,2022,1322.6666666666667
3100104,2023,1321.75
3100104,2024,1299.8333333333333
3100104,2025,1295.5
3100203,2007,3743.3333333333335
3100203,2008,3733.1666666666665
3100203,2009,3913.25
3100203,2010,4157.416666666667
3100203,2011,4311.75
3100203,2012,4401.75
3100203,2013,4513.416666666667
3100203,2014,4466.333333333333
3100203,2015,4295.583333333333
3100203,2016,4071.1666666666665
3100203,2017,4032.6666666666665
3100203,2018,4089.3333333333335
3100203,2019,4128.0
3100203,2020,3964.9166666666665
3100203,2021,3930.3333333333335
3100203,2022,4139.0
3100203,2023,4178.416666666667
3100203,2024,4362.25
3100203,2025,4368.333333333333
3100302,2007,1226.8333333333333
3100302,2008,1329.6666666666667
3100302,2009,1280.75
3100302,2010,1438.75
3100302,2011,1714.9166666666667
3100302,2012,1725.0
3100302,2013,1481.25
3100302,2014,1558.75
3100302,2015,1638.0
3100302,2016,1613.3333333333333
3100302,2017,1603.8333333333333
3100302,2018,1657.25
3100302,2019,1697.25
3100302,2020,1685.0833333333333
3100302,2021,1816.0833333333333
3100302,2022,1902.1666666666667
3100302,2023,2018.0
3100302,2024,2072.6666666666665
3100302,2025,2160.0833333333335
3100401,2007,268.75
3100401,2008,294.75
3100401,2009,303.1666666666667
3100401,2010,343.0
3100401,2011,354.25
3100401,2012,357.1666666666667
3100401,2013,354.1666666666667
3100401,2014,361.1666666666667
3100401,2015,368.0
3100401,2016,372.25
3100401,2017,371.5833333333333
3100401,2018,383.4166666666667
3100401,2019,397.25
3100401,2020,399.5
3100401,2021,411.8333333333333
3100401,2022,439.3333333333333
3100401,2023,467.0833333333333
3100401,2024,476.0
3100401,2025,464.0
3100500,2007,543.0
3100500,2008,559.0
3100500,2009,590.75
3100500,2010,590.5
3100500,2011,588.75
3100500,2012,573.0
3100500,2013,565.1666666666666
3100500,2014,589.9166666666666
3100500,2015,632.0
3100500,2016,660.25
3100500,2017,613.5833333333334
3100500,2018,606.3333333333334
3100500,2019,606.9166666666666
3100500,2020,605.4166666666666
3100500,2021,613.75
3100500,2022,626.25
3100500,2023,645.3333333333334
3100500,2024,639.75
3100500,2025,637.0833333333334
3100609,2007,427.0
3100609,2008,474.0
3100609,2009,446.8333333333333
3100609,2010,504.3333333333333
3100609,2011,470.9166666666667
3100609,2012,475.75
3100609,2013,473.6666666666667
3100609,2014,595.5
3100609,2015,669.8333333333334
3100609,2016,698.6666666666666
3100609,2017,691.4166666666666
3100609,2018,700.0833333333334
3100609,2019,686.5833333333334
3100609,2020,620.25
3100609,2021,634.75
3100609,2022,663.0833333333334
3100609,2023,682.8333333333334
3100609,2024,695.3333333333334
3100609,2025,678.75
3100708,2007,442.9166666666667
3100708,2008,451.4166666666667
3100708,2009,431.1666666666667
3100708,2010,436.75
3100708,2011,427.8333333333333
3100708,2012,428.75
3100708,2013,434.0833333333333
3100708,2014,438.0
3100708,2015,429.5833333333333
3100708,2016,430.1666666666667
3100708,2017,495.25
3100708,2018,425.4166666666667
3100708,2019,265.4166666666667
3100708,2020,254.91666666666666
3100708,2021,274.3333333333333
3100708,2022,274.5
3100708,2023,273.4166666666667
3100708,2024,266.9166666666667
3100708,2025,265.1666666666667
3100807,2007,689.9166666666666
3100807,2008,659.25
3100807,2009,676.6666666666666
3100807,2010,727.1666666666666
3100807,2011,773.75
3100807,2012,774.4166666666666
3100807,2013,802.4166666666666
3100807,2014,837.75
3100807,2015,774.9166666666666
3100807,2016,681.9166666666666
3100807,2017,690.0833333333334
3100807,2018,728.6666666666666
3100807,2019,750.4166666666666
3100807,2020,757.0833333333334
3100807,2021,799.3333333333334
3100807,2022,770.5833333333334
3100807,2023,818.0
3100807,2024,806.8333333333334
3100807,2025,840.8333333333334
3100906,2007,936.9166666666666
3100906,2008,984.3333333333334
3100906,2009,1028.75
3100906,2010,1121.4166666666667
3100906,2011,1280.4166666666667
3100906,2012,1366.8333333333333
3100906,2013,1446.3333333333333
3100906,2014,1516.5833333333333
3100906,2015,1545.5833333333333
3100906,2016,1548.0
3100906,2017,1542.5833333333333
3100906,2018,1580.1666666666667
3100906,2019,1607.3333333333333
3100906,2020,1622.4166666666667
3100906,2021,1737.5
3100906,2022,1818.75
3100906,2023,1805.3333333333333
3100906,2024,1853.5
3100906,2025,1912.9166666666667
3101003,2007,727.9166666666666
3101003,2008,746.75
3101003,2009,727.0833333333334
3101003,2010,769.75
3101003,2011,789.5833333333334
3101003,2012,789.0
3101003,2013,810.0833333333334
3101003,2014,791.5833333333334
3101003,2015,830.3333333333334
3101003,2016,833.8333333333334
3101003,2017,834.1666666666666
3101003,2018,840.75
3101003,2019,900.25
3101003,2020,979.3333333333334
3101003,2021,1002.3333333333334
3101003,2022,1086.5
3101003,2023,1096.5833333333333
3101003,2024,1161.3333333333333
3101003,2025,1154.8333333333333
3101102,2007,2696.5833333333335
3101102,2008,2822.3333333333335
3101102,2009,2861.0
3101102,2010,3037.0833333333335
3101102,2011,3062.5833333333335
3101102,2012,3076.8333333333335
3101102,2013,3116.6666666666665
3101102,2014,3104.5833333333335
