,Nome,Codigo,Grupo 1 controle,Grupo 1 tratamento
154,Uberaba,317010.0,0.0,0
155,Guarará,312850.0,0.0,0
156,Padre Carvalho,314625.0,0.0,0
157,Tapira,316810.0,0.0,0
158,Guidoval,312880.0,0.0,0
159,Mato Verde,314100.0,0.0,0
160,Prados,315270.0,0.0,0
161,Bom Despacho,310740.0,0.0,0
162,Divisa Alegre,312235.0,0.0,0
163,Jaguaraçu,313500.0,0.0,0
164,Ewbank da Câmara,312500.0,0.0,0
165,Perdigão,314970.0,0.0,0
166,Montes Claros,314330.0,0.0,0
167,Naque,314435.0,0.0,0
168,Pitangui,315140.0,0.0,0
169,Mário Campos,314015.0,0.0,0
170,Dom Silvério,312270.0,0.0,0
171,Periquito,314995.0,0.0,0
172,Itaobim,313330.0,0.0,0
173,Nanuque,314430.0,0.0,0
174,Conceição do Mato Dentro,311750.0,0.0,0
175,Rio Novo,315540.0,0.0,0
176,Betim,310670.0,0.0,0
177,São João do Oriente,316260.0,0.0,0
178,Araçuaí,310340.0,0.0,0
179,Brasília de Minas,310860.0,0.0,0
180,Três Pontas,316940.0,0.0,0
181,Leme do Prado,313835.0,0.0,0
182,Volta Grande,317210.0,0.0,0
183,Mantena,313960.0,0.0,0
184,São Sebastião da Bela Vista,316440.0,0.0,0
185,Itapecerica,313350.0,0.0,0
186,Engenheiro Caldas,312370.0,0.0,0
187,Joanésia,313610.0,0.0,0
188,Capitão Enéas,311270.0,0.0,0
189,Recreio,315410.0,0.0,0
190,Itabirinha de Mantena,313180.0,0.0,0
191,Senador Firmino,316570.0,0.0,0
192,Santana do Deserto,315860.0,0.0,0
193,Bocaiúva,310730.0,0.0,0
194,Guaranésia,312830.0,0.0,0
195,Grão Mogol,312780.0,0.0,0
196,Dores de Guanhães,312310.0,0.0,0
197,Baependi,310490.0,0.0,0
198,Itamarati de Minas,313260.0,0.0,0
199,Espinosa,312430.0,0.0,0
200,São Domingos do Prata,316100.0,0.0,0
201,Careaçu,311360.0,0.0,0
202,Novorizonte,314537.0,0.0,0
203,Jenipapo de Minas,313545.0,0.0,0
204,Vazante,317100.0,0.0,0
205,Alpercata,310180.0,0.0,0
206,Goianá,312738.0,0.0,0
207,Resplendor,315430.0,0.0,0
208,Águas Formosas,310090.0,0.0,0
209,Taquaraçu de Minas,316830.0,0.0,0
210,Planura,315160.0,0.0,0
211,Mata Verde,314055.0,0.0,0
212,Rodeiro,315630.0,0.0,0
213,Monte Azul,314290.0,0.0,0
214,São Gotardo,316210.0,0.0,0
215,Descoberto,312130.0,0.0,0
216,Lontra,313865.0,0.0,0
217,Santana do Jacaré,315880.0,0.0,0
218,Presidente Kubitschek,315330.0,0.0,0
219,São Gonçalo do Rio Preto,312550.0,0.0,0
220,Tocantins,316900.0,0.0,0
221,Lambari,313780.0,0.0,0
222,Passabém,314750.0,0.0,0
223,Mesquita,314170.0,0.0,0
224,Entre Rios de Minas,312390.0,0.0,0
225,Nazareno,314450.0,0.0,0
226,São Gonçalo do Sapucaí,316200.0,0.0,0
227,Machado,313900.0,0.0,0
228,Pedra Azul,314870.0,0.0,0
229,Papagaios,314690.0,0.0,0
230,Andradas,310260.0,0.0,0
231,Iguatama,313030.0,0.0,0
232,Rio Casca,315490.0,0.0,0
233,Ressaquinha,315440.0,0.0,0
234,Medina,314140.0,0.0,0
235,Piranguinho,315100.0,0.0,0
236,Central de Minas,311570.0,0.0,0
237,Inconfidentes,313060.0,0.0,0
238,Taiobeiras,316800.0,0.0,0
239,Maria da Fé,313990.0,0.0,0
240,São Sebastião do Rio Preto,316480.0,0.0,0
241,Simão Pereira,316750.0,0.0,0
242,Santo Antônio do Grama,316010.0,0.0,0
243,Dores do Indaiá,312320.0,0.0,0
244,Curvelo,312090.0,0.0,0
245,Couto de Magalhães de Minas,312010.0,0.0,0
246,Bom Jesus do Amparo,310770.0,0.0,0
247,Carmópolis de Minas,311450.0,0.0,0
248,Senhora de Oliveira,316600.0,0.0,0
249,Carmésia,311380.0,0.0,0
250,Paiva,314660.0,0.0,0
251,Acaiaca,310040.0,0.0,0
252,Francisco Badaró,312650.0,0.0,0
253,Espera Feliz,312420.0,0.0,0
254,São João do Manteninha,316257.0,0.0,0
255,Barão de Monte Alto,310550.0,0.0,0
256,Carmo da Mata,311400.0,0.0,0
257,Piraúba,315130.0,0.0,0
258,Sapucaí-Mirim,316540.0,0.0,0
